азғана	a little
алкоголь	alcohol
тревога	alert
тири	alive
барлығы	all
болады	all right
табыслар	all the best
рухсат етиў	allow
рухсат етилген	allowed
дерлик	almost
жалғыз	alone
бойлап	along
әллеқашан	already
Болады	Alright
сондай-ақ	also
алтернатив	alternative
қарамастан	although
бәрқулла	always
ҳайран қаларлық	amazing
анық болмаған	ambiguous
арзыў	ambition
мийнеткеш	ambitious
өзгертиў	amend
ортасында	amid
арасында	among
арамызда	among us
муғдар	amount
қызықлы	amusing
анализ	analysis
ата-баба	ancestors
якорь	anchor
әййемги	ancient
ҳәм	and
ал сиз ши	and you
периште	angel
ғәзеп	anger
мүйеш	angle
ашыўлы	angry
ҳайўан	animal
тобық	ankle
юбилей	anniversary
жәриялаў	announcement
ашыўландырыў	annoy
ашыўлы	annoyed
жинге тийетуғын	annoying
жыллық	annual
аноним	anonymous
басқа	another
жуўап	answer
жуўап бериў	answer
шамалаў	anticipate
қәўетер	anxiety
қәўетерленген	anxious
қәлеген	any
буннан артық	anymore
ким болса да	anyone
қәлеген нәрсе	anything
не болса да	anyway
не болса да	anyways
басқа	apart
квартира	apartment
кеширим сораў	apologize
айқын	apparent
көринисинен	apparently
қызықтырыў	appeal
кѳриниў	appear
кѳринис	appearance
көринди	appeared
иштей	appetite
алма	apple
дәстүр	application
қоллаў	apply
ушырасыў	appointment
баҳалаў	appreciate
баҳалаў	appreciation
жантасыў	approach
орынлы	appropriate
тастыйық	approval
тастыйықлаў	approve
тастыйықланған	approved
шама менен	approximately
апрель	april
ерки өзинде	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
солай ма	are you
бәнтсиз бе	are you busy
турмысқа шыққансызба	are you married
сиз турмыс қурғансыз ба яки бойдақсыз ба	are you married or single
Еле де усы жердесиз бе	Are you still there?
усы жердесиз бе	are you there
майдан	area
айтысыў	argue
аргумент	argument
пайда болыў	arise
қол	arm
армия	army
әтирапында	around
шѳлкемлестириў	arrange
реже	arrangement
келиў	arrival
келиў	arrive
келди	arrived
надан	arrogant
стрелка	arrow
көркем өнер	art
статья	article
жасалма	artificial
сүўретши	artist
сыяқлы	as
дегенше	as long as
сондай-ақ	as well as
күл	ash
уялған	ashamed
сораў	ask
сорады	asked
уйқыда	asleep
аспект	aspect
Ассам	Assamese
тасланыў	assault
жыйналыў	assembly
айтқанынан қайтпайтуғын	assertive
баҳалаў	assess
баҳалаў	assessment
баҳалы үлес	asset
мүлк	assets
тайынлаў	assign
тапсырма	assignment
көмек бериў	assist
жәрдемши	assistant
байланыстырыў	associate
байланыслы	associated
ассоциация	association
ойлаў	assume
түсиник	assumption
кеминде	at least
жеди	ate
атлет	athlete
бириктириў	attach
бириктирилген	attached
бириктирилген файл	attachment
ҳүжим	attack
урыныў	attempt
урыныс	attempt
қатнасыў	attend
қатнас	attendance
итибар	attention
мүнәсибет	attitude
қаратыў	attract
өзине тартыў	attraction
ѳзине қарататуғын	attractive
сын-сыпат	attribute
аудитория	audience
август	august
әжапа	aunt
әжапа	aunty
түп нусқа	authentic
автор	author
басқарыўшы орган	authority
гүз	autumn
бар	available
орташа	average
жырақ болыў	avoid
ояў	awake
сыйлық	award
хабардар	aware
хабардарлық	awareness
алыста	away
әжайып	awesome
жаман	awful
ебетейсиз	awkward
Аймара	Aymara
бѳпе	baby
бойдақ	bachelor
артқа	back
фон	background
жаман	bad
сумка	bag
жемтик	bait
нан писириў	bake
нанбайхана	bakery
нан содасы	baking soda
теңсалмақлық	balance
теңлесиў	balance
топ	ball
Бамбара	Bambara
банан	banana
лента	band
соққы	bang
банк	bank
бар	bar
зорға	barely
саўдаласыў	bargain
үриў	bark
арпа	barley
тосық	barrier
база	base
тийкарланып	based
подвал	basement
тийкарғы	basic
тийкарынан	basically
райхан	basil
ҳайўан	bastard
партия	batch
монша	bath
душхана	bathroom
батарея	battery
соғыс	battle
теңиздиң қуяр жери	bay
болыў	be
абайлы болың	be careful
пляж	beach
нур	beam
лобия	beans
шыдаў	bear
айыў	bear
сақал	beard
көринис	bearing
мақлуқ	beast
урыў	beat
соққы	beat
сулыў	beautiful
сулыўлық	beauty
болды	became
себеби	because
болыў	become
жатақ	bed
жатақхана	bedroom
ҳәрре	bee
мал гөши	beef
болды	been
пиво	beer
алдын	before
баслады	began
баслаў	begin
басы	beginning
пайдасына	behalf
өзин тутыў	behave
минез	behavior
минез	behaviour
артында	behind
болыў	being
исеним	belief
исениў	believe
қарын	belly
тийисли болыў	belong
сүйикли	beloved
тѳмендеги	below
белбаў	belt
отырғыш	bench
ийиў	bend
төменге	beneath
пайда кѳриў	benefit
пайда	benefit
пайдалары	benefits
буннан басқа	beside
басқа	besides
ең жақсы	best
табыс тилеймен	best of luck
ҳүрмет пенен	best regards
жақсырақ	better
ортасында	between
ишимлик	beverage
басқа	beyond
Божпури	Bhojpuri
тәрепин алыў	bias
тәрепине аўған	biased
велосипед	bicycle
усынылған баҳа	bid
үлкен	big
велосипед	bike
тѳлем қағазы	bill
байлаў	bind
қус	bird
туўылған күн	birthday
аз	bit
тислеў	bite
тислем	bite
ашшы	bitter
қара	black
алмас	blade
айып	blame
айыплаў	blame
бoс	blank
көрпе	blanket
жарылыс	blast
ағартыў	bleach
аралaстырыў	blend
жарылқаў	bless
жарылқаған	blessed
соқыр	blind
рәҳәт	bliss
блок	block
қан	blood
гүллеў	bloom
үплеў	blow
кѳк	blue
соққы бериў	blunt
доска	board
қайық	boat
дене	body
қайнатыў	boil
батыл	bold
миннетлеме	bond
сүйек	bone
буйыртпа бериў	book
китап	book
тезлениў	boost
кушейткиш	booster
етик	boot
етик	boots
шегара	border
зеригиў	bore
зериккен	bored
зеригерли	boring
туўма	born
қарызға алып турыў	borrow
баслық	boss
екеўи де	both
мазалаў	bother
шийше	bottle
түби	bottom
сатып алды	bought
шопшыў	bounce
секириў	bound
шегаралары	boundaries
тәжим	bow
кесе	bowl
қуты	box
ул бала	boy
жигити	boyfriend
билезик	bracelet
мий	brain
филиал	branch
бренд	brand
дәўжүрек	brave
нормадан өзгериўи	breach
нан	bread
тәнепис	break
бузыў	break
таңғы ас	breakfast
көкирек	breast
нәпес	breath
нәпес алыў	breathe
әўлад	breed
гербиш	brick
келин	bride
көпир	bridge
қысқа мазмуны	brief
жарық	bright
зор	brilliant
алып келиў	bring
аға	bro
кең	broad
радио бағдарлама	broadcast
бузық	broke
бузылған	broken
сипсе	broom
ажаға	brother
жезде	brother in law
алып келди	brought
қоңыр	brown
кисть	brush
шелек	bucket
достым	buddy
бюджет	budget
қоңыз	bug
қурыў	build
имарат	building
қурылған	built
көп муғдар	bulk
өгиз	bull
қорқытыў	bully
исик	bump
көплеген	bunch
түйин	bundle
жүк	burden
жүк болыў	burden
көмилген	buried
жағыў	burn
атылыў	burst
жерлеў	bury
автобус	bus
шақа	bush
бизнес	business
кѳкирек	bust
бәнт	busy
бирақ	but
сары май	butter
гүбелек	butterfly
кнопка	button
сатып алыў	buy
жанынан	by
айтпақшы	by the way
хош	bye
капуста	cabbage
кабинет	cabinet
қәпес	cage
торт	cake
балтыр	calf
қоңыраў	call
қоңыраў етиў	call
мени шақырың	call me
аталады	called
жуўас	calm
келди	came
акция өткериў	campaign
консерва	can
Бийкарлаў	Cancel
рак	cancer
уқыплы	capable
уқыплылық	capacity
пайтахт	capital
субтитр	caption
қамтыў	capture
машина	car
карьера	career
абайлы	careful
абайлы	carefully
ойсыз	careless
қайғыратуғын	caring
ағаш устасы	carpenter
гилем	carpet
гешир	carrot
апарыў	carry
даўам етиў	carry on
орынлаў	carry out
жағдай	case
нақ пул	cash
cәўлеси түсиў	cast
сарай	castle
күнделикли	casual
пышық	cat
услаў	catch
категория	category
мал	cattle
услады	caught
себеп болыў	cause
себеп	cause
сақлық	caution
абайлы	cautious
үңгир	cave
тоқтатыў	cease
потолок	ceiling
байрамлаў	celebrate
клетка	cell
орай	center
әсир	century
овсянка	cereal
дәбдебе	ceremony
белигили бир	certain
әлбетте	certainly
сертификат	certificate
шынжыр	chain
стул	chair
сынақ	challenge
сынаў	challenge
имканият	chance
ѳзгериў	change
хаос	chaos
характер	character
минезлеме	characteristics
тѳлем салыў	charge
қайырқомлық	charity
өзине тартатуғын	charming
сызылма	chart
изине түсиў	chase
сәўбетлесиў	chat
чат	chat
арзан	cheap
ҳийлекерлик қылыў	cheat
ҳийлекерлик	cheating
тексериў	check
чек	check
шеке	cheek
алғыслаў	cheer
шадлы	cheerful
рахмет	cheers
сыр	cheese
химия	chemistry
еркелетиў	cherish
шахмат	chess
кѳкирек	chest
шайнаў	chew
шөже	chicken
баслық	chief
бала	child
балалық	childhood
балалар	children
суўыў	chill
суўық	chill
моры	chimneys
ийек	chin
шокалад	chocolate
таңлаў	choice
сайлаў	choose
шабыў	chop
үй жумыслары	chores
томпақ	chubby
ширкеў	church
дәмли қуўраған қабық	cinnamon
шеңбер	circle
жағдайлар	circumstances
пухара	citizen
қала	city
талапнама	claim
талап етиў	claim
анықластырыў	clarify
класс	class
саз ылай	clay
таза	clean
түсиникли	clear
тазалаў	clear
секретарь	clerk
ақыллы	clever
қарыйдар	client
жар	cliff
климат	climate
өрмелеў	climb
жабысқақ	clingy
саат	clock
жабыў	close
кийим шкаф	closet
таўар	cloth
кийимлер	clothes
булт	cloud
бултлы	cloudy
масқарапаз	clown
шешим	clue
ийкемсиз	clumsy
топар	cluster
тренер	coach
тренерлик етиў	coach
көмир	coal
теңиз жағасы	coast
пальто	coat
кофе	coffee
когнитивлик	cognitive
тосыннан болған	coincidence
суўық	cold
қулаў	collapse
жаға	collar
кәсиплес	colleague
кәсиплеслер	colleagues
жыйнаў	collect
коллекция	collection
колледж	college
рең	color
реңсиз жасыл идеялар қызғын уйықлады	colorless green ideas slept furiously
рең	colour
бағана	column
тарақ	comb
комбинация	combination
бирлестириў	combine
келиў	come
мына жерге келиң	come here
кеттик	come on
қолайлық	comfort
қолайлы	comfortable
киятырған	coming
тез арада	coming soon
буйырыў	command
пикир	comment
коммерциялық	commercial
комиссия	commission
ислеў	commit
пидайылық	commitment
өзин бағышлағaн	committed
тутыныў буйымлары	commodity
әдеттеги	common
сөйлесиў	communicate
коммуникация	communication
жәмийет	community
көликтен пайдаланыў	commute
жолдас	companion
компания	company
салыстырыў	compare
салыстырыў	comparison
тилеклеслик	compassion
аяў	compassionate
сай келетуғын	compatible
бәсекилесиў	compete
компонент	competent
бәсеки	competition
бәсекилес	competitive
арыз етиў	complain
шағым	complaint
марапат	complement
марапатлаў	complement
жуўмақлаў	complete
толығы менен	completely
қурамалы	complex
cәйкеслик	compliance
қурамалы	complicated
хошамет	compliment
әмел етиў	comply
қураў	composition
қурамалы	compound
түсиниў	comprehension
кең қамраўлы	comprehensive
келисимге келиў	compromise
келисим	compromise
мәжбүрий	compulsory
компьютер	computer
дыққатты жәмлеў	concentrate
концепция	concept
тәшўишлениў	concern
тәшўиш	concern
тәшўишленген	concerned
концерт	concert
жуўмақ	conclusion
бетонлаў	concrete
анық белгиленген	concrete
бетон	concrete
жағдай	condition
шараятлар	conditions
ѳткериў	conduct
конференция	conference
мойынлаў	confess
исеним	confidence
исеними кәмил	confident
тастыйықлаў	confirm
келиспеўшилик	conflict
адастырып қойған	confused
шатастырыў	confusion
қутлықлаў	congrats
қутлықлаў	congratulation
қутлықлайман	congratulations
жалғаў	conjunction
байланыстырыў	connect
басып алыў	conquer
ҳуўышлы	conscious
ес-ҳушлы ҳалат	consciousness
келисим бериў	consent
келисим	consent
әқыбетлери	consequences
тәбиятты қорғаў	conservation
бийтәреп	conservative
есапқа алыў	consider
есапланады	considered
қураў	consist
турақлылық	consistency
турақлы	consistent
турақлы	constant
үзликсиз	constantly
ишқатыў	constipation
қурылыс	construction
сарып етиў	consume
тутыныў	consumption
байланыс	contact
байланысыў	contact
жуғымлы	contagious
қурамына алыў	contain
өз ишине алады	contains
ҳәзирги	contemporary
жеккөриў	contempt
мазмуны	content
жарыс	contest
контекст	context
материк	continent
даўам етиў	continue
шәртнама дүзиў	contract
шәртнама	contract
контраст	contrast
салыстырыў	contrast
үлес қосыў	contribute
үлес	contribution
бақлаў	control
даўлы	controversial
қолайлық	convenience
қолайлы	convenient
сәўбет	conversation
өзгериў	convert
көзқарасын өзгерткен адам	convert
билдириў	convey
көндириў	convince
көнген	convinced
аспаз	cook
писириў	cook
писириў	cooking
әжайып	cool
салқын	cool
бирге ислесиў	cooperation
әмеллеў	cope
мыс	copper
түбир	core
мәкке	corn
мүйеш	corner
дурыслаў	correct
турыў	cost
баҳа	cost
костюм	costume
коттедж	cottage
пахта	cotton
диван	couch
жѳтелиў	cough
мүмкин еди	could
елшихана	council
санаў	count
қарсы	counter
мәмлекет	country
аўыллық жер	countryside
жуп	couple
батыл	courage
курс	course
суд	court
мүләйимлик	courtesy
жийен	cousin
қаплаў	cover
сыйыр	cow
қорқақ	coward
қолайлы	cozy
краб	crab
жарылыў	crack
жарық	crack
қол мийнети	craft
қудайдан тапқыр	crap
соқлығысыў	crash
күшли қәлеў	craving
жер баўырлап жүриў	crawl
есер	crazy
жаратыў	create
жаратыўшылық қәбилет	creative
кредит	credit
ет түршигиўи	creep
жүдә қорқынышлы	creepy
экипаж	crew
жынаят	crime
қолайсыз сезиниў	cringe
жағымпаз	cringe
кризис	crisis
критерия	criteria
қәўипли	critical
критика	criticism
қырманды жыйнаў	crop
егинлер	crops
кесип өтиў	cross
крестик	cross
ғарға	crow
тығылыспа	crowd
адамлар менен толған	crowded
таж	crown
әҳмийетли	crucial
мийиримсиз	cruel
теңиз саяхаты	cruise
соқлығысыў	crush
жылаў	cry
қыяр	cucumber
қушақлаў	cuddle
мәденият	culture
ҳийлекерлик	cunning
чашка	cup
шкаф	cupboard
ноқталаў	curb
eм	cure
емлеў	cure
комендантлық сааты	curfew
қызыққанлық	curiosity
қызыққан	curious
буйра	curly
пул бирлиги	currency
ҳәзирги	current
ҳәзирде	currently
ғарғыс	curse
перде	curtain
дастық	cushion
әдет	custom
тутыныўшы	customer
таможня	customs
кесиў	cut
кесилген жер	cut
сүйкимли	cute
цикл	cycle
велосипед айдаў	cycling
әке	dad
әке	daddy
күнделикли	daily
күнделик	dairy
дамба	dam
зиян	damage
зиян жеткериў	damage
тақыры шыққыр	damn
ызғар	damp
ойын	dance
қәўип	danger
қәўипли	dangerous
қараңғы	dark
әзизим	darling
cызықша	dash
мағлыўмат	data
сәне	date
ушырасып жүриў	date
қыз перзент	daughter
күн	day
өли	dead
мүддет	deadline
герең	deaf
ислесиў	deal
келисим	deal
қәдирли	dear
Ҳүрметли Жәмәәт	Dear All
Ҳүрметли Тутыныўшы	Dear Customer
Қәдирли Ата-аналар	Dear Parents
Қәдирли Мырза	Dear Sir
Қәдирли студентлер	Dear students
Қәдирли команда ағзалары	Dear Team
өлим	death
дебат	debate
дебет	debit
сынықлары	debris
қарыз	debt
он жыллық	decade
ириңлесиў	decay
қайтыс болған	deceased
алдаў	deceive
декабрь	december
әпиўайы	decent
шешиў	decide
қарар етти	decided
шешим	decision
терраса	deck
бийкар етиў	decline
төменлеў	decrease
өзин бағышлаған	dedicated
өзин бағышлаў	dedication
әмел	deed
терең	deep
суўын	deer
дәслепки	default
жеңиў	defeat
жеңилис	defeat
қорғаў	defend
анықлаў	define
анық түрде	definitely
анықлама	definition
дәреже	degree
кешигиў	delay
кешиктирилген	delayed
өшириў	delete
асықпастан	deliberate
деликатес	delicate
мазалы	delicious
рәҳәтлениў	delight
қуўанышлы	delighted
жеткерип бериў	deliver
жеткерип берилген	delivered
апарып бериў	delivery
талап етиў	demand
талап	demand
талап ететуғын	demanding
демократия	democracy
шайтан	demon
көрсетиў	demonstrate
бийкар етиў	denied
тығызлық	density
тис шыпакери	dentist
мойынламаў	deny
бөлим	department
кетиў	departure
байланыслы болыў	depend
иске қосыў	deploy
ақша салыў	deposit
аманат	deposit
түскинликке түскен	depressed
депрессия	depression
тереңлик	depth
сүўретлеў	describe
cүўретлеў	description
шѳл	desert
ылайық болыў	deserve
дизайн	design
жаратыў	design
аңлатыў	designation
тилек	desire
тилеў	desire
стол	desk
үмитсизлик	despair
үмитсиз	desperate
қарамастан	despite
саҳра	dessert
соңғы мәнзил	destination
тәғдир	destiny
бузыў	destroy
жоқ етиў	destruction
толық мағлыўмат	detail
қосымша мағлыўматлар	details
анықлаў	detect
батыллық	determination
қарар қабыллаў	determine
қарар қабыллаған	determined
ҳәммесинен шаршаған	devastated
раүажланыў	develop
раўажланған	developed
раўажланыў	development
қурылма	device
шайтан	devil
арнаған	devoted
Дивехи	Dhivehi
қант кесели	diabetes
диарея	diarrhea
күнделик	diary
сөзлик	dictionary
қылды	did
набыт болыў	die
набыт болды	died
диета	diet
айырмашылық	difference
парықлы	different
қыйын	difficult
қазыў	dig
намыс	dignity
пуқта	diligent
кешки ас	dinner
батырыў	dip
тик	direct
бағыт	direction
директор	director
кир	dirt
кир	dirty
истен шығарыў	disable
майып	disabled
жоғалыў	disappear
қапа	disappointed
апат	disaster
таслап жибериў	discard
ажыратып шығарыў	discharge
тәртип	discipline
баҳасын түсириў	discount
ашыў	discover
дискриминация	discrimination
талқылаў	discuss
талқылаў	discussion
кеселлик	disease
кеселликлер	diseases
нықапланыў	disguise
жеркенишли	disgusting
аўқат	dish
ыдыс-табақ	dishes
азат етиў	dismiss
жөнетиў	dispatch
көрсетиў	display
утилизация	disposal
даў	dispute
аралық	distance
айрықша	distinct
таныў	distinguish
қайғы	distress
бөлистириў	distribution
район	district
тынышын алыў	disturb
жап	ditch
сүңгиў	dive
ҳәр түрли	diverse
ҳәрқыйлылық	diversity
бөлиў	divide
улама	divine
ажырасыў	divorce
ажырым	divorce
басты айландыратуғын	dizzy
қылыў	do
солай ма	do you
мени сүйесең бе	do you love me
шыпакер	doctor
ҳүжжет	document
қылады	does
ийт	dog
Догри	Dogri
ислеп атырған	doing
қуўыршақ	doll
тараў	domain
жергиликли	domestic
жетекши	dominant
қәўетерленбең	Don't worry
инам етиў	donate
исленди	done
ешек	donkey
наркотик	dope
еки есеге көбейтиў	double
екилик	double
гүманланыў	doubt
гүман	doubt
қамыр	dough
тѳменге	down
жүклеп алыў	download
шала нусқа	draft
сызылма ислеў	draft
тартыў	drag
ағыў	drain
трагедия	drama
сызыў	draw
тартпа	drawer
сүўрет салыў	drawing
қалтыраў	dread
әрман етиў	dream
әрман	dream
көйлек	dress
тесиў	drill
ишиў	drink
ишимлик	drink
айдаў	drive
тамшы	drop
тамшылаў	drop
түсирилген	dropped
қурғақшылық	drought
мәс	drunk
қурғақ	dry
үйрек	duck
жигит	dude
мәжбүрият	due
себебинен	due to
ѳтпес	dull
ақылсыз	dumb
шығынды үйиндиси	dump
даўамлылығы	duration
даўамында	during
шаң	dust
нәўбетши	duty
күн кешириў	dwell
набыт болыў	dying
ҳәр бир	each
бир-бири	each other
қатты қәлеў	eager
бүркит	eagle
қулақ	ear
ертерек	earlier
ерте	early
табыс табыў	earn
қулақлар	ears
жер	earth
жер силкиниў	earthquake
аңсатлық	ease
аңсатлық пенен	easily
шығыс	east
аңсат	easy
жеў	eat
жеў	eating
экономикалық	economic
экономика	economy
шети	edge
өзгерис киритиў	edit
тәлим	education
тәсир	effect
нәтийжели	effective
нәтийжелилик	efficiency
нәтийжели	efficient
ҳәрекет	effort
мәйек	egg
баклажан	eggplant
қара басын ойлаў	ego
сегиз	eight
он сегиз	eighteen
сексен	eighty
я	either
раўажландырыў	elaborate
шығанақ	elbow
жасы үлкен	elder
жасы үлкен	elderly
жасанған	elegant
элемент	element
пил	elephant
он бир	eleven
туўра келетуғын	eligible
алып таслаў	eliminate
болмаса	else
уялып қалыў	embarrassed
уятлы	embarrassing
қамрап алыў	embrace
пайда болыў	emerge
қыстаўлы жәрдем	emergency
эмоционал	emotional
тилеклеслик	empathy
пәт	emphasis
атап айтыў	emphasize
жумысшы	employee
жумысшылар	employees
жумыс бериўши	employer
бәнтлик	employment
бос	empty
жәрдем бериў	enable
дус келиў	encounter
үндеў	encourage
соңы	end
қәўип астындағы	endangered
талпыныў	endeavor
шыдам	endurance
шыдаў	endure
душпан	enemy
энергия	energy
бәнт етиў	engage
бәнт	engaged
шуғылланатуғын ис	engagement
двигатель	engine
инженер	engineer
Инглис	English
күшейтиў	enhance
рәҳәтлениў	enjoy
үлкен	enormous
жетерли	enough
исеним кәмил етиў	ensure
кириў	enter
кеўил жазыў	entertainment
көтериңкилик	enthusiasm
күш-ғайратлы	enthusiastic
пүткил	entire
аталған	entitled
cубъект	entity
кириў орны	entrance
исбилермен	entrepreneur
конверт	envelope
қоршаған әтирап	environment
көре алмаўшылық	envy
тәкирарланбас	epic
эпидемия	epidemic
тең	equal
үскене	equipment
устав капиталы	equity
эквивалент	equivalent
өширгиш	eraser
қәтелик	error
қашыў	escape
әсиресе	especially
шығарма	essay
барлық	essence
тийкарғы	essential
тийкар салыў	establish
тийкар салынған	established
мүлк	estate
баҳалаў	estimate
баҳаланған	estimated
т.б.	etc
мәңгилик	eternal
этика	ethics
баҳалаў	evaluate
баҳалаў	evaluation
ҳәттеки	even
cолай болса да	even though
кеш	evening
ўақыя	event
нәтийжеде	eventually
қашан болсада	ever
ҳәр	every
ҳәмме	everybody
ҳәмме	everyone
ҳәр бир	everything
дәлил	evidence
ғәрез нийетли	evil
эволюция	evolution
жүзеге келиў	evolve
Эве	Ewe
бурынғы	ex
тап сондай	exact
дәл сондай	exactly
экзамен	exam
экзамен	examine
мысал	example
шығып кетиў	exceed
жүдә жақсы	excellent
тысқары	except
басқа жағдайлар	exception
молайыў	excess
ҳәдден тыс	excessive
алмасыў	exchange
қуўанышлы	excited
қуўаныш	excitement
қуўандырарлы	exciting
эксклюзив	exclusive
кеширим сораў	excuse
мени кеширесиз	excuse me
орынлаў	execute
жаза	execution
орынлаўшы	executive
шынығыў	exercise
шынығыў ислеў	exercise
ҳалдан тайыў	exhaust
шаршаған	exhausted
көргизбеге қойыў	exhibit
көргизбе	exhibition
бар болыў	exist
барлық	existence
бар болған	existing
шығыў	exit
жайылыў	expand
күтиў	expect
күтилген	expected
шығымлар	expenses
қымбат	expensive
бастан кешириў	experience
тәжирийбе	experience
сынаў	experiment
эксперт	expert
мүддети өткен	expired
түсиндириў	explain
түсиндирме	explanation
ерлик	exploit
ашыў	explore
экспорт	export
сырын ашыў	expose
тәсирине түскен	exposed
дуўшар болыў	exposure
билдириў	express
аңлатпа	expression
созыў	extend
узайтырылған	extended
кеңейтпе	extension
кеңислик	extent
сыртқы	external
өшкен	extinct
аўысық	extra
айырып алыў	extract
әдеттен тыс	extraordinary
экстремал	extreme
өте	extremely
көз	eye
көзлер	eyes
таўар	fabric
теңсиз	fabulous
дусласыў	face
жүзи	face
шараят жаратыў	facilitate
бейимлестирилген орынлар	facilities
бейимлестирилген орын	facility
факт	fact
фактор	factor
завод	factory
фактлер	facts
жоғалыў	fade
сәтсиз болыў	fail
сәтсизлик	fail
сәтсиз болған	failed
әўметсизлик	failure
есин жойтыў	faint
әдил	fair
реңсиз	fair
шама менен	fairly
сыйқырлы	fairy
ийман	faith
ҳадал	faithful
жалған	fake
қулаў	fall
ЖАЛҒАН	false
даңқ	fame
таныс	familiar
шаңарақ	family
ашаршылық	famine
танықлы	famous
вентилятор	fan
ықласбент	fan
ѳзгеше	fancy
әжайып	fantastic
узақ	far
хошласыў	farewell
ферма	farm
фермер	farmer
таң қаларлық	fascinating
мода	fashion
тез	fast
семиз	fat
өмирге қәўипли	fatal
тәғдир	fate
әке	father
ҳалсызлық	fatigue
қәтелик	fault
унатқан	favorite
жақсылық	favour
унатқан	favourite
қорқыў	fear
қорқыныш	fear
байрамлаў	feast
пәр	feather
сәўлелениў	feature
қәсийет	feature
қәсийетлер	features
февраль	february
бийзар болған	fed up
төлем	fee
бағыў	feed
пикир	feedback
сезиў	feel
сезим	feeling
аяқлар	feet
қулады	fell
дос	fellow
сезди	felt
ҳаял	female
ергенек	fence
өнимдар	fertile
фестиваль	festival
алып келиў	fetch
ыссылық	fever
аз	few
азлаў	fewer
күйеў бала	fiance
көркем шығарма	fiction
майдан	field
рейимсиз	fierce
он бес	fifteen
елиў	fifty
тѳбелесиў	fight
тѳбелес	fight
төбелес	fighting
фигура	figure
cүўретлеў	figure
аңлап жетиў	figure out
файл	file
толтырыў	fill
толтырылған	filled
фильм	film
патас	filthy
ақырында	finally
қаржы	finance
қаржы	financial
табыў	find
анықлаў	find out
нәзик дид пенен	fine
жәрийма	fine
бармақ	finger
жуўмақлаў	finish
жуўмақланған	finished
ѳрт	fire
беккем	firm
фирма	firm
биринши	first
исим	first name
балық	fish
туўра келиў	fit
бес	five
дүзетиў	fix
орнатылған	fixed
байрақ	flag
жарқ етиў	flash
тегислик	flat
тегис	flat
дефект	flaw
минсиз	flawless
бүрге	flee
қам гөш	flesh
ушты	flew
бүгиў	flex
ийкемли	flexible
ушыў	flight
жеңил таслаў	flip
гәп атыў	flirt
гәп атыў	flirting
қалқыў	float
cуў тасқыны	flood
пол	floor
ун	flour
ағыў	flow
ағыс	flow
гүл	flower
грипп	flu
еркин	fluent
еркин	fluently
жумсақ	fluffy
суйықлық	fluid
ушыў	fly
итибар	focus
итибар қаратыў	focus
думан	fog
думанлы	foggy
бүклеў	fold
халық	folks
ериў	follow
бақлаў	follow up
кейинги	following
аўқат	food
ахмақ қылыў	fool
ахмақ	fool
ахмақшылық	foolish
аяқ	foot
футбол	football
ушын	for
Мысал ушын	For example
мысал ушын	for instance
сиз ушын	for you
қадаған етилген	forbidden
мәжбүрлеў	force
болжам	forecast
маңлай	forehead
ѳзге	foreign
тоғай	forest
мәнгиликке	forever
умытыў	forget
кешириў	forgive
умытқан	forgot
вилка	fork
форма	form
формаға кириў	form
рәсмий	formal
алдынғы	former
бахтыма	fortunately
