abandoned	आबुध्त
artist	कलाकार
art	कला
ashamed	लज्जित
ash	विभूति
asked	पृष्ट
ask	पृच्छतु
asleep	सुप्तः
as long as	तत्थापि
aspect	कारक
Assamese	असमिया
assault	वार
assembly	गोष्ठी
assertive	प्रवद्
assessment	निर्धारणम्‌
assess	अर्घनिर्धारणम्‌
assets	संपत्तियां
asset	संपत्ति
assignment	नियोजनम्‌
assign	दिश्
assistant	सहायकं
assist	सहाय्
associated	संबंधित
associate	यत्
association	संगठन
assume	समालम्बते
assumption	सम्भावना
as well as	अपि च
as well	अपि
as	यथा
ate	अखादत्
athlete	व्यायामी
at least	न्यूनतम
attached	संलग्न
attachment	संलग्न
attach	आवप्
attack	आक्रमण
attempt	यत्नः
attendance	उपस्थिति
attend	उपसंश्रयति
attention	अवधानम्‌
attitude	अभिवृत्तिः
attraction	आकर्षणं
attractive	आकर्षक
attract	लोभयति
attribute	गुण
at	इत्युपरि
audience	श्रोतृवर्ग
august	अगस्त माह
aunty	पितृभगिनी
aunt	पितृव्या
authentic	विश्वसनीय
authority	प्राधिकरण
author	लेखकः
autumn	शरद
available	उपलब्धः
average	माध्यम्‌
avoid	वर्जयतु
awake	जागृत
award	पुरस्कारं
awareness	जागरूकता
aware	अवबोधितः
away	दुरे
awesome	बहु सम्यक्‌
awful	असमीचीनम्‌
awkward	अदक्षः
Aymara	आइमारा
a	एकः
baby	शिशुः
bachelor	कुमारं
background	पृष्ठभूमि
back	पृष्ठभागः
bad	असमीचीनः
bag	भ्रस्ता
bait	प्रलोभन
bakery	भर्जनी
bake	पचते
baking soda	भर्जनविक्षार
balance	संतुलन
ball	कन्दुक
Bambara	बंबारा
banana	कदल
band	गण
bang	आहति
bank	कोश
barely	केवलं
bargain	विपण्य
bark	तरुत्वच्
barley	यव
barrier	रोध
bar	प्रच्छेद
based	आधारित
basement	आधार
base	आधार
basically	आधारभूत
basic	आधारभूत
basil	तुलसी
bastard	विजात
batch	राशिः
bathroom	स्नानागारः
bath	स्नानं
battery	विद्युत्कोष
battle	जंगं
bay	तट
beach	समुद्रतटम्
beam	पुंजं
beans	शिम्बी
beard	श्मश्रु
bearing	भारु
bear	भल्लूकः
beast	नृपशु
beat	आघातः
beautiful	सुन्दरम्‌
beauty	सुंदरं
became	जात
be careful	ध्यायी भवेत
because	यतः
become	जातः
bedroom	शयनकक्ष
bed	शय्या
beef	गोमांस
been	भूत
beer	भीर
bee	मधुमक्षिका
before	पूर्वम्‌
began	आरब्ध
beginning	आरंभ
begin	आरम्भ
behalf	-अर्थेन
behave	व्यवहृ
behavior	व्यवहारः
behaviour	व्यवहार
behind	पृष्ठतः
being	स्थितवत्‌
belief	श्रद्धा
believe	विश्वसितु
belly	उदर
belong	अभिसम्बध्नाति
beloved	स्नेहित
below	अधः
belt	पट्टक
bench	पीठ
bend	नमयति
beneath	अधस्
benefits	लाभाः
benefit	लाभः
besides	अधि
beside	पार्श्व
best of luck	शुभकामना
best regards	सादर
best	श्रेष्ठः
better	समीचीनतर
between	मध्ये
beverage	पेय
beyond	अग्रे
be	भव
Bhojpuri	भोजपुरी
biased	अभिनत
bias	पूर्वाग्रहं
bicycle	द्विचक्रिका
bid	आदिशति
big	विशालः
bike	यन्त्रद्विचक्रिका
bill	देयकं
bind	आ- नह्
bird	पक्षी
birthday	जन्मदिवस
bite	दंश्
bitter	तिक्त
bit	किञ्चित्
black	कृष्णः
blade	क्षुरपत्र
blame	आरोप
blanket	कम्बल
blank	रिक्त
blast	विस्फोट
bleach	श्वेतन
blend	मिश्रण
blessed	धन्य
bless	भद्रंकृ
blind	अन्ध
bliss	स्वर्ग
block	मृदुवस्तु
blood	रक्त
bloom	उन्माद
blow	आघाततः
blue	नील
blunt	कुण्ठ
board	मण्डलम्‌
boat	नौका
body	शरीरं
boil	पिटक
bold	विक्रान्तः
bond	बन्ध
bone	अस्थि
book	पुस्तकम्‌
booster	संवेग
boost	संवेग
boots	पादिका
boot	पादत्राण
border	सीमा
bored	आग्रस्तः
bore	छिद्रयति
boring	नीरसः
born	जाताः
borrow	उद्धारग्रहणम्‌
boss	स्वामी
bother	अधिबाधते
both	उभौ
bottle	कूपी
bottom	अधः
bought	क्रीतः
bounce	अभि- हन्
boundaries	सीमा
bound	आबद्ध
bowl	पाल
bow	धनु
box	कोश
boyfriend	सख
boy	बालकः
bracelet	कङ्कण
brain	मस्तिष्क
branch	शाखा
brand	चिह्न
brave	वीरः
breach	भङ्ग
bread	रोटिका
breakfast	अल्पाहार
break	भङ्गः
breast	स्तनं
breathe	श्वसिति
breath	श्वशन
breed	जाति
brick	इष्टिका
bride	कन्या
bridge	सेतु
brief	साक्षिप्तं
bright	उज्ज्वलः
brilliant	मेधावी
bring	आनय
broadcast	प्रसारण
broad	विस्तीर्ण
broken	भंजित
broke	भंजित
broom	ऊहनी
brother in law	आवुत्त
brother	भ्राता
brought	आनीतः
brown	पिङ्गल
bro	भ्राता
brush	भृष्ट
bucket	डोलं
buddy	सुहृत्
budget	अर्थसंकल्पम्
bug	मत्कुण
building	भवनम्
build	निर्मिमीते
built	निर्मित
bulk	संहति
bully	कुम्भ
bull	वृषभ
bump	सहसा
bunch	समूह
bundle	पोटलिका
burden	भारः
buried	अगर्तमित
burn	जलन
burst	स्फोट
bury	नि- खन्
bush	गुल्म
business	व्यवसायः
bust	पूर्वार्धम्‌
busy	व्यस्तः
bus	बस
butterfly	चित्रपतङ्ग
butter	नवनीत
button	कड्मल
but	किन्तु
buy	क्रीडातु
bye	पुनर्मिलामः
by the way	एतदतिरिच्य
by	इत्यनेन
cabbage	केम्बुक
cabinet	मन्त्रिपरिषद्
cage	कारा
cake	इड्डरिका
calf	गोवत्स
called	आहूत
call me	मया आह्वे
call	आह्वानम्‌
calm	शान्तः
came	आगतः
campaign	प्रचारं
Cancel	निरसयतु
cancer	कर्करोग
can't	मा शक्नोति
can	शक्नोति
capable	सक्षम
capacity	क्षमता
capital	राजनगर
caption	अवबोधक
capture	पटल
career	चरितम्‌
carefully	ध्यानपूर्वक
careful	सावधानम्‌
careless	निश्चिन्त
caring	विदूर
carpenter	तक्षक
carpet	चित्रकट
carrot	गार्जर
carry on	नी
carry out	वह्
carry	वहति
car	कारयानम्‌
case	विषय
cash	टङ्क
castle	प्रासाद
cast	क्षेप
casual	नैमित्तिक
catch	परिगृह्णातु
category	कोटी
cattle	पशु
cat	मार्जारः
caught	बद्धः
cause	निमित्तम्‌
caution	सचेत
cautious	सतर्क
cave	गुहा
cease	उद्- छिद्
ceiling	छादम्‌
celebrate	कीर्तयति
cell	कोशिका
center	केंद्र
century	शताब्दी
cereal	अन्न
ceremony	उत्सव
certainly	निश्चयेन
certain	कश्चित्‌
certificate	प्रमाणपत्रं
chain	शृङ्खला
chair	आसन्द
challenge	प्रवादं
chance	अवसर
change	परिवर्तय
chaos	अस्तव्यस्तता
characteristics	विशेषतानाम्
character	स्वभावः
charge	दायित्वम्‌
charity	दान
charming	आकर्षक
chart	तालिका
chase	पापर्द्धि
chat	संवाद
cheap	अल्पमूल्यम्‌
cheating	वञ्चन
cheat	वञ्चक
check	अनुशीलय
cheek	गल्ल
cheerful	प्रसन्नः
cheers	जयशब्दाः
cheer	विपणि
cheese	दधिक
chemistry	रसायनशास्त्र
cherish	पृणाति
chess	चतुरङ्ग
chest	वक्षः
chew	निर्भस्
chicken	कुक्कुट
chief	मुख्य
childhood	बाल्यकाल
children	बालकाः
child	बालः
chill	अभिशीतम्‌
chimneys	धूममार्गाः
chin	जोड
chocolate	चॉकलेट
choice	चयनं
choose	चिनोतु
chop	अप- छिद्
chores	कार्यसूची
chubby	मांसल
church	चर्च
cinnamon	भित्ति
circle	वृत्त
circumstances	परिस्थितयः
citizen	नागरिक
city	नगरी
claim	अभ्यर्थना
clarify	स्पष्टयति
class	श्रेणी
clay	पङ्क:
clean	स्वच्छम्‌
clear	स्पष्टः
clerk	लिपिक
clever	चतुरः
client	ग्राहिका
cliff	चोटी
climate	वायुमंडल
climb	रोहति
clingy	स्नेहन
clock	घटिका
closet	पायुक्षालनभूमि
close	पिधानं करोतु
clothes	वस्त्राणि
cloth	वस्त्रं
cloudy	धूमिल
cloud	मेघ
clown	विदूषक
clue	सङ्केत
clumsy	अतिस्थूल
cluster	चिति
coach	पथिकयान
coal	अङ्गार
coast	तट
coat	प्रवारकः
coffee	काफी
cognitive	संज्ञानात्मक
coincidence	संयोग
cold	शैत्यम्‌
collapse	संश्यान
collar	ग्रैवेय
colleagues	सहकारी
colleague	सहकारिणी
collection	सङ्ग्रह
collect	संग्रह
college	महाविद्यालयं
colorless green ideas slept furiously	वर्णहीना: हरित्विचारा: तीव्रातोगच्छत
color	वर्ण
colour	वर्णं
column	स्तम्भ:
combination	युग्म
combine	संयोजन
comb	कङ्कत
come here	अत्र आगच्छतु
come on	सम्- विश्
come	आगच्छ
comfortable	सुविधाजनकः
comfort	सुस्थता
coming soon	शीघ्रेण आगच्छसि
coming	आगामी
command	आदेश
comment	टिप्पणी
commercial	वाणिज्यिक
commission	आयोग
commitment	प्रतिबद्धता
committed	समर्पित
commit	प्रविश्
commodity	सामग्री
common	सुलभः
communicate	तरुत्वच्
communication	संचार
community	समुदाय
commute	ऊर्ध्वभाग
companion	कङ्कण
company	गोष्ठी
compare	तूल
comparison	तुलना
compassionate	दयालु
compassion	करुणा
compatible	सुयोग्य
competent	क्षम
compete	स्पर्धध्वे
competition	प्रतियोगिता
competitive	प्रतियोगी
complaint	अनुबद्ध
complain	अभियुनक्ति
complement	परिपूर्येय
completely	पूर्णतया
complete	पूर्णं करोतु
complex	जटिल
compliance	अनुबद्ध
complicated	क्लिष्ट
compliment	प्रशंसा
comply	प्रतिया
composition	रचना
compound	यौगिक
comprehension	समवेश
comprehensive	सामासिक
compromise	आपोषयति
compulsory	अनिवार्यं
computer	संगणक
concentrate	यथार्थ
concept	कल्पना
concerned	चिन्तातुरः
concern	परिदेवना
concert	सङ्गितक
conclusion	निगमन
concrete	ठोस
conditions	दशावस्था
condition	दशा
conduct	निर्वहणम्‌
conference	परिषद
confess	प्रति- क्रम्
confidence	आत्मविश्वास
confident	कृतनिश्चयः
confirm	दृढी करोतु
conflict	द्वंद
confused	भ्रमितः
confusion	सम्भ्रम
congrats	congratulations
congratulations	वर्धापनानि
congratulation	स्वस्तिवाच्
conjunction	युति
connect	संयुज्
conquer	जयति
consciousness	चेतना
conscious	सचेत
consent	सम्मतिः
consequences	परिणामाः
conservation	संरक्षण
conservative	संरक्षित
considered	विचारितं
consider	चिन्तयतु
consistency	समञ्जस
consistent	सङ्गत
consist	निर्मित
constantly	अनवरत
constant	नियत
constipation	मलावरोध
construction	संरचना
consume	प्लक्ष्
consumption	उपभोग
contact	संपर्कः
contagious	संलग्न
contains	भरति
contain	परिभवते
contemporary	समकालीन
contempt	रीधा
content	विषयः
contest	संघर्ष
context	सन्दर्भ
continent	महाद्वीप
continue	अनुवर्तते
contract	प्रसंविदा
contrast	विप्रकर्ष
contribute	सहयोग
contribution	योगदान
control	नियंत्रणं
controversial	विवादास्पद
convenience	सुविधा
convenient	सुकरः
conversation	संवादः
convert	रैकृ
convey	प्रहिनोति
convinced	विश्वस्त
convince	प्रबोधय
cooking	पाक
cook	पचति
cool	शोभनम्‌
cooperation	सहयोग
cope	प्रतिसमास्
copper	ताम्र
core	अन्तर्भाग
corner	कोण
corn	लवेटिका
correct	उचितं
costume	वेशभूषा
cost	मूल्यम्‌
cottage	कुटी
cotton	तूली
couch	शय्या
cough	कासः
could	शक्तवान्‌
council	समिति
counter	गणित्र
countryside	ग्रामीयपरिसरं
country	देशः
count	गणनां कारोतु
couple	युग्म
courage	साहस
course	वर्गः
courtesy	शिष्टाचार
court	न्यायालयः
cousin	भ्रातृव्यः
cover	आवरणं
coward	भीत
cow	गो
cozy	चोष
crab	कर्क
crack	भंग
craft	शिल्प
crap	विष्ठा
crash	ध्वंस
craving	तृष्णा
crawl	रिङ्ग्
crazy	उन्मत्त
create	निर्मियताम्
creative	रचनात्मक
credit	श्रेय
creepy	सर्पण
creep	सर्पण
crew	नाविकाः
crime	अपराध
cringe	चाटुः
crisis	सङ्कट
criteria	कोटी
critical	गंभीरः
criticism	आलोचना
crops	धान्य-सस्य
crop	अन्नग्रह
cross	अनुप्रस्थ
crowded	आकीर्ण
crowd	यूथ
crown	राजमुकुट
crow	काक
crucial	निर्णायकः
cruel	क्रूर
cruise	नौकासमूह
crush	खली करोतु
cry	रुद्
cucumber	कर्कटी
cuddle	लालयति
culture	संस्कृति
cunning	कपट
cupboard	कपाटिका
cup	चषक
curb	निग्रह्
cure	उपशमन
curfew	निषेधाज्ञा
curiosity	कुतूहल
curious	कौतुहलान्वितः
curly	वक्र
currency	मुद्रा
currently	वर्त्तमानकाले
current	वर्त्तमानः
curse	शाप
curtain	यवनिका
cushion	कशिपु
customer	ग्राहकः
customs	परंपरा
custom	आचारः
cute	आकर्षकः
cut	छिन्न
cycle	द्विचक्रिका
cycling	द्विचक्रिकया भ्रमणं
daddy	पितुः
dad	पिता
daily	प्रतिदिन
dairy	गव्यशाला
damage	क्षति
damn	हा
damp	आर्द्र
dam	रोधस्
dance	नृत्यं
dangerous	भयंकरं
danger	संकट
dark	तिमिर
darling	प्रियतमा
dash	निपुथ्
data	दत्तांश
date	दिनाङ्कः
daughter	पुत्री
day	दिनं
deadline	समयसीमा
dead	मृत
deaf	बधिर
deal	व्यवहरतु
Dear All	प्रिय सर्वे
Dear Customer	प्रिय क्रेता
Dear Parents	प्रिय अभिभावकगणाः
Dear Sir	प्रिय गुरु
Dear students	प्रिय विद्यार्थीगणाः
Dear Team	प्रिय दलं
dear	प्रियः
death	मृत्यु
debate	विवादः
debit	विकलन
debris	अवशेष
debt	ऋण
decade	दशकं
decay	क्षय
deceased	पीड़ितः
deceive	प्रवञ्चना
december	दिसंबरं माह
decent	शालीन
decided	निर्णीत
decide	निश्चिनोति
decision	निर्णयः
deck	नौतल
decline	अस्वीकरोतु
decrease	अवमूल्यनं
dedicated	समर्पित
dedication	समर्पण
deed	कृत्य
deep	अधः
deer	मृग
default	मूलभूतम्‌
defeat	पराजय
defend	रक्ष्
define	परिभाच्छसि
definitely	निश्चितम्‌
definition	परिभाषा
degree	उपाधि
delayed	विलंबित
delay	विलम्बः
delete	लुप्
deliberate	तात्पर्य
delicate	कोमल
delicious	स्वादिष्ठम्‌
delighted	प्रसन्न
delight	प्रसन्न
delivered	समर्पित
delivery	वितरण
deliver	समर्पयति
demanding	याचति
demand	अभियाचना
democracy	लोकतंत्र
demonstrate	प्रमाणय्
demon	दैत्य
denied	वंचित
density	घनत्व
dentist	दंतरोगविशेषज्ञ
deny	अपह्नुते
department	विभागः
departure	प्रस्थानं
depend	निर्भर
deploy	प्रसारन
deposit	निक्षेपः
depressed	निराश
depression	निराशा
depth	गहनता
describe	वर्णेतु
description	वर्णनम्‌
desert	मरुभूमिः
deserve	अर्हति
designation	उपाधि
design	प्ररचन
desire	अभिलाषः
desk	लेखनपीठ
despair	निराशा
desperate	प्राणान्तिक
despite	द्वेषः
dessert	फलमिष्टादीनि
destination	गन्तव्य
destiny	घनत्व
destroy	विनश्
destruction	विनाशं
details	वर्णन
detail	विवरणं
detect	चिह्न्
determination	निश्चयता
determined	विनिश्चितः
determine	निश्चिनोतु
devastated	खिलीकृत
developed	विकसित
development	विकासः
develop	रचयति
device	उपकरणम्‌
devil	दस्यु
devoted	समर्पित
Dhivehi	दिवेही
diabetes	मधुमेह
diarrhea	अतिसार
diary	दैनिकी
dictionary	शब्दकोश
did	कृतवान्‌
died	मृत
diet	आहार
die	ग्लह
difference	अंतरण
different	भिन्नः
difficult	कठिनम्‌
dignity	गौरवं
dig	विखन्
diligent	कर्मिष्ट
dinner	रात्रिभोजनम्‌
dip	मज्जय
direction	निर्देश
director	निर्देशकः
direct	साक्षात्
dirty	मलिनम्‌
dirt	मल
disabled	अक्षमित
disable	अक्षम
disappear	निर्गम्
disappointed	मनोहतः
disaster	आपदा
discard	तनूकृ
discharge	मुक्ति
discipline	अनुशासनम्
discount	अपहार
discover	परिनयन
discrimination	पृथगात्मता
discussion	विवरण
discuss	परिचर्चा
diseases	व्याध्यां
disease	रोगः
disguise	धृ
disgusting	घृणास्पद
dishes	व्यंजनाः
dish	व्यंजनं
dismiss	उत्सृज्
dispatch	प्रेषण
display	प्रदर्शन
disposal	स्वादीन्
dispute	विवाद
distance	दूरी
distinct	व्ययवच्छिन्नम्
distinguish	भिन्नक्ति
distress	क्लेश
distribution	आवंटन
district	जनपद
disturb	युप्यति
ditch	खातिका
diverse	विविध
diversity	विविधता
dive	कुड्
divide	विभाजनं
divine	पवित्र
divorce	संबंध-विच्छेदं
dizzy	भ्रामरिन्
doctor	चिकितसिक
document	प्रलेख
doesn't	अना
does	करोति
Dogri	डोगरी
dog	कुक्कुरः
doing	करोति
doll	पाञ्चालकः
domain	क्षेत्र
domestic	गृहज
dominant	प्रभूत
donate	वितरणं
done	कृतम्‌
donkey	गर्दभ
Don't worry	चिंता मास्तु
don't	मा करोतुन
dope	मादक
double	द्विद्वार
doubt	शङ्का
dough	पिष्ट
download	अवाहरन
down	अधः
do you love me	किं त्वं मया स्निहयसि
do you	किं त्वं करोसि
do	करोतु
draft	प्रारूप
drag	आकर्षति
drain	प्रणाल
drama	नाट्य
drawer	अन्तःपेटिका
drawing	आरेखण
draw	आकर्षयतु
dread	भीरुता
dream	स्वप्न
dress	परिधानं
drill	वेधन
drink	पेयं
drive	वह्
dropped	पतित
drop	बिन्दुः
drought	प्रतिधा
drunk	पीत्वा
dry	शुष्कः
duck	कादम्ब
dude	सहचर
due to	कारणेन
due	देय
dull	मन्दः
dumb	मूढ़ाः
dump	निपात
duration	अवधि
during	अन्तरेण
dust	धूलि
duty	कर्म
dwell	वस्
dying	परासु
each other	परस्पर
each	एकैकम्‌
eager	उत्सुकः
eagle	गरुड
earlier	पूर्व
early	शीघ्रम्‌
earn	सर्जति
ears	कर्णाः
earthquake	भूकंप
earth	पृथ्वी
ear	कर्ण
ease	सुखता
easily	अनायासेन
east	पूर्वं
easy	सरलम्‌
eating	प्सान
eat	खादतु
economic	आर्थिक
economy	अर्थव्यवस्था
edge	धारा
edit	सम्पादन
education	शिक्षा
effective	प्रभावी
effect	परिणाम
efficiency	कुशलता
efficient	कुशल
effort	प्रयासः
eggplant	वृन्ताकी
egg	अंड
ego	अहङ्कार
eighteen	अष्टदश
eighty	अशीति
eight	अष्ट
either	अन्यतर
elaborate	विचारयति
elbow	कूर्पर
elderly	पितृव्य
elder	वरिष्ठ
elegant	चारु
element	तत्व
elephant	गज
eleven	एकादशं
eligible	योग्य
eliminate	निष्काषन
else	उत
embarrassed	लज्जित
embarrassing	लज्जनीय
embrace	आलिङ्गनं करोतु
emergency	ऊरुक
emerge	उद्गाह्
emotional	भावुक
empathy	करुणा
emphasis	बलं
emphasize	अभिद्योतन
employees	कार्मिकाः
employee	कार्मिक
employer	विनियोक्तृ
employment	व्यवसाय
empty	रिक्तम्‌
enable	सक्रियं करोतु
encounter	संघर्ष
encourage	समुत्साहयतु
endangered	परिह्वृत
endeavor	प्रयास
endurance	क्षान्ति
endure	चिरस्थायिन्
end	अंत
enemy	शत्रु
energy	ऊर्जा
engaged	व्यस्त
engagement	अभ्युपगम
engage	प्रसजति
engineer	अभियंता
engine	यन्त्र
English	आंग्ल
enhance	प्रचिनोतु
enjoy	अनुभवतु
enormous	अत्यंत
enough	पर्याप्तम्‌
ensure	सुनिश्चोतु
entertainment	मनोरंजनं
enter	प्रवेश
enthusiasm	उत्साह
enthusiastic	उत्सुकः
entire	सम्पूर्ण
entitled	अभिसृष्ट
entity	इंकाई
entrance	प्रवेश
entrepreneur	व्यवसायी
envelope	पिहितपत्र
environment	पर्यावरणम्‌
envy	ऋति
epic	गाथा
epidemic	महामारी
equal	समान
equipment	उपकरणम्‌
equity	समता
equivalent	समतुल्य
eraser	आघर्षनी
error	त्रुटि
escape	परिभ्रंशति
especially	विशेषतः
essay	निबंध
essence	सार
essential	अनिवार्यम्‌
established	स्थापित
establish	समर्थयति
estate	पस्त्या
estimated	अनुमानित
estimate	अनुमान
etc	इत्यादि
eternal	आत्मिक
ethics	सत्यनिष्ठा
evaluate	गणयति
evaluation	मूल्याङ्कन
evening	सायंकालः
even though	यद्यपि
eventually	फलस्वरूपे
event	घटना
even	अपि
everybody	प्रत्येकं
everyone	प्रत्येकं
everything	सर्वम्‌
every	प्रत्येकं
ever	नित्यम्‌
evidence	उपपत्तिः
evil	पीडा
evolution	उन्नति
evolve	वि- कस्
Ewe	एवै
exactly	यथातथम्‌
exact	यथार्थ
examine	अन्वेषण
example	उदाहरण
exam	परीक्षा
exceed	अतिक्रम
excellent	सर्वोत्कृष्ट
exception	व्यपकर्ष
except	विहाय
excessive	अत्यधिक
excess	अतीव
exchange	विनिमयः
excited	उत्तेजितः
excitement	उत्साह
exciting	उद्दीपकः
exclusive	अनन्य
excuse me	क्षमा प्रयच्छ मे
excuse	क्षम्यताम्
execute	प्रभज्
execution	क्रियान्वयन
executive	प्रणायकः
exercise	व्यायामः
ex	ex
exhausted	परिश्रान्तः
exhaust	निकास
exhibition	प्रदर्शन
exhibit	समुद्वह्
existence	अस्तित्व
existing	विद्यमान
exist	अस्ति
exit	निर्गम
expand	आतन्
expected	अपेक्षित
expect	सम्भावयति
expenses	व्यय
expensive	बहुमूल्यम्‌
experience	अनुभवः
experiment	प्रयोगं
expert	निपुण
expired	परीत
explain	व्याख्याति
explanation	विवरण
exploit	शोषण
explore	अन्वेषण
export	निर्यात
exposed	निरावरित
expose	उद्घाटन
exposure	विवृति
expression	अभिव्यक्ति
express	व्यक्त
extended	विस्तृत
extend	वितनोति
extension	विस्तार
extent	विस्तार
external	बाह्य
extinct	लुप्त
extract	निष्कर्शन
extraordinary	विलक्षण
extra	अतिरिक्त
extremely	अत्यंत
extreme	अति
eyes	नेत्राः
eye	नेत्र
fabric	तान्तव
fabulous	उत्कृष्ट
face	मुखं
facilitate	सुकरं करोति
facilities	सौकर्य
facility	सुविधा
factory	यन्त्रशाला
factor	कारक
facts	तथ्यानि
fact	तथ्य
fade	म्लै
failed	असफल
failure	असफलता
fail	अनुत्तीर्णः
faint	अस्पष्ट
fairly	न्यायपूर्वक
fairy	अप्सरस्
fair	उचितः
faithful	विशासनीयः
faith	विश्वासः
fake	कूटकरण
fall	पतनम्‌
false	असत्य
fame	प्रसिद्धि
familiar	परिचित
family	परिवारं
famine	अकाल
famous	प्रसिद्धः
fancy	अल्पितवेशः
fantastic	अद्भुत
fan	व्यजनम्‌
farewell	farewell
farmer	कृषक
farm	क्षेत्र
far	दूरम्‌
fascinating	आकर्षक
fashion	चलनं
fast	उपवासः
fatal	प्राणहर
fate	भाग्य
father	पिता
fatigue	श्रम
fat	स्थूलः
fault	दोषः
favorite	प्रिय
favourite	प्रिय
favour	कृपा
fear	भयम्‌
feast	सग्धि
feather	पंख
features	गुणाः
feature	गुणः
february	फरवरी माह
fed up	चिन्ताक्रान्त
feedback	स्पर्शावबोध
feed	पूरयतु
