a	ၼိူင်ႈဢၼ်
action	ၼႃႈၵၢၼ်
active	ၵႆႉ
activities	ၵၢၼ်တူင်ႉၼိုင်
activity	လွင်ႈတူင်ႉၼိုင်
actor	ၸၢႆးၸိူင်း
actual	ဢၼ်တေႉတေႉ
actually	တီႈတႄႉတႄႉမၼ်း
acute	ယႂ်ႇလူင်
adapt	ၵဵပ်းလဵင်ႉ
add	လေႃး
addicted	ၸပ်းယႃႈ
addition	သႂ်ႇထႅင်ႈ
additional	ထႅင်ႈ
address	မွၵ်ႇလၢတ်ႈၵႂၢမ်း
address	ႁဵင်းတီႈယူႇ
adequate	ၵုမ်ႇထူၼ်ႈ
adjacent	ၸပ်း
adjective	ၵမ်ႉႁိၵ်ႈ
adjust	မႄးႁႂ်ႈသၢင်ႇတေႃႇ
admire	ၼပ်ႉယမ်
admit	ႁပ်ႉၶၢမ်ႇ
adopt	ၵဵပ်းလဵင်ႉ
adorable	ႁၵ်ႉ
advance	လွင်ႈၶိုၼ်ႈယႂ်ႇ
advance	ၶိုၼ်ႈတၢင်းၼႃႈ
advanced	ၸၼ်ႉသုင်
advantage	ၽွၼ်းလီ
adventure	ႁဵတ်းၸုၼ်ႉ
adverb	ၵမ်ႉသၢၵ်ႈ
advertisement	ပိုၼ်ႊၽၢဝ်ႇ
advertising	ပိုၼ်ႊၽၢဝ်ႇ
advice	ပၼ်တၢင်းႁၼ််ထိုင်
advise	ပၼ်တၢင်းႁၼ်
advocate	တၢင်ႊလၢတ်ႈ
advocate	ၵမ်ႉထႅမ်
aesthetic	ႁၢင်ႊငၢမ်း
affair	လွင်ႈၵၢၼ်
affect	ႁဵတ်းႁႂ်ႈ တုမ်ႉတိူဝ်ႉ
affection	ထိုင်တီႈ
afford	ၸွၺ်ႈထႅမ်
affordable	မီးမိူဝ်ႈႁဵတ်းလႆႈလီ
afraid	ဢၼ်ၵူဝ်
after	ဝၢႆးသေ
afternoon	ဝၢႆးဝၼ်း
afterwards	ပေႃးယဝ်ႉၼႆႉ
again	ထႅင်ႈပွၵ်ႈၼိုင်ႈ
against	သၢၼ်ၶတ်း
age	ဢသၢၵ်ႈ
agency	ၽူႈတၢင်တူဝ်ၶၢႆ
agent	ၽူႈတၢင်တူဝ်
aggressive	ပၢၼ်းၽိတ်း
aggressive	ပူၼ်ႉပႅၼ်
agile	လွင်ႈတူင်ႉၼိုင်ဝႆး
ago	ပူၼ်ႉမႃး
agree	ၽွမ်ႉၸွမ်း
agreement	လိၵ်ႈႁူမ်ႈမၢႆ
agriculture	ၽၢႆႇၽုၵ်ႈသွမ်ႈ
ahead	ဢွၼ်တေး
aid	ၶူဝ်းၵမ်ႉ
aim	ယိူင်းမၢႆ
air	လူမ်း
airport	ၵႂၢင်းႁိူင်းဝိၼ်
aisle	တၢင်းၶုၼ်
alarm	ၾႆးပၼ်ၾၢင်ႉ
alcohol	လဝ်ႈ
alert	တိုၼ်ႇ
alive	ၶီးၸႂ်
all	တင်းမူတ်း
all right	လီတေႉယဝ်ႉ
all the best	ၶႅမ်ႉတင်းမူတ်း
allow	ၽွမ်ႉၸွမ်း
allowed	ၶႂၢင်းပၼ်ႁႂ်ႈႁဵတ်း
almost	ၸမ်တေ
alone	ၵေႃႉလဵဝ်
along	ႁိမ်းႁွမ်း
already	ပေႃးယဝ်ႉယဝ်ႈ
Alright	လႆႈယူႇ
also	ၸိူင်ႉၼၼ်ၵွၺ်း
alternative	ထႅင်ႈတၢင်ႇလၢႆး
although	ပႅၵ်ႉသမ်ႉဝႃႈ
although	သေတႃႉၵေႃႈ
always	ၵႆႉၵႆႉ
am	ပဵၼ်
amazing	လၢၵ်ႇလၢႆးတႄႉယဝ်ႉ
ambiguous	ပဵၼ်ၸႂ်တုၺ်း
ambition	တၢင်းယိူင်းဢၢၼ်း
ambitious	တၢင်းယိူင်းဢၢၼ်း
amend	ပိုၼ်ႊၽၢဝ်ႇၶေႃႈမႄး
amid	ၽေဢွၵ်ႇမႃး
among	ၼႂ်းၵႃႊ
among us	ၼႂ်းႁဝ်းၼႆႉ
amount	တၢင်းၼမ်
amusing	လႆႈၸႂ်
an	ဢၼ်ၼိုင်ႈ
analysis	ၸႅၵ်ႇဝႆႉ
ancestors	ပူႇမွၼ်ႇၼၢႆးယႃႊ
anchor	လဵၵ်းလၢမ်ႊႁိူဝ်း
ancient	ၶူဝ်းၵဝ်ႇၶူဝ်းမွၼ်
and	လႄႈ
and you	သူလူး
angel	ၼၢင်းၽီ
anger	ၸႂ်လမ်
angle	ၸဵင်ႇ
angry	ၸႂ်လမ်
animal	တူဝ်သတ်း
ankle	တႃတိၼ်
anniversary	ၶွပ်ႈၶူပ်ႇ
announcement	ၶေႃႈပိုၼ်ႊၽၢဝ်ႇ
annoy	ၽိတ်းၵၼ်
annoyed	ထဵင်ၵၼ်
annoying	ထဵင်ၵၼ်
annual	ၼႂ်းၵႃႊၼိူင်ႈပီႊ
anonymous	မေႃလိၵ်ႈ ဢၼ်ဢမ်ႇႁူႉၸိုဝ်ႈ
another	တၢင်ႇၸိူဝ်း
answer	ၶေႃႈတွပ်ႇ
answer	တွပ်ႇပၼ်
anticipate	လၢမ်းၶၢတ်ႈ
anxiety	လွင်ႈၶီၸႂ်၊ လွင်ႈမႆႈၸႂ်
anxious	မႆႈၸႂ်
any	သေဢၼ်ဢၼ်
anymore	မီးထႅင်ႈ
anyone	ၽႂ်ၵေႃႈလႆႈ
anything	ၵူႊလွင်ႈ
anyway	ပဵၼ်ႁိုဝ်ၵေႃႈလၢႆး
anyways	ႁဵတ်းႁိုဝ်ၵေႃႈလီ
apart	ၵႃႇၵၼ်
apartment	ႁွင်ႈလိုဝ်ႈ
apologize	ပွၺ်ႇဝၢင်းၶႂၢင်း
apparent	ႁူႉလႆႈလီ
apparently	ႁၼ်ၸႅင်ႈလီ
appeal	တၢင်ႇလိၵ်ႈ
appear	ပေႃႇဢွၵ်ႇမႃး
appearance	ပေႃႇဢွၵ်ႇမႃး
appeared	ပေႃႇဢွၵ်ႇမႃး
appetite	ၸႂ်ၶႂ်ႈၵိၼ်
apple	မၢၵ်ႇၶႃႊၶုင်ႉ
application	တၢင်ႇလဝ်ႈၼႃႈၵၢၼ်
apply	ႁဵတ်းလႆႈ
appointment	တၼ်းႁဵင်း
appointment	ၼႃႈၵၢၼ်
appointment	ၶဵၼ်းၵၼ်
appreciate	ႁူမ်ၸူမ်းၸွမ်း
appreciate	ၸႅင်ႈလီလီ
appreciation	ႁူႉႁၼ်ၸႅင်ႈလီ
approach	ၶဝ်ႈၸမ်
appropriate	ဢၼ်သၢင်ႇတေႃႇ
approval	ၵမ်ႉႁပ်ႉတေႃႇ
approve	ႁပ်ႉႁွင်း
approved	မၵ်ႉမၼ်ႈပၼ်
approximately	တိုၼ်းပဵၼ်ဝႆႉ
april	လိူၼ်သီႇ
arbitrary	ၵႃႉၶၢႆ
architect	လၢႆးမိုဝ်းၵေႃႇၵၢႆႇ
architecture	ႁၢင်ႊၽၢင်ႁူင်းၵေႃႇၵၢႆႇ
archive	တီႈၵႂၢၼ်းမၢႆမီႈ
are	ပဵၼ်
are you	သူႁႃႉ
are you busy	ၸွင်ႇသူမၢင်ႉႁိုဝ်
are you married	သူၵူပ်းၵူႈယဝ်ႉႁႃႉ
are you married or single	သူမီးၼႃႈႁိူၼ်းယဝ်ႉႁႃႉ ဢမ်ႇၼၼ် လွတ်ႈလႅဝ်း
Are you still there?	သူတိုၵ်ႉမီးတီႈၼႆႈယူႇႁႃႉ
are you there	သူမီးၼၼ်ႉႁႃႉ
area	လႅၼ်ႊတီႈ
argue	ထဵင်ၵၼ်
argument	ထဵင်ၵၼ်
arise	ယုၵ်ႉၶိုၼ်ႈ
arm	ၶႅၼ်
army	တပ်ႉသိုၵ်း
around	ႁိမ်းႁွမ်း
arrange	ၶပ်းၶိုင်
arrangement	ၵၢၼ်ၸတ်းပွင်
arrival	ႁွတ်ႈထိုင်
arrive	ထိုင်မႃး
arrived	ႁွတ်ႈထိုင်
arrogant	ၸႂ်ၵႂ်ႊ
arrogant	မၢၼ်ႇယႂ်ႇ
arrow	ပိုၼ်ၵၢင်ႇ
art	ပၢႆးတႅမ်ႈႁၢင်ႊ
article	လိၵ်ႈပိုတ်ႇ
artificial	ပၼ်ႇႁူဝ်
artist	မေႃပၢၼ်းသီ
as	ဢမ်ႇၸႂ်ႈသင်
as long as	ႁိုင်ၵႃႊႁိုင်
as well	ယဝ်ႉၵေႃႈ
as well as	လႄႈတင်း
ash	တဝ်
ashamed	လီဢၢႆ
ask	ထၢမ်
asked	ထၢမ်
asleep	ငဝ်ႈၼွၼ်း
aspect	ႁၢင်ႊၽၢင်
Assamese	ၶိူဝ်းဢႃႇသမ်ႇ
assault	ပႃးတိၼ်ပႃးမိုဝ်း
assembly	ႁူမ်ႈတုမ်
assertive	ဝႃႈတေႉတေႉ
assess	ၶၢတ်ႈလၢမ်း
assessment	ထတ်းတိၼ်
asset	လမ်ႉၵတ်ႉမီးၶၼ်
assets	ၶေႃႈလႆႈၸႂ်
assign	မႅင်ႇၵၢၼ်
assignment	ၵၢၼ်ႁဵၼ်း
assignment	ဢၢပ်ႇပၼ်ပုၼ်ႈၽွၼ်း
assist	ၵမ်ႉၵူ
assistant	ၵူၼ်းၸွၺ်ႈ
associate	ၼိူင်းတူၺ်း
associated	ႁူမ်ႈႁွမ်း
association	ဝူၼ်ႉၸၢပ်ႈ
assume	ႁပ်ႉႁၼ်
assumption	ႁပ်ႉႁၼ်
at	တီႈ
at least	တီႈဢေႇသုတ်း
ate	ၵိၼ်
athlete	လႅၼ်ႈၶႄႉ
attach	သႂ်ႇၸွမ်း
attached	မတ်ႉၸပ်းဝႆႉ
attachment	ၵွင်ႉၵဵဝ်ႇၵၼ်
attack	ၶဝ်ႈတိုၵ်း
attempt	တၢင်းၶတ်းၸႂ်
attempt	ၶတ်းၸႂ်
attend	ၶိုၼ်ႈႁွတ်ႈ
attendance	ၶိုၼ်ႈႁွတ်ႈ
attention	ၶဝ်ႈၸႂ်
attitude	တၢင်းႁပ်ႉႁၼ်
attract	ၸၼ်ၸႂ်
attraction	ၸၼ်ၸႂ်
attractive	ၸၼ်ၸႂ်
attribute	မၢႆတွင်းဢဝ်
audience	ၵူၼ်းပၼ်ႁႅင်း
august	လိူၼ်ပႅတ်ႇ
aunt	ပႃႈ
aunty	ပႃႈ
authentic	ဢၼ်တေႉ
author	ၸၢႆးၸိူင်း
authority	ႁႅင်းပွင်ႊ
autumn	ၶၢဝ်းႁုၼ်ႈ
available	ၸၢင်ႊလႆႈ
average	ပၢၼ်ၵၢင်ဢၼ်ၽတ်ႉၽဵင်ႇ
avoid	ငိူင်ႉဝႄႈ
awake	တူင်ႉတိုၼ်ႇ
award	သူးတွၼ်ႈ
aware	ဢၼ်ႁူႉ
awareness	ၽိုၼ်ႉႁူႉၶိုၼ်း
awareness	ႁူႉပွင်ႇလႆႈလီ
away	ၵႆၵႆ
awesome	ၶႅမ်ႉ
awful	ႁူၵ်းႁၢႆႉ
awkward	ဢၼ်ထုၵ်ႇမႅၼ်ႈၸႂ်
Aymara	ၶိူဝ်းဢႅမ်ႇမြႃႇ
baby	လုၵ်ႈဢွၼ်ႇ
bachelor	ၸုမ်ႈၶူး
back	တၢင်းလင်
back	ပွၵ်ႈၶိုၼ်း
background	ပိုၼ်ႉလင်
bad	ဢၼ်ဢမ်ႇလီ
bag	ထူင်
bait	ယိူဝ်ႇပႃ
bake	တူမ်ႈၾႆး
bakery	ၵူၼ်းႁဵတ်းၶဝ်ႈမုၼ်း
baking soda	ၽွင်သူဝ်ႇတႃႇ
balance	ၵွၼ်းၵိူင်ႇ
ball	မၢၵ်ႇၼင်လွမ်ႊ
Bambara	ၶိူဝ်းပႅမ်ႇပြႃႇ
banana	ၵူၺ်ႈ
band	လိဝ်
bang	တႅၼ်ႇတိုင်ႉတိုင်ႉ
bank	ယေးငိုၼ်း
bar	ႁၢၼ်ႉလဝ်ႈ
barely	ဢိတ်ႉဢီႈ
bargain	သဵတ်ႈငိုၼ်း
bark	သဵၼ်မႃႁွၼ်
bark	မႃႁွၼ်
barley	ဢိတ်းဢီႈ
barrier	လႅၼ်ႊတီႈပၼ်ႁူမ်ႇလူမ်ႈ
base	ပိုၼ်ႉတႂ်ႈ
based	ဢိင်ႈ
basement	ထၢပ်ႈတႂ်ႈလိၼ်
basic	ပိုၼ်ႉထၢၼ်ႈ
basically	ပိုၼ်ႉထၢၼ်ႈလီ
basil	ၽၵ်းလိူၼ်းၵလႃး
bastard	လုၵ်ႈဢၼ်ၵိူတ်ႈမႃး ပႆႇၶဝ်ႈၶႂၢင်ႇတြႃး
batch	ၸုပ်ႈ
bath	ဢၢပ်ႇၼမ်ႉ
bathroom	ႁွင်ႈၼွၼ်း
battery	မၢၵ်ႇထၢတ်ႈ
battle	ပၢင်တိုၵ်း
bay	မႃႁဝ်ႇ
be	ပဵၼ်
be careful	ၾၢင်ႉတူဝ်လီ
beach	ၾင်ႇပၢင်ႇလၢႆႇ
beam	သၢႆလႅင်း
beans	ထူဝ်ႇ
bear	မီ
beard	မွၺ်ၵၢင်း
bearing	လွင်ႈႁဵတ်းသၢင်ႈ
beast	တူဝ်သီႇတိၼ်
beat	ပေႉပၢင်လွင်း
beat	လွင်ႈလူႉသုမ်း
beautiful	ႁၢင်ႊလီ
beauty	ႁၢင်ႊလီ
became	ပဵၼ်မႃး
because	ၵွပ်ႈပိူဝ်ႈဝႃႈ
become	ပဵၼ်မႃး
bed	ၵူႇ
bedroom	ႁွင်ႇ
bee	ၽိုင်ႈ
beef	ၼိူဝ်ႉဝူဝ်း
been	ၽႅဝ်ၸူဝ်ႈ
beer	လဝ်ႈပူၵ်ႇ
before	ဢွၼ်တၢင်းၼႆႉ
began	တႄႇႁဵတ်း
begin	တႄႇ
beginning	ႁူဝ်တႄႇ
behalf	တၢင်တူဝ်
behave	တၢင်းယၢမ်ႈ
behavior	တၢင်းယၢမ်ႈ
behaviour	ၽိင်ႈယၢမ်ႈလီ
behind	တၢင်းလင်
being	ပဵၼ်ယူႇ
belief	ယုမ်ႇ
believe	ယုမ်ႇ
belly	ဢႅင်ႈ
belong	ၶွင်ၶဝ်
beloved	ႁၵ်ႉႁႅင်းၼႃႇ
below	တင်းတႂ်ႈ
belt	သၢႆၵႅတ်
bench	တင်ႇယၢဝ်း
bend	ၵူင်ႇ
beneath	ဢမ်ႇထိူၵ်ႈ
benefit	သၢင်ႈလီ
benefit	ၽွၼ်းလီ
benefits	ၽွၼ်းလီ
beside	ႁိမ်းၶၢင်ႈ
besides	ၵူၺ်းၵႃႊ
best	လီထီႈသုတ်း
best of luck	သုၼ်ႇလီႁႅင်း
best regards	ယွၼ်းသူးပၼ်ယူႇ
better	လီလိူဝ်သေ
between	ၼႂ်းၵႄႈၵၢင်
beverage	လဝ်ႈၶူၼ်း
beyond	ၽၢႆႇပုၼ်ႉ
Bhojpuri	ၶိူဝ်းပူဝ်ႉၽူႇဝႃႇရီႇ
bias	ၸွမ်းပႃႈၸွမ်းၽၢႆႇ
biased	ၸပ်းၽၢၵ်ႇ
bicycle	လႅင်
bid	ၵၢတ်ႇႁိမ်သိုဝ်ႉ
big	ယႂ်ႇ
bike	လူတ်ႉထိပ်ႇ
bill	ငိုၼ်းၸၢႆႇ
bind	မတ်ႉ
bird	ၼူၵ်ႉ
birthday	ဝၼ်းၵိူတ်ႇ
bit	ဢိတ်းၸႅတ်ႉ
bite	ၵၢပ်ႈ
bitter	ၶူမ်
black	သီလမ်
blade	ၶူမ်းၾႃႉ
blame	ႁႃတၢင်းၽိတ်း
blame	လွင်ႈႁႃတၢင်းၽိတ်း
blank	လွၵ်းပဝ်ႇ
blanket	ၽႃႈတၢၼ်း
blast	တႅၵ်ႇ
bleach	ႁဵတ်းႁႂ်ႈၽိူၵ်ႇ
blend	ၶဝ်ႈၶိုင်
bless	ယွၼ်းသူးပၼ်
blessed	ယွၼ်းသူးပၼ်
blind	တႃမွတ်ႇ
bliss	ၸူမ်းသိူဝ်း
block	ဢိုတ်းပႅတ်ႈ
blood	လိူတ်ႈ
bloom	မွၵ်ႇၵီႊ
blow	ပဝ်ႇလူမ်း
blue	သီသွမ်ႇ
blunt	ငိူဝ်ႈ
board	ပႅၼ်ႈ
boat	ႁိူဝ်း
body	တူဝ်ၶိင်း
boil	ၽူတ်း
bold	ၼႃဝႆႉ
bond	လိၵ်ႈၵိၼ်ၵႅၼ်ႇ
bone	လုပ်ႇ
book	မၢႆဝႆႉ
book	ပပ်ႉလိၵ်ႈ
boost	သၢင်ႈႁႂ်ႈမႂ်ႇသုင်
boost	သွၵ်းတိၼ်ယၢဝ်း
booster	ဢၼ်ႁဵတ်းသၢင်ႈ ၶိုၼ်ႈယႂ်ႇ
boot	ၵဵပ်းမူၵ်ႇ
boots	ၵႅပ်းမူၵ်ႇ
border	ၵေႃႉသေႈ
bore	ၶၢၼ်ႉ
bored	ဢၼ်လီၶၢၼ်ႉ
boring	လွင်ႈၶၢၼ်ႉ
born	ၵိူတ်ႇ
borrow	ၸေႇ
boss	ထႅၼ်ႊ
boss	ပေႃႈလဵင်ႉ
both	တင်းသွင်ဢၼ်
bother	ပၼ်ၸႂ်သုၵ်းသၢၵ်ႉ
bottle	တဝ်ႈ
bottom	တီႈတႂ်ႈ
bought	သိုဝ်ႉ
bounce	ၵျွၵ်းဝႅၼ်
bound	ဢွင်
boundaries	လႅၼ်ႊလိၼ်
bow	ၵၢင်ႇ
bowl	ဢၢင်ႇ
box	တိူၵ်ႈ
boy	ဢွၼ်ႇၸၢႆး
boyfriend	ၵေႃႉႁၵ်ႉ
bracelet	ဝႅၼ်
brain	ဢွၵ်းဢေႃ
branch	ၵိင်ႇၶႃႊ
brand	မိၵ်ႈမၢႆ
brave	ႁတ်းႁၢၼ်
breach	ယႃႉၵႂၢမ်းမၼ်ႈ
bread	ၶဝ်ႈမုၼ်း
break	လူႉလႅဝ်
break	လွင်ႈတႅၵ်ႇယၢႆႈ
breakfast	ၶဝ်ႈပၼ်ႈ
breast	ဢူၵ်း
breath	ထူၺ်ႈၸႂ်
breathe	ထူၺ်ႈၸႂ်
breed	လဵင်ႉလူ
brick	မၢၵ်ႇဢုတ်ႇ
bride	ၸဝ်ႈသၢဝ်
bridge	ၶူဝ်
brief	တီႈပွတ်း
bright	ႁိူင်ႈလႅင်း
brilliant	လႅတ်းၽၢႆ
bring	ဢဝ်မႃး
bro	သြႃႇၵေႃႉ
broad	တဵမ်ထူၼ်ႈ
broadcast	ႁူင်းပွၺ်ႇသဵင်
broke	လူႉလႅဝ်
broken	လူႉလႅဝ်
broom	ၸဝ်ႈမၢဝ်ႇ
brother	ၸၢႆး
brother in law	ၼွင်ႉၶူၺ်
brought	တေႃႉမႃး
brown	သီၶွၼ်ႇ
brush	ယူႈ
bucket	ပုင်းၼမ်ႉ
buddy	ၵေႃႉသေႈ
budget	ငိုၼ်းၸႂ်ႉ
bug	မူင်ႈမႅင်း
build	ၵေႃႇသၢင်ႈ
building	ႁူင်းၵေႃႇသၢင်ႈ
built	ၵေႃႇသၢင်ႈ
bulk	ႁူဝ်ၼပ်ႉ
bull	ၵႂၢၺ်း
bully	ပေႉၵိၼ်
bump	တွင်ႈၸူဝ်ႈ
bunch	ပဵၼ်ၶေႃႈ
bundle	ႁဵတ်းပဵၼ်ၸွၵ်းပဵၼ်ၸွၵ်း
burden	ႁၢပ်ႇ
burden	ၶူဝ်းၼၵ်း
buried	ၽင်
burn	ၸုတ်ႇၾႆး
burst	ယူႈ
bury	ၽင်
bus	လူတ်ႉၸၢင်ႈ
bush	တဝ်ႉ
business	ပၢႆးမၢၵ်ႈမီး
bust	ယႃႉလူႉ
busy	မၢင်ႉ
but	ၵူၺ်းၵႃႊ
butter	ၶႆၼိူၺ်း
butterfly	ၵၢပ်ႇဝိူဝ်ႈ
button	ပွတ်းတႂ်ႈ
buy	သိုဝ်ႉ
by	ႁိမ်းၶၢင်ႈ
by the way	ႁေၵေႃႈ
bye	မွၼ်းမွၼ်း
cabbage	ၽၵ်းၵၢတ်ႇပီ
cabinet	ၶွင်ႈထွတ်ႇ
cage	ၶွၵ်ႈၼူၵ်ႉ
cake	ၶဝ်ႈမုၼ်း
calf	ဢေဝူဝ်း
call	သိုပ်ႇၾူၼ်း
call	လွင်ႈႁွင်ႉလၢတ်ႈ
call me	သိုပ်ႇၾူၼ်းၸူးႁဝ်းလႄႈ
called	ႁွင်ႉ
calm	ယဵၼ်ယဵၼ်
came	မႃး
campaign	ပၢင်တိုၵ်း
can	မေႃႁဵတ်း
can't	ဢမ်ႇမေႃ
Cancel	ႁူၼ်ၶိုၼ်း
cancer	တၢင်းပဵၼ်ယင်ႇႁၢၵ်ႈ
capable	လမ်ႉၵတ်ႉလူင်းမိုဝ်း
capable	လူင်ႉလႅၼ်ႇ
capacity	လမ်ႉၵတ်ႉ
capital	ယႂ်ႇ
caption	လိၵ်ႈၼေ
capture	တီႉ
car	လူတ်ႉ
career	ၵူၼ်းႁဵတ်းၵၢၼ် ႁူမ်ႈၵၼ်
careful	တူၺ်းထိုင်
carefully	ၽၢင်ႉလီလီ
careless	ဢမ်ႇမီးတၢင်းၾၢင်ႉ
caring	တူၺ်းထိုင်ဝႆႉ
carpenter	မေႃမိုဝ်း
carpet	ၽႃႈသိူဝ်ႈ
carrot	ႁူဝ်ၽၵ်းပၵ်း
carry	တေႃႉ
carry on	ဢဝ်မႃးလႄႈ
carry out	တေႃႉဢွၵ်ႇ
case	လွင်ႈတၢင်း
cash	ၸၢႆႇၵႃႊ
cast	ထၢင်ႇ
castle	ႁေႃတမ်ႇတိူင်း
casual	ဢမ်ႇထၢင်ႇသေ ပဵၼ်
cat	မႅဝ်
catch	တီႉ
category	ဢမ်ႇဝႆႉလၢမ်
cattle	ဝူဝ်းၵႂၢၺ်း
caught	ၺွပ်း
cause	တွၼ်း
cause	ပေႃႇပဵၼ်မႃး
caution	ၽၢင်ႉ
cautious	မီးၸႂ်ၾၢင်ႉ
cave	ႁူႈထမ်ႈ
cease	ၵိုတ်း
ceiling	ၽႃမုင်း
celebrate	ႁဵတ်းပွၺ်း
cell	တွမ်ႇတွမ်ႊ
center	သုၼ်ၵၢင်
century	ႁူဝ်ပၢၵ်ႇပီႊ
cereal	ၶဝ်ႈမုၼ်းၶွပ်ႈ
ceremony	ပၢင်ပွၺ်း
certain	ဢၼ်တႄႉ
certainly	လပ်းလွင်း
certificate	ၽိုၼ်ယွင်ႈယေႃး
chain	ၸႅင်ႊလဵၵ်း
chair	တင်ႇ
challenge	လွင်ႈၶဵင်ႇတႃႉ
challenge	ၶဵင်ႉတႃႉ
chance	သုၼ်ႇ
change	လႅၵ်ႈလၢႆႈ
chaos	ငဝ်းလၢႆးပႅတ်ႈလၢႆႊ
character	တၢင်းယၢမ်ႈ
characteristics	ၽိင်ႈယၢမ်ႈ
charge	သႂၢင်း
charity	ၸုမ်းၸွၺ်ႈတူင်ႇၵူၼ်း
charming	ၸၼ်ၸႂ်
chart	ၽိုၼ်လွၵ်းႁၢင်ႊ
chase	ၶႅၵ်ႉႁၢင်ႊ
chat	ဢုပ်ႇၶႆႊ
chat	ၶေႃႈဢုပ်ႇၼိူဝ်ၼႅင်ႊ
cheap	ပေႃး
cheat	ပႅတ်းလႅၼ်
cheat	ႁၵ်းလင်
cheating	ႁၵ်းလင်
check	လွင်ႈၵူတ်ႇထတ်း
check	ထတ်းသၢင်ႈတူၺ်း
cheek	ၵႅမ်ႈ
cheer	သူၺ်ႉသူၺ်ႉ
cheerful	ၸူမ်းၸွမ်း
cheers	သူၺ်ႉ
cheese	မၼ်းၼူမ်းၵၢမ်ႈ
chemistry	ပၢႆးပိုတ်ႇထၢတ်ႈ
cherish	ႁၵ်ႉထိုင်ဢူၵ်း
chess	လွၵ်းၵႆႇ
chest	ဢူၵ်း
chew	ယႅမ်ႉ
chicken	ၼိူဝ်ႉၵႆႇ
chief	ၵူၼ်းလူင်
child	လုၵ်ႈဢွၼ်ႇ
childhood	ပၢၼ်လုၵ်ႈဢွၼ်ႇ
children	လုၵ်ႈဢွၼ်ႇ
chill	ၶူပ်ႉလၢင်ႈ
chill	လွင်ႈၸပ်းၵတ်း
chill	လွၵ်ႇပိူၼ်ႈ
chimneys	မူၵ်ႇၵွၼ်းၾႆး
chin	ၵွင်ႈၵၢင်း
chocolate	သေႃႉၵလႅၵ်ႉ
choice	လိူၵ်ႈ
choose	လိူၵ်ႈ
chop	တႅပ်း
chores	ၵၢၼ်ႁိူၼ်းၵၢၼ်ယေး
chubby	ပီးပုၵ်ႉ
church	ၵျွင်းၾႃႉၸဝ်ႈ
cinnamon	မွတ်ႈ
circle	တူင်ႇမူၼ်း
circumstances	သၢႆငၢႆ
citizen	ၵူၼ်းမိူင်း
city	ဝဵင်းလူင်
claim	ႁပ်ႉႁွင်း
claim	သုၼ်ႇဢၼ်ထိူၵ်ႈလႆႈ
clarify	မီးၸႂ်လီ
class	ႁွင်ႈႁဵၼ်း
clay	လိၼ်
clean	ၵဵင်ႈသႂ်
clear	လၢင်ႉ
clerk	တႅမ်ႈလိၵ်ႈ
clever	လႅတ်းသႅဝ်း
client	ၶၢဝ်ႊၾႃႉ
cliff	ႁႃႉႁိုၵ်း
climate	ၶၢဝ်ႊၾႃႉ
climb	ၶိုၼ်ႈ
clingy	ၸပ်း
clock	ဢွမ်မူင်း
