abandoned	পৰিত্যক্ত কৰা
all right	ঠিক আছে
all the best	শুভেচ্ছা থাকিল
all	আটাইবোৰ
almost	প্ৰায়
alone	অকলশৰীয়া
along	একেলগে
a lot of	বহুত
a lot	অনেক
already	ইতিমধ্যে
Alright	ঠিক আছে
also	লগতে
alternative	বিকল্প
although	যদিও
always	সদায়
amazing	আশ্চৰ্যজনক
ambiguous	অস্পষ্ট
ambition	উচ্চাকাংক্ষা
ambitious	উচ্চাকাংক্ষা থকা
amend	সংশোধন
amid	মাজত
among us	আমাৰ মাজতে
among	মাজত
amount	পৰিমাণ
amusing	আমোদজনক
analysis	বিশ্লেষণ
ancestors	পূৰ্বপুৰুষ
anchor	লংগৰ
ancient	পৌৰাণিক
and you	আৰু আপুনি
and	আৰু
angel	পৰী
anger	খং
angle	কোণ
angry	খঙাল
animal	জন্তু
ankle	গোৰোহা
anniversary	বাৰ্ষিকী
announcement	ঘোষণা
annoyed	বিৰক্ত হোৱা
annoying	আমনিদায়ক
annoy	বিৰক্ত
annual	বছেৰেকীয়া
anonymous	নামহীন
another	অন্য এটা
answer	উত্তৰ
anticipate	পূৰ্বানুমান
anxiety	উদ্বেগ
anxious	উদ্বিগ্ন
anymore	আৰু
anyone	কোনো এজনে
anything	যিকোনো
anyways	যি কি নহওক
anyway	যিয়েই নহওক
any	যিকোনো
apartment	এপাৰ্টমেণ্ট
apart	পৃথক
apologize	ক্ষমা বিচৰা
apparently	আপাতদৃষ্টিত
apparent	প্ৰতীয়মান
appeal	আপীল
appearance	ৰূপ
appeared	হাজিৰ হৈছিল
appear	প্ৰকট হোৱা
appetite	ভোক
apple	আপেল
application	দৰ্খাস্ত
apply	প্ৰয়োগ কৰক
appointment	সাক্ষাত্‍কাৰ
appreciate	প্ৰশংসা কৰা
appreciation	অভিমূল্যন কৰা
approach	পদ্ধতি
appropriate	যথাযথ
approval	অনুমোদন
approved	অনুমোদিত
approve	অনুমোদন
approximately	অনুমানিক
april	এপ্ৰিল
arbitrary	স্বেচ্ছাচাৰী
architecture	স্থাপত্য
architect	স্থপতিবিদ
archive	পুৰালেখ
area	এলাকা
are you busy	আপুনি ব্যস্ত নেকি
are you married or single	আপুনি বিবাহিত নে অবিবাহিত
are you married	আপুনি বিবাহিত নে
Are you still there?	আপুনি এতিয়াও আছেনে?
are you there	আপুনি আছেনে
are you	তুমি নে
argue	তৰ্ক কৰা
argument	তৰ্কাতৰ্কি
arise	উঠা
army	আৰ্মি
arm	বাহু
around	চাৰিওফালে
arrangement	ব্যৱস্থা
arrange	সজোৱা
arrival	আগমন
arrived	আহি পালে
arrive	আগমন
arrogant	অহংকাৰী
arrow	কাঁড়
article	অনুচ্ছেদ
artificial	কৃত্ৰিম
artist	শিল্পী
art	কলা
ashamed	লাজ পোৱা
ash	ছাই
asked	সুধিছিল
ask	সোধা
asleep	টুপনি যোৱা
as long as	যিমান দিন ধৰি
aspect	দিশ
Assamese	অসমীয়া
assault	আক্ৰমণ
assembly	সদন
assertive	নিশ্চয়াত্মক
assessment	মূল্যায়ন
assess	মূল্যাংকন কৰা
assets	সম্পত্তিসমূহ
asset	সম্পত্তি
assignment	আবণ্টন কৰা কাৰ্য
assign	নিযুক্ত কৰা
assistant	সহায়ক
assist	সাহায্য
associated	সংযুক্ত হৈ থকা
associate	সহযোগী
association	সংস্থা
assume	ধাৰণা কৰা
assumption	ধাৰণা
as well as	লগতে
as well	লগতে
as	যেনেকৈ
ate	খাইছিল
athlete	ক্ৰীড়াবিদ
at least	অতি কমেও
attached	সংলগ্ন কৰা হৈছে
attachment	সংলগ্নক
attach	সংলগ্ন কৰা
attack	আক্ৰমণ
attempt	চেষ্টা কৰা
attendance	উপস্থিতি
attend	উপস্থিত থকা
attention	ধ্যান দিয়া
attitude	আচৰণ
attraction	আকৰ্ষণ
attractive	আকৰ্ষণীয়
attract	আকৰ্ষণ
attribute	বৈশিষ্ট্য
audience	দৰ্শক
august	আগষ্ট
aunty	খুড়ী
aunty	পেহী
aunty	মাহী
aunt	খুড়ী
authentic	প্ৰামাণিক
authority	কতৃপক্ষ
author	লিখক
autumn	শৰত্‍
available	উপলব্ধ
average	গড়
avoid	এৰাই চলক
awake	সাৰ পাই থকা
award	পুৰস্কাৰ
awareness	সচেতনতা
aware	জ্ঞাত
away	আঁতৰত
awesome	বিস্ময়কৰ
awful	ভয়াবহ
awkward	অদ্ভূত যেন লগা
Aymara	আইমাৰা
baby	কেঁচুৱা
bachelor	অবিবাহিত লোক
background	পৃষ্ঠভূমি
back	পিছলৈ
bad	বেয়া
bag	মোনা
bait	প্রলোভন
bakery	বেকাৰী
bake	সিজোৱা
baking soda	বেকিং চ’ডা
balance	ভাৰসাম্যতা বজাই ৰখা
ball	বল
Bambara	বংবাৰা
banana	কল
band	বেণ্ড
bang	ধমাকা
bank	বেংক
barely	কোনোমতে
bargain	দৰদাম কৰা
bark	বাকলি
barley	বাৰ্লী
barrier	বাধা
bar	বাৰ
based	ভিত্তিত
basement	বেছমেণ্ট
base	ভেঁটি
basically	মূলতঃ
basic	প্ৰাথমিক
basil	তুলসী
bastard	জাৰজ
batch	বেটছ
bathroom	স্নানাগাৰ
bath	স্নান
battery	বেটাৰি
battle	যুদ্ধ
bay	উপসাগৰ
beach	সাগৰ তীৰ
beam	আলোকৰশ্মি
beans	বীন
beard	দাড়ি
bearing	ভাৰবহন কৰা
bear	ভালুক
beast	জন্তু
beat	প্ৰহাৰ কৰা
beautiful	ধুনীয়া
beauty	সৌন্দৰ্য
became	হৈছিল
be careful	সাৱধান হওক
because	কাৰণ
become	হওক
bedroom	শোৱনি কোঠা
bed	বিছনা
beef	গোমাংস
beer	বীয়েৰ
bee	মৌমাখি
before	আগতে
began	আৰম্ভ হৈছিল
beginning	আৰম্ভণি
begin	আৰম্ভ কৰা
behalf	হৈ
behave	আচৰণ
behavior	ব্যৱহাৰ
behaviour	আচৰণ
behind	পিছফালে
belief	বিশ্বাস
believe	বিশ্বাস
belly	পেট
belong	অন্তৰ্গত
beloved	মৰমৰ
below	তলত
belt	কঁকালৰ ৰচী
bench	বেঞ্চ
bend	বেঁকা কৰা
beneath	তলত
benefits	লাভসমূহ
benefit	লাভ
besides	তাৰোপৰি
beside	কাষত
best of luck	শুভেচ্ছা থাকিল
best regards	শুভেচ্ছাৰে
best	সৰ্বোত্তম
better	উত্তম
between	মাজত
beverage	পানীয়
beyond	তাৰ বাহিৰে
be	হওক
Bhojpuri	ভোজপুৰী
biased	পক্ষপাত কৰা
bias	পক্ষপাত
bicycle	চাইকেল
bid	নিবিদা
big	ডাঙৰ
bike	মটৰচাইকেল
bill	বিল
bind	বন্ধা
bird	চৰাই
birthday	জন্মদিন
bite	কামোৰ
bitter	তিতা
black	ক’লা
blade	ব্লেড
blame	দায়ী কৰা
blanket	কম্বল
blank	খালী
blast	ফুটা
bleach	ব্লীচ
blend	মিলি যোৱা
blessed	আশীৰ্বাদ লাভ কৰা
bless	আশীৰ্বাদ কৰা
blind	অন্ধ
bliss	আশীৰ্বাদ
block	অৱৰুদ্ধ কৰা
blood	তেজ
bloom	ফুল ফুলা
blow	ফুৱাই দিয়া
blue	নীলা
blunt	ভোটা
board	ব’ৰ্ড
boat	নাও
body	শৰীৰ
boil	উতলোৱা
bold	সাহসী
bond	বান্ধোন
bone	হাড়
book	কিতাপ
booster	প্ৰচাৰক
boost	প্ৰচাৰ কৰা
boots	বুটজোতা
boot	বুটজোতা
border	সীমান্ত
bored	বিৰক্ত হোৱা
bore	আমনি লগা
boring	বিৰক্তিকৰ
born	জন্ম হোৱা
borrow	ধাৰ কৰা
boss	বছ
bother	আমনি পোৱা
both	উভয়
bottle	বটল
bottom	তলি
bought	অনা
bounce	জঁপিওৱা
boundaries	সীমা
bound	বাধ্যতা
bowl	বাতি
bow	ধেনু
box	বাকচ
boyfriend	প্ৰেমিক
boy	ল’ৰা
bracelet	এপাত হাতৰ অলংকাৰ
brain	মগজ
branch	শাখা
brand	ব্ৰেণ্ড
brave	সাহসী
breach	উলংঘন
bread	লোফ
breakfast	পুৱাৰ আহাৰ
break	ভঙা
breast	বুকু
breathe	শ্বাস-প্ৰশ্বাস
breath	উশাহ
breed	বংশবৃদ্ধি
brick	ইটা
bride	কইনা
bridge	সেঁতু
brief	চমু
bright	উজ্বল
brilliant	উজ্বল
bring	অনা
broadcast	সম্প্ৰচাৰ
broad	বহল
broken	ভগা
broke	ভগা
broom	ঝাড়ু
brother in law	ভিনদেউ
brother	ভাই
brought	আনিছিল
brown	মটিয়া
bro	ভাই
brush	বাছ
bucket	বাল্টি
buddy	সমনীয়া
budget	বাজেট
bug	পোক
building	ভৱন
build	নিৰ্মাণ
built	নিৰ্মিত
bulk	অত্যাধিক মাত্ৰাত
bully	উত্‍পীড়ন
bull	ষাঁড়
bump	উখহা
bunch	মুঠি
bundle	বাণ্ডিল
burden	বোজা
buried	পুতি পেলোৱা
burn	জ্বলা
burst	বিস্ফোৰণ
bury	পোতা
bush	জোপোহা
business	ব্যৱসায়
bust	বুকু
busy	ব্যস্ত
bus	বাছ
butterfly	পখিলা
butter	মাখন
button	বুটাম
but	কিন্তু
buy	ক্ৰয় কৰা
bye	বিদায়
by the way	যিয়েই নহওক
by	দ্বাৰা
cabbage	বন্ধাকবি
cabinet	কেবিনেট
cage	সঁজা
cake	পিঠা
calf	গৰু পোৱালী
called	কল কৰিছিল
call me	মোক কল কৰক
call	কল কৰা
calm	শান্ত
came	আহিছিল
campaign	অভিযান
Cancel	বাতিল কৰক
cancer	কৰ্কট
can't	নোৱাৰে
can	পাৰে
capable	সক্ষম
capacity	ক্ষমতা
capital	ৰাজধানী
caption	শিৰোনাম
capture	বন্দী কৰা
career	কেৰিয়াৰ
carefully	সতৰ্কতাৰে
careful	সাৱধান
careless	অসাৱধান
caring	যতন লোৱা
carpenter	কাঠমিস্ত্ৰী
carpet	দলিচা
carrot	গাজৰ
carry on	অব্যাহত ৰাখক
carry out	পালন কৰা
carry	কঢ়িওৱা
car	বাহন
case	ঘটনা
cash	নগদ
castle	দুৰ্গ
cast	ঢলা
casual	নৈমিত্তিক
catch	ধৰা
category	শ্ৰেণী
cattle	গৰু
cat	মেকুৰী
caught	ধৰা পেলাইছিল
cause	কাৰণ
caution	সাৱধান
cautious	সতৰ্ক
cave	গুহা
cease	সমাপ্তি
ceiling	চিলিং
celebrate	উদযাপন
cell	কোষ
center	কেন্দ্ৰ
century	শতিকা
cereal	ধানজাতীয় শস্য
ceremony	উপলক্ষ
certainly	নিশ্চিতভাৱে
certain	নিৰ্দিষ্ট
certificate	প্ৰমাণপত্ৰ
chain	শিকলি
chair	চকী
challenge	প্ৰত্যাহবান
chance	সুযোগ
change	সলনি কৰা
chaos	বিশৃংখলতা
characteristics	বৈশিষ্ট্যসমূহ
character	চৰিত্ৰ
charge	চাৰ্জ
charity	পৰোপকাৰ
charming	কমনীয়
chart	তালিকা
chase	খেদা
chat	চাট
cheap	সস্তীয়া
cheating	ঠগা
cheat	ঠগা
check	পৰীক্ষা কৰক
cheek	গাল
cheerful	হাঁহিমুখীয়া
cheers	চীয়েৰ্ছ
cheer	উল্লাস
cheese	চীজ
chemistry	ৰসায়ন বিদ্যা
cherish	স্নেহ কৰা
chess	দবা
chest	বুকু
chew	চোবোৱা
chicken	কুকুৰা
chief	প্ৰধান
childhood	শিশুকাল
children	শিশু
child	শিশু
chill	ঠাণ্ডা
chimneys	চিমনি
chin	থুঁতৰি
chocolate	চকলেট
choice	পচন্দ
choose	বাছনি কৰক
chop	কটা
chores	কাজকৰ্ম
chubby	শকত
church	গীৰ্জা
cinnamon	দালচেনী
circle	বৃত্ত
circumstances	পৰিস্থিতি
citizen	নাগৰিক
city	চহৰ
claim	দাবী কৰা
clarify	স্পষ্ট কৰক
class	শ্ৰেণী
clay	বোকা মাটি
clean	পৰিষ্কাৰ
clear	পৰিষ্কাৰ
clerk	পিয়ন
clever	টেঙৰ
client	গ্ৰাহক
cliff	শিল
climate	জলবায়ু
climb	বগোৱা
clingy	লাগি ধৰা
clock	ঘড়ী
closet	আলমাৰি
close	বন্ধ
clothes	কাপোৰ
cloth	পোছাক
cloudy	ডাৱৰীয়া
cloud	ডাৱৰ
clown	বহুৱা
clue	সূত্ৰ
clumsy	অনাড়ম্বৰ
cluster	গুচ্ছ
coach	প্ৰশিক্ষক
coal	কয়লা
coast	উপকূল
coat	কোট
coffee	কফি
cognitive	জ্ঞানভিত্তিক
coincidence	কাকতালীয়
cold	ঠাণ্ডা
collapse	পতন হোৱা
collar	কলাৰ
colleagues	সহকৰ্মীসকল
colleague	সহকৰ্মী
collection	সংগ্ৰহ
collect	সংগ্ৰহ
college	মহাবিদ্যালয়
colorless green ideas slept furiously	ৰংবিহীন সেউজীয়া ধাৰণাবোৰ খঙত শুই আছিল
color	ৰং
colour	ৰং
column	স্তম্ভ
combination	সংমিশ্ৰণ
combine	যোৰা লগোৱা
comb	ফণী
come here	ইয়ালৈ আহক
come on	উত্‍সাহিত কৰা
come	আহক
comfortable	আৰামদায়ক
comfort	আৰাম
coming soon	আহি আছে
coming	আহি আছে
command	আদেশ
comment	মন্তব্য
commercial	বাণিজ্যিক
commission	কাৰ্যৰ ভাৰ দিয়া
commitment	অংগীকাৰ
committed	প্ৰতিশ্ৰুতিবদ্ধ
commit	অংগীকাৰ দিয়া
commodity	পণ্য
common	সাধাৰণ
communicate	যোগাযোগ
communication	যোগাযোগ
community	সমুদায়
commute	অহাযোৱা
companion	সংগী
company	কোম্পানী
compare	তুলনা কৰা
comparison	তুলনা কৰা
compassionate	সহানুভূতিশীল
compassion	কৰুণা
compatible	উপযুক্ত
competent	সক্ষম
compete	প্ৰতিযোগিতা
competition	প্ৰতিযোগিতা
competitive	প্ৰতিযোগিতামূলক
complaint	গোচৰ
complain	অভিযোগ কৰা
complement	পৰিপূৰক
completely	সম্পূৰ্ণ
complete	সম্পূৰ্ণ কৰা
complex	জটিল
compliance	অনুবৰ্তী
complicated	জটিল
compliment	প্ৰশংসা
comply	মানি চলা
composition	সুৰ-ৰচনা
compound	যৌগ
comprehension	বোধগম্যতা
comprehensive	বিস্তৃত
compromise	আপোচ কৰা
compulsory	বাধ্যতামূলক
computer	কম্পিউটাৰ
concentrate	মনোনিবেশ কৰা
concept	ধাৰণা
concerned	চিন্তিত
concern	উদ্বেগ
concert	সংগীতানুষ্ঠান
conclusion	উপসংহাৰ
concrete	কংক্ৰিট
conditions	পৰিস্থিতি
condition	পৰিস্থিতি
conduct	ব্যৱহাৰ
conference	সন্মিলন
confess	স্বীকাৰ কৰা
confidence	আত্মবিশ্বাস
confident	আত্মবিশ্বাসী
confirm	নিশ্চিত
conflict	বিবাদ
confused	বিভ্ৰান্ত
confusion	খেলিমেলি
congrats	অভিনন্দন
congratulations	অভিনন্দন
congratulation	অভিনন্দন
conjunction	সংযোগ
connect	সংযুক্ত কৰক
conquer	জয়ী হোৱা
consciousness	চেতনা
conscious	চেতনা
consent	অনুমতি
consequences	পৰিণামবোৰ
conservation	সংৰক্ষণ
conservative	ৰক্ষণশীল
considered	বিবেচিত
consider	বিবেচনা কৰা
consistency	স্থিৰতা
consistent	অবিচলিত
consist	গঠিত
constantly	নিৰন্তৰ
constant	নেৰানেপেৰা
constipation	কোষ্ঠকাঠিন্য
construction	নিৰ্মাণ
consume	গ্ৰাস কৰা
consumption	সেৱন
contact	যোগাযোগ কৰক
contagious	সংক্ৰামক
contains	অন্তৰ্ভুক্ত থাকে
contain	অন্তৰ্ভুক্ত
contemporary	সমসাময়িক
contempt	অৱমাননা
content	বিষয়
contest	প্ৰতিযোগিতা
context	সন্দৰ্ভ
continent	মহাদেশ
continue	অব্যাহত ৰাখক
contract	চুক্তি
contrast	বিষমতা
contribute	বৰঙণি দিয়া
contribution	অৱদান
control	নিয়ন্ত্ৰণ
controversial	বিবাদগ্ৰস্ত
convenience	সুবিধা
convenient	সুবিধাজনক
conversation	কথা-বাৰ্তা
convert	ৰূপান্তৰ
convey	ব্যক্ত কৰা
convinced	সন্তুষ্ট হ’ল
convince	মান্তি কৰোৱা
cooking	ৰন্ধা
cook	ৰন্ধা
cool	ঠাণ্ডা
cooperation	সহযোগ
cope	সমুখীন হোৱা
copper	তাম
core	মুখ্য
corner	চুক
corn	মাকৈ
correct	শুদ্ধ
costume	পোছাক
cost	খৰচ
cottage	কটেজ
cotton	কপাহ
couch	শয্যা
cough	কাহ
council	পৰিষদ
counter	বিৰোধ
countryside	গ্ৰাম্যঅঞ্চল
country	দেশ
count	হিচাপ কৰা
couple	দম্পতি
courage	সাহস
course	ধাৰা
courtesy	ভদ্ৰতা
court	আদালত
cousin	খুড়া বা জেঠাইৰ পুতেক বা জীয়েক
cousin	পেহী
cousin	মামা
cousin	মাহী
cover	আৱৰণ
coward	ভয়াতুৰ
cow	গাই
cozy	আৰামদায়ক
crab	কেঁকোৰা
crack	ফাঁট
craft	শিল্প
crap	বিষ্ঠা
crash	খুন্দা মৰা
craving	ভোক
crawl	চুচৰি যোৱা
crazy	বলিয়া
create	সৃষ্টি কৰা
creative	সৃষ্টিশীল
credit	কৃতিত্ব
creepy	ভয়ংকৰ
creep	অধম
crew	দল
crime	অপৰাধ
cringe	ভয়ত কোঁচ-মোচ খোৱা
crisis	বিপদ
criteria	চৰ্ত
critical	জটিল অৱস্থা
criticism	সমালোচনা
crops	শস্য
crop	শস্য
cross	পাৰ হোৱা
crowded	ভিৰ থকা
crowd	ভিৰ
crown	মুকুট
crow	কাউৰী
crucial	গুৰুত্বপূৰ্ণ
cruel	নিষ্ঠুৰ
cruise	ক্ৰুজ
crush	গুড়ি কৰা
cry	কন্দা
cucumber	তিঁয়হ
cuddle	আলিংগন কৰা
culture	সংস্কৃতি
cunning	টেঙৰ
cupboard	আলমাৰী
cup	কাপ
curb	প্ৰতিবন্ধক
cure	আৰোগ্য
curfew	সান্ধ্য আইন বলবত্‍ হোৱা কাল
curiosity	অনুসন্ধিত্‍সা
curious	কৌতূহলী
curly	কেকোঁৰা
currency	মুদ্ৰা
currently	বৰ্তমান
current	সোঁত
curse	অভিশাপ
curtain	পৰ্দা
cushion	কুশ্বন
customer	গ্ৰাহক
customs	শুল্ক বিভাগ
custom	অনুকুলন কৰা
cute	মৰমলগা
cut	কটা
cycle	চক্ৰ
cycling	চাইকেল চলোৱা
daddy	দেউতা
dad	দেউতা
daily	দৈনিক
dairy	দুগ্ধজাত
damage	ক্ষতি
damp	সেমেকা
dam	বাঁধ
dance	নৃত্য
dangerous	বিপদজনক
danger	বিপদ
dark	অন্ধকাৰ
darling	মৰমৰ
dash	ছিটিকনি
data	তথ্য
date	তাৰিখ
daughter	জীয়েক
day	দিন
deadline	সময়সীমা
dead	মৃত
deaf	বধিৰ
deal	চুক্তি
Dear All	মৰমৰ সকলোবোৰ
Dear Customer	প্ৰিয় গ্ৰাহক
Dear Parents	মৰমৰ পিতৃ-মাতৃসকল
Dear Sir	মৰমৰ চাৰ
Dear students	মৰমৰ শিক্ষাৰ্থীসকল
Dear Team	মৰমৰ দল
dear	মৰমৰ
death	মৃত্যু
debate	তৰ্ক
debit	খৰচ
debris	ধ্বংসাবশেষ
debt	ধাৰ
decade	দশক
decay	পচি যোৱা
deceased	মৃত
deceive	প্ৰতাৰণা
december	ডিচেম্বৰ
decent	শালীন
decided	সিদ্ধান্ত লোৱা হ’ল
decide	সিদ্ধান্ত লোৱা
decision	সিদ্ধান্ত
deck	ডেক
decline	অস্বীকাৰ কৰা
decrease	নিম্নগামী
dedicated	নিবেদিত
dedication	একাগ্ৰতা
deed	কৰ্ম
deep	গভীৰ
deer	হৰিণা
default	ডিফল্ট
defeat	হৰুওৱা
defend	প্ৰতিৰক্ষা
define	সংজ্ঞায়িত কৰা
definitely	নিশ্চিতভাৱে
definition	সংজ্ঞা
degree	ডিগ্ৰী
delayed	পলম হোৱা
delay	পলম কৰা
delete	বিলোপ
deliberate	ইচ্ছাকৃত
delicate	কোমল
delicious	সুস্বাদু
delighted	আনন্দিত
delight	আনন্দ
delivered	বিলি কৰা হ’ল
delivery	বিলি কৰা
deliver	বিলি কৰা
demanding	দাবী কৰা হৈছে
demand	দাবী কৰা
democracy	গণতন্ত্ৰ
demonstrate	প্ৰদৰ্শন
demon	ৰাক্ষস
denied	অস্বীকাৰ কৰা হৈছে
density	ঘনত্ব
dentist	দন্ত চিকিত্‍সক
deny	প্ৰত্যাখ্যান কৰা
department	বিভাগ
departure	প্ৰস্থান
depend	নিৰ্ভৰ
deploy	নিয়োজিত কৰা
deposit	জমা
depressed	হতাশ হোৱা
depression	উদাস
depth	গভীৰতা
describe	বৰ্ণনা কৰা
description	বিৱৰণ
desert	মৰুভূমি
deserve	প্ৰাপ্য
designation	পদবী
design	ডিজাইন
desire	আকাংক্ষা
desk	ডেস্ক
despair	হতাশা
desperate	হতাশ
despite	সত্বেও
dessert	মুখৰুচক
destination	গন্তব্যস্থান
destiny	ভাগ্য
destroy	ধ্বংস কৰা
destruction	ধ্বংস
details	সবিশেষ
detail	বিৱৰণ
detect	চিনাক্ত কৰা
determination	সংকল্প
determined	নিৰূপিত
determine	নিৰ্দ্ধাৰণ কৰা
devastated	বিধ্বস্ত
developed	বিকশিত
development	বিকাশ
develop	বিকাশ কৰা
device	ডিভাইচ
devil	চয়তান
devoted	সমৰ্পিত
Dhivehi	দিৱেহী
diabetes	ডায়েবিটিছ
diarrhea	ডায়েৰিয়া
diary	ডায়েৰী
dictionary	অভিধান
did	কৰিছিল
died	মৃত্যু হোৱা
diet	খাদ্য
die	মৰি যোৱা
difference	পাৰ্থক্য
different	অন্য
difficult	কঠিন
dignity	মৰ্যাদা
dig	খনন কৰা
diligent	পৰিশ্ৰমী
dinner	নৈশ আহাৰ
dip	ডুব মৰা
direction	দিশ
director	নিৰ্দেশক
direct	পোনপটীয়া
dirty	লেতেৰা
dirt	ময়লা
disabled	অক্ষম হোৱা
disable	অক্ষম
disappear	অদৃশ্য
disappointed	নিৰাশ
disaster	দুৰ্যোগ
discard	বৰ্জন কৰা
discharge	এৰি দিয়া
discipline	নিয়মানুৱৰ্তিতা
discount	ৰেহাই
discover	আৱিষ্কাৰ কৰা
discrimination	বৈষম্য
discussion	আলোচনা
discuss	আলোচনা কৰা
diseases	ৰোগসমূহ
disease	ৰোগ
disguise	ছদ্মৱেশ
disgusting	ঘৃণা
dishes	কাঁহী
dish	থালী
dismiss	বৰ্খাস্ত
dispatch	পঠিওৱা
display	প্ৰদৰ্শন
disposal	নিষ্পত্তি
dispute	বিতৰক
distance	দূৰত্ব
distinct	নিৰ্দিষ্ট
distinguish	পাৰ্থক্য কৰা
distress	বেদনা
distribution	বিতৰণ
district	জিলা
disturb	আমনি কৰা
ditch	নলা
diverse	বিচিত্ৰ
diversity	অনৈক্য
dive	জাঁপ দিয়া
divide	ভাগ কৰা
divine	আধ্যাত্মিক
divorce	বিবাহ বিচ্ছেদ
dizzy	মূৰ ঘুৰণি
doctor	ডাক্তৰ
document	নথিপত্ৰ
doesn't	নহয়
does	কৰে
Dogri	ডোগৰী
dog	কুকুৰ
doing	কৰি আছো
doll	পুতলা
domain	ডমেইন
domestic	ঘৰুৱা
dominant	প্ৰভাৱশালী
donate	দান কৰা
done	কৰা হ’ল
donkey	গাধ
Don't worry	চিন্তা নকৰিব
don't	নকৰিব
dope	মূৰ্খ
double	দুগুণ
doubt	সন্দেহ
dough	মথি থোৱা আটা
download	ডাউনল’ড
down	তললৈ
do you love me	আপুনি মোক ভাল পায় নে
do you	আপুনি কৰে নে
do	কৰক
draft	খচৰা
drag	টানি নিয়া
drain	নলা
drama	নাটক
drawer	ড্ৰয়াৰ
drawing	অংকন কৰি থকা
draw	অঁকা
dread	ভয়
dream	সপোন
dress	পোছাক
drill	খন্দা
drink	পান কৰা
drive	চলোৱা
dropped	বাদ দিয়া হৈছে
drop	টোপাল
drought	খৰ
drunk	নিচাসক্ত
dry	শুকান
duck	হাঁহ
dude	ল’ৰা
due to	কাৰণে
due	দেয়
dull	নিস্তেজ
dumb	বোবা
dump	ভাণ্ডাৰ
duration	সময়কাল
during	সেই সময়ত
dust	ধুলি
duty	দায়িত্ব
dwell	বাস কৰা
dying	মৰি আছে
each other	পৰস্পৰক
each	প্ৰতিটো
eager	আগ্ৰহী
eagle	ঈগল
earlier	পূৰ্বতে
early	আগতীয়া
earn	উপাৰ্জন কৰা
ears	কাণ
earthquake	ভূমিকম্প
earth	পৃথিৱী
ear	কাণ
ease	সহজে
easily	সহজে
east	পূব
easy	সহজ
eating	খোৱা
eat	খোৱা
economic	অৰ্থনৈতিক
economy	অৰ্থনীতি
edge	প্ৰান্ত
edit	সম্পাদনা কৰক
education	শিক্ষা
effective	কাৰ্যকৰী
effect	প্ৰভাৱ
efficiency	দক্ষতা
efficient	দক্ষ
