a little	قليل
ahead	قدّام
aid	بيساعد
aim	غاية
aim	هدف
air	هوا
airport	مطار
aisle	ممشى
aisle	ممر
alarm	إنذار
alcohol	كحول
alert	تنبيه
alert	انذار
alive	عايش
all	كل
all right	ماشي
all the best	بتمنالك كل الخير
all the best	بتمنالك الأفضل
allow	يسمح
allow	بيسمح
allowed	مسموح
almost	تقريباً
alone	وحيد
along	على طول
already	فعلاً
already	بالفعل
Alright	ماشي
Alright	على ما يرام
Alright	طيب
also	كَمَان
also	أيضًا
alternative	احتياطي
alternative	بديل
although	بالرّغم من
although	رغم إنّو
always	دائمًا
always	دايمًا
amazing	بيطير العقل
amazing	مدهش
ambiguous	غامض
ambition	طموح
ambitious	طَموح
amend	يصلّح
amid	وسط
among	بين
among us	بيناتنا
amount	مبلغ
amusing	بيسلّي
analysis	تحليل
ancestors	أسلاف
anchor	مرساة
ancient	عتيق
ancient	قديم
and	وَ
and	بالإضافة إلى
and you	وانتو
and you	وانت
angel	ملاك
anger	الغضب
angle	زاوية
angry	غضبان
angry	زعلان
animal	حيوان
ankle	كاحل
anniversary	ذكرى سنوية
anniversary	عيد
announcement	إعلان
annoy	يزعج
annoyed	متدايق
annoying	بيدايق
annoying	مزعج
annual	سنوي
anonymous	مجهول الاسم
another	تاني
answer	رد
answer	جواب
anticipate	يتوقع
anxiety	قلق
anxious	قلقان
anxious	قلق
anxious	متقلق
any	أي
anymore	في شي تاني
anyone	أي حدا
anything	أي شي
anyway	ما بيهم
anyway	على كل حال
anyways	عكل حال
apart	منفصل
apartment	شقة
apologize	يعتذر
apparent	واضح
apparently	ظاهرياً
appeal	إلتماس
appeal	مناشدة
appear	بيظهر
appearance	شكل
appearance	مظهر
appeared	ظهر
appetite	شهية
apple	تفاحة
application	تطبيق
apply	بيطبّق
appointment	تعيين
appointment	موعد
appreciate	يقدّر
appreciate	بيقدّر
appreciation	تقدير
approach	يقترب
approach	قرّب
appropriate	مناسب
approval	موافقة
approve	استحسن
approved	موافق
approximately	تقريباً
april	نيسان
arbitrary	تعسفي
architect	مهندس معماري
architecture	عمران
archive	أرشيف
are	نكون
are you	هل انت
are you busy	انت مشغول شي
are you married	انت متزوج شي
are you married or single	انت متزوج أو أعزب
Are you still there?	لساتك هونيك؟
are you there	انت هونيك
area	منطقة
area	مكان
argue	تجادل
argue	تخانق
argument	مجادلة
arise	تصير
arm	ايد
arm	زند
army	جيش
around	حول
arrange	يحضّر
arrange	يجهّز
arrangement	تدبير
arrival	وصول
arrive	وصل
arrive	يصل
arrived	وصل
arrogant	متعجرف
arrogant	متكبّر
arrow	سهم
art	فن
article	شرط
article	مقالة
artificial	صناعي
artist	فنان
as	مثل
as	متل
as long as	طالما
as well	كمان
as well as	وكمان
ash	رماد
ashamed	خجلان
ask	بيسأل
asked	سأل
asleep	نايم
aspect	جانب
aspect	مظهر
Assamese	اللغة الآسامية
assault	يتعدى
assembly	جمعية
assembly	مجلس
assertive	جازم
assess	بيقيّم
assessment	تقييم
asset	أصول
assets	أصول
assign	تعيين
assignment	تكليف
assignment	مهمة
assist	بيساعد
assistant	مساعد
associate	رفيق
associate	شريك
associated	مرتبط ب
association	منظمة
assume	بيظن
assume	بيخمن
assumption	افتراض
at	عَ
at	في
at least	على الأقل
ate	أكل
athlete	لاعب رياضي
attach	يربط
attach	يرفق
attached	مُرفق
attachment	مرفق
attack	هجوم
attempt	محاولة
attempt	يحاول
attend	التحق
attend	حضر
attendance	الحضور
attention	انتباه
attention	اهتمام
attitude	تصرّف
attitude	سلوك
attract	جذب
attraction	جاذبية
attractive	مجذّب
attractive	جذاب
attribute	صفة
attribute	خصلة
audience	الجمهور
august	آب
aunt	عمة
aunty	عمتي
authentic	أصلي
authentic	أصيل
author	أديب
author	كاتب
author	مؤلف
authority	سلطة
autumn	الخريف
available	مُتَوَفِّر
available	مَوجُود
average	وسط
avoid	يداري
avoid	يتحاشى
avoid	يتجنب
awake	فايق
award	جائزة
aware	واعي
aware	بيفهم
awareness	وعي
awareness	ادراك
away	بعيد
awesome	بيجنن
awesome	رائع
awful	شنيع
awful	فظيع
awkward	أجدب
awkward	محرج
Aymara	اللغة الأيمرية
baby	طفل
bachelor	شهادة جامعية
back	ورا
back	ظهر
back	وراء
back	ضهر
background	خلفية
bad	سيّئ
bad	ما بيسوى
bad	ما منيح
bad	عاطل
bag	جزدان
bag	كيس
bait	طُعم
bake	يخبز
bakery	مخبز
baking soda	بيكربونات الصودا
balance	رصيد حساب
balance	توازن
ball	طابة
Bambara	اللغة البمبرية
banana	موز
band	فرقة
bang	فرقعة
bank	مصرف
bank	بنك
bar	حاجز
bar	بار
barely	يا دوب
bargain	مساومة
bark	نبيح
barley	شعير
barrier	حاجز
base	أساس
based	مرتكز على
basement	قبو
basic	أساسي
basically	بشكل أساسي
basil	حبق
bastard	واطي
bastard	ندل
batch	دفعة
batch	عجنة
bath	حمّام
bathroom	الحمّام
battery	بطارية
battle	معركة
bay	خليج
be	يكون
be	بيكُون
be careful	دير بالك
beach	شط
beam	شعاع
beans	فول
beans	فاصولية
bear	اتحمّل
bear	يحتمل
bear	كابر عنفسو
bear	دب
beard	دقن
bearing	تحمُّل
beast	وحش
beat	بيغلب
beat	يغلب
beautiful	رائِعْ
beautiful	رَوعَة
beautiful	جَميل جِدًّا
beauty	حِسن
beauty	جمال
became	صار
because	لِأنَُو
because	لأنَّ
become	صار
become	يصبح
bed	تخت
bed	سرير
bedroom	غرفة نوم
bee	نحلة
beef	لحمة
been	كان
beer	بيرة
before	قبل
began	بلّش
begin	بلّش
beginning	بداية
behalf	بالنيابة عن
behave	تصرّف
behavior	سلوك
behavior	تصرف
behaviour	تصرف
behind	ورا
behind	خلف
being	كونو
being	كون
belief	يقين
belief	اعتقاد
believe	يؤمن
believe	بيظن
believe	بيآمن
believe	بيعتقد
belly	بطن
belong	بيخص
belong	بيعود ل
beloved	محبوب
below	أسفل
below	تحت
belt	حزام
belt	كمار
bench	مقعد
bend	يلوي
beneath	أسفل
beneath	تحت
benefit	مصلحة
benefits	فوائد
beside	بالإضافة إلى
beside	بجانب
beside	جنب
besides	بالإضافة إلى
besides	بجانب
besides	جنب
best	أحسن شي
best	أفضل شي
best of luck	موفق
best regards	أطيب التحيات
better	أفضل
better	أحسن
between	بين
beverage	مشروب
beyond	ورا
beyond	وراء
Bhojpuri	اللغة البهوجبورية
bias	تحيّز
biased	متحيّز
bicycle	بسكليت
bid	مناقصة
bid	عطا
big	كبير
bike	بسكليت
bill	فاتورة
bind	ربط
bird	عصفور
birthday	عيد ميلاد
bit	قليل
bit	شقفة
bite	عضة
bite	قضمة
bitter	مرار
bitter	مر
black	أسود
blade	شفرة
blame	عتب
blame	لوم
blank	فاضي
blanket	بطانية
blast	تفجير
bleach	مبيض
blend	يخلط
bless	بَرَكة
blessed	مبروك
blessed	مبارك
blind	أعمى
blind	ما بيشوف
bliss	هنا
bliss	نعيم
block	حظر
block	حجز
blood	دم
bloom	يزهر
blow	بينفخ
blue	أزرق
blunt	فج
blunt	كلمتو عراس لسانو
board	لوحة
board	لوح
boat	فلوكا
boat	قارب
body	الجسم
boil	يغلي
bold	جريء
bold	شهم
bond	فرقة
bond	رابطة
bone	عضم
book	كتاب
book	يحجز
boost	يدعم
booster	داعم
boot	جزمة
boots	جزامي
border	حدود
bore	تجويف
bore	ثقب
bored	ضجران
bored	مالل
boring	ممل
boring	بيضجّر
boring	مُضجر
born	خِلق
born	وِلد
borrow	بيستعير
borrow	يستعير
boss	رئيس بالشغل
both	كلاهما
both	اتنيناتون
bother	بيزعج
bother	بيلبّك
bottle	قنينة
bottom	أسفل
bought	اشترى
bounce	وثب
bounce	نط
bound	بيتعلق ب
bound	مرتبط ب
boundaries	حدود
bow	قوس
bowl	صحن غميق
box	صندوق
boy	ولد
boy	صبي
boyfriend	حبيب
bracelet	اسوارة
brain	مخ
brain	دماغ
branch	فرع
brand	ماركة
brave	شجاع
brave	قلبو قوي
breach	خرق
breach	مخالفة
bread	خبّز
break	استراحة
break	يكسر
breakfast	فطور
breast	صدر
breath	تنفس
breathe	نَفَس
breed	نسل
breed	ذرية
brick	قرميدة
bride	عروس
bridge	جسر
brief	اختصار
bright	ملمّع
bright	مضوي
brilliant	عبقري
brilliant	ساحر
bring	جاب
bring	أحضر
bro	أخ
broad	واسع
broadcast	إذاعة
broke	كسّر
broke	خرّب
broken	خربان
broken	مكسور
broom	مكنسة
brother	شقيق
brother	أخ
brother in law	ابن الاحما
brought	جاب
brought	أحضر
brown	بني
brush	فرشاية
bucket	دلو
bucket	سطل
buddy	رفيق
buddy	صاحب
budget	ميزانية
bug	بقة
bug	ناموسة
build	يبني
building	بناية
built	بنى
bulk	ضخم
bulk	حجم كبير
bull	تور
bully	متنمر
bump	صدم
bunch	باقة
bundle	باقة
burden	تقّل على
burden	حمل
buried	مدفون
burn	حرق
burst	ينفجر
bury	دفن
bus	باص
bush	حرشاية
business	أعمال
business	شغل
business	تجارة
bust	فشل
bust	افلاس
busy	مشغول
busy	ما عم افضى حك راسي
but	لَكِنْ
but	بَسّ
butter	زبدة
butter	سمنة
butterfly	فراشة
button	زر
buy	اشترى
buy	عم يشتري
by	من خلال
by	بواسطة
by the way	بالمناسبة
by the way	صحيح
by the way	اي
bye	وداعًا
bye	مع السلامة
cabbage	ملفوف
cabinet	المرحاض
cage	قفص
cake	كاتّو
calf	عجل
call	مكالمة
call	بينادي
call me	اتصل فيّي
called	اسمو
calm	هادي
calm	متّزن
came	إجا
campaign	حملة
can	فيني
can	قادِر
can	أقدِر
can't	ما بتقدر
Cancel	إلغاء
cancer	سرطان
capable	متمكن
capable	قادر
capacity	قدّرة
capacity	استطاعة
capacity	استيعاب
capital	عاصمة
caption	شرح
caption	عنوان فرعي
capture	بيئسر
car	سيارة
career	مسيرة عمل
career	شغل
careful	دير بالك
careful	انتبه
carefully	علَى مهلك
carefully	شوي شوي
careless	مو مهتم
caring	ترباية
caring	حنية
carpenter	النجار
carpet	سجادة
carrot	جزرة
carry	بيحمل
carry on	استمر
carry on	تابع
carry out	تنفيذ
case	حالة
case	قضية
cash	نقدي
cash	كاش
cast	رمى
cast	صب
castle	قلعة
casual	يومي
casual	عادي
cat	بيسة
cat	قطة
catch	كمش
catch	مسك
category	فئة
cattle	دوابّ
cattle	مواشي
caught	أمسك
caught	لحّق
caught	مسك
cause	سبب
caution	حيطة
caution	حذَر
cautious	حِذر
cave	كهف
cease	بطّل
ceiling	سقف
celebrate	يحتفل
cell	خلية
center	مركز
century	قرن
cereal	حبوب
ceremony	احتفال
certain	أكيد
certain	متأكد
certainly	أكيد
certainly	تماماً
certificate	شهادة
chain	غّلق
chain	سلسلة
chair	كرسي
challenge	تحدّي
chance	فرصة
change	تغيير
chaos	تشويش
chaos	فوضى
character	حرف
character	شخصية
characteristics	صفات
charge	كلفة
charity	مؤسسة خيرية
charity	صَدَقة
charming	بياخد العقل
charming	ساحر
chart	جدول
chase	يلاحق
chat	دردشة
cheap	رخيص
cheat	عم بيغش
cheating	غش
check	راجع
check	تفقّد
cheek	خدّ
cheer	هتف
cheerful	فرحان
cheerful	مبسوط
cheers	هتاف
cheers	كاسك
cheese	جبنة
chemistry	كيميا
cherish	دلّل
chess	شطرنج
chest	صدر
chew	لاك
chicken	جبان
chicken	جاج
chief	مدير
child	ولد
child	طفل
childhood	مرحلة الطفولة
children	طفال
children	ولاد
chill	برد
chill	عم يرجف من البرد
chimneys	مَداخِن
chin	دقن
chocolate	شوكولاتة
choice	خيار
choose	اختار
choose	اختَر
chop	يقطع شرائح
chores	شغل البيت
chores	شي روتيني
chubby	مليان
chubby	سمين
church	كنيسة
cinnamon	قرفة
circle	دائرة
circumstances	ظروف
citizen	مواطن
city	مدينة
claim	عم يطالب
claim	يطلب
clarify	يوضح
class	صف
clay	فخّار
clean	عم يبرق
clean	نضيف
clear	فاضي
clear	واضح
clerk	موظف
clever	حربوق
clever	ذكي
client	عميل
cliff	جرف
cliff	منحدر
climate	مناخ
climb	يعربش
clingy	لزج
clingy	بيدبّق
clock	ساعة حيط
close	بيسكّر
closet	خزانة
cloth	قماش
clothes	تياب
clothes	ثياب
cloud	غيمة
cloudy	مغيّم
clown	أركوز
clown	بهلوان
clue	فكرة
clumsy	مرتبك
cluster	عنقود
cluster	مجموعة
coach	مدرّب
coal	فحم
coast	الساحل
coat	جاكيت
coffee	قهوة
cognitive	ادراكي
cognitive	معرفيّ
coincidence	صدفة
cold	برد
cold	رشح
collapse	عم ينهار
collar	طوق
colleague	زميل
colleagues	زملا
collect	يجمع
collection	تشكيلة
collection	مجموعة
college	كلية
color	لون
colorless green ideas slept furiously	يمكن للأفكار الساذجة اللي ما وصلت لسى لرؤيا كاملة انها تخلّي العقل شغّال دايما حتى لو حاول يستريح
colour	لون
column	عمود
comb	مشط
combination	مزيج
combine	يجمع
come	تعال
come	تعا
come here	تعا لهون
come on	شو هالحكي
come on	خلّص بقا
comfort	راحة
comfortable	مريح
coming	جايّي
coming soon	عن قريب
command	يئمر
comment	تعليق
commercial	تجاري
commission	عمولة, سمسرة
commit	يرتكب
commitment	تعهّد
commitment	إلتزام
committed	ملتزم
commodity	سلعة
common	معروف
common	شائع
communicate	يتواصل
communication	تواصل
community	المجتمع
commute	كفّر عن ذنب
commute	عوّض
companion	رفيق
company	شركة
company	صحاب
company	رفقات
compare	بيقارن
comparison	مقارنة
compassion	عطف
compassionate	حنون
compatible	متناسق
compatible	متناسب
compete	بينافس
competent	كفؤ
competition	تنافس
competition	تناحر
competitive	تنافسي
complain	يشتكي
complaint	شكوى
complement	مديح
complete	بيكمل
complete	بيخلّص
completely	بشكل كامل
completely	كلّو
complex	معقد
compliance	طاعة
complicated	معقّد
compliment	مجاملة
comply	يطيع
composition	تعبير
composition	تأليف
compound	مجمّع
comprehension	فهم
comprehensive	شامل
compromise	تسوية
compromise	مساومة
compulsory	إلزامي
computer	كمبيوتر
concentrate	ركّز
concept	مفهوم
concern	اهتمام
concerned	مهتم
concert	حفلة موسيقية
conclusion	نهاية
conclusion	خاتمة
concrete	اسمنت
condition	حالة
condition	ظرف
condition	مكيف هواء
conditions	شروط
conduct	سلوك
conduct	تصرف
conference	مؤتمر
confess	اعترف
confidence	ثقة
confident	واثق من نفسه
confident	متأكد
confident	واثق بنفسو
confirm	تأكيد
conflict	خناقة
confused	مشوّش
confusion	ارتباك
congrats	مبروك
congrats	تهانينا
congratulation	مبروك
congratulations	مبروك
congratulations	مبارك
congratulations	تهانينا
conjunction	اِقتِران
connect	اتصل
connect	تواصل
conquer	يغزي
conscious	واعي
consciousness	الوعي
consent	موافقة
consent	قبول
consequences	العواقب
consequences	تبعات
conservation	المحاظة على
conservative	متزمّت
conservative	محافظ
consider	شوف الموضوع
consider	فكّر
consider	اعتبر
considered	يعتبر
considered	ما تشغل بالك
consist	بتتألف من
consistency	تناسق
consistent	ملاءم
consistent	ثابت
constant	ثابت
constantly	دائماً
constantly	بشكل مستمر
constipation	إمساك
construction	بناء
construction	بناية
consume	يستهلك
consume	ياخد
consumption	استهلاك
contact	اتصال
contagious	بيعدي
contain	فيه
contains	بيتضمن
contemporary	عصري
contempt	تقليل قيمة
contempt	احتقار
content	محتوى
content	مضمون
contest	منافسة
context	ضمن السياق
continent	قارة
continue	استمر
continue	تابع
contract	عقد
contrast	تضارب
contribute	بيساهم
contribution	مساعدة
contribution	مساهمة
control	سيطرة
controversial	مثير للجدل
convenience	مناسب
convenience	وقت مناسب
convenient	مناسب
conversation	حديث
conversation	كلام
convert	تبدَّل
convert	تحوَّل
convey	يوصَِل
convince	يقنع
convinced	مقتنع
cook	يطبخ
cooking	طبخ
cool	هادِئ
cool	رايق
cool	هَادِي
cooperation	تعاون
cope	دبر حالو
cope	تعاون
copper	نحاس
core	جوهر
core	معدن
corn	درة
corner	زاوية
correct	صحيح
correct	مظبوط
cost	كلفة
costume	زي
cottage	كوخ
cotton	قطن
couch	مدرب
cough	يقحّ
cough	يسعل
could	قدر
could	يمكن
council	مجلس
count	عدّ
counter	عدّاد
country	بلد
country	دولة
countryside	الريف
couple	زوجين
courage	شجاعة
courage	جرأة
course	دورة
course	منهاج
court	محكمة
courtesy	لطافة
cousin	ابن العم
cousin	ابن الخال
cousin	نسيب
cousin	من الأقرباء
cover	غطا
cow	بقرة
coward	جبان
cozy	مريح
cozy	دافي
crab	سلطعون
crack	طقطق
crack	شق
craft	صنعة
crap	حكي فاضي
crash	انكسر
crash	خرب
craving	حنين
craving	شوق كبير
crawl	زحف
crazy	مخبول
crazy	مجنون
create	يعمل
creative	مبدع
creative	خلّاق
credit	تسليف
creep	حيوان زاحف
creepy	شي عم يزحف
crew	طاقم
crime	جريمة
cringe	انكمش
crisis	أزمة
criteria	معيار
criteria	محك
critical	أهم شي
criticism	نقد
crop	غلّة
crops	غلة
crops	محاصيل
cross	تقاطع
cross	قطع
cross	صليب
crow	غراب
crowd	يعجق
crowded	عجقة
crown	تاج
crucial	حاسم
crucial	مصيري
cruel	فج
cruel	قاسي
cruise	رحلة بحرية
crush	فتت
crush	معجب
cry	يصرّخ
cry	يبكي
cucumber	خيار
cuddle	يحضن
culture	حضارة
culture	تهذيب
culture	ثقافة
cunning	ماكر
cunning	شيطان
cup	كوب
cup	كباية
cupboard	خزانة صغيرة
curb	حفة الرصيف
cure	علاج
cure	دوا
curfew	حظر التجول
curiosity	فضول
curious	فضولي
curly	مجعّد
currency	عملة
current	الحالي
currently	هلق
currently	بهالوقت
currently	حالياً
curse	لعنة
curtain	برداية
cushion	مخدة
custom	جمارك
custom	عادات
custom	تقاليد
customer	زبون
customs	جمارك
cut	يقطع
cut	يقص
cute	لطيف
cute	ظريف
cycle	دورة
cycle	دائرة
cycling	ركوب البسكليتات
dad	أب
daddy	بابي
daily	يومياً
dairy	ألبان وأجبان
dam	سد
damage	ضرر
damage	أذى
damn	الله يلعن
damp	رطب
dance	رقص
danger	خطر
dangerous	خطير
dangerous	خطِر
dark	عتمة
darling	محبوبي
dash	اندفاع
data	بيانات
date	تاريخ
date	موعد
daughter	بنت
day	يوم
dead	ميت
deadline	موعد التسليم
deaf	أطرش
deal	صفقة
deal	اتفقنا
dear	عزيزي
Dear All	أعزائي
Dear Customer	عزيزي العَمِيل
Dear Customer	عزيزي الزبون
Dear Parents	الأباء الأعزاء
Dear Sir	سيدي العزيز
Dear students	طلابي الأعزاء
Dear Team	فريقي العزيز
death	موت
debate	مناظرة
debit	دَين
debris	أنقاض
debt	دَين
decade	عِقد
decay	عفن
deceased	المرحوم
deceive	يخدع
december	كانون الأول
decent	لايق
decent	محتشم
decide	قرر
decided	قرر
decision	قرار
deck	ضهر السفينة
decline	ينسحب
decrease	عم ينقص
dedicated	مخلص
dedicated	وفي
dedication	إخلاص
deed	الفعل
deep	غميق
deer	غزال
default	افتراضي
defeat	غلب
defend	يدافع عن
define	بيعرّف
definitely	أكيد
definitely	بالتأكيد
definition	تعريف
degree	درجة
delay	تأخير
delayed	اتأخر
delete	يمحي
deliberate	تشاور
delicate	حسّاس
delicious	لذيذ
delicious	طيب
delight	فرحة
delighted	فرحان
deliver	سلّم
delivered	تم التوصيل
delivery	توصيل
delivery	تسليم
demand	طلب
demanding	متطلّب
democracy	ديمقراطية
demon	شيطان
demonstrate	يوضّح
denied	رفض
density	سماكة
density	كثافة
dentist	دكتور سنان
deny	ينكر
department	قسم
department	دائرة
departure	راح
depend	بيعتمد على
deploy	نشر
deposit	إيداع
depressed	زعلان
depression	اكتئاب
depth	عمق
describe	بيوصف
description	وصف
desert	صحرا
deserve	بيستاهل
deserve	بيستحق
design	تصميم
designation	تعيين
desire	رغبة
desk	مقعد
desk	مكتب
despair	يأس
desperate	مستقتل
desperate	يئسان
despite	بالرغم من
dessert	حلويات
dessert	دوسير
destination	غاية
destination	وجهة
destiny	قدر
destiny	نصيب
destroy	كسّر
destroy	خرّب
destroy	هدّ
destruction	الدمار
detail	التفاصيل
details	تفاصيل
detect	يكشف
determination	تصميم
determination	عزيمة
determine	بيحدد
determine	بيعيّن
determine	يعيّن
determined	محدد
devastated	خرّب
develop	بيتطور
develop	بيتقدم
developed	تطوَّر
development	تقدم
development	تطور
device	جهاز
devil	شيطان
devoted	مكرّس
Dhivehi	اللغة الديفهية
diabetes	السكري
diarrhea	إسهال
diary	مفكّرة
dictionary	قاموس
did	عمل
die	يموت
died	مات
diet	دايت
diet	ريجيم
difference	اختلاف
different	مختلف
difficult	صعب
dig	حفر
dignity	كرامة
diligent	شاطر
diligent	مجتهد
dinner	عشا
dip	غمس
direct	مباشرةً
direction	اتجاه
director	مُخرج
dirt	غبرا
dirt	وسخ
dirty	وسخ
dirty	وخم
dirty	قذر
disable	إبطال
disabled	معطّل
disappear	اختفى
disappointed	خيبة أمل
disaster	مصيبة
discard	ينبذ
discard	يتبرا من
discharge	تسريح
discipline	تأديب
discount	تخفيض
discover	يكتشف
discrimination	تمييز بالمعاملة
discuss	عم يناقش
discussion	مناقشة
disease	داء
diseases	الأمراض
disguise	تنكّر
disgusting	مقزّز
disgusting	بيقرّف
dish	صحن
dishes	صحون
dismiss	رفض
dismiss	فضّوا بقا
dispatch	ارسال
display	يعرض
disposal	تصرّف
disposal	تدبير
dispute	مجادلة
dispute	خلاف
dispute	خناقة
distance	مسافة
distance	بُعد
distinct	متميز
distinguish	يميّز
distress	محنة
distribution	توزيع
district	منطقة
district	حي
disturb	يزعج
disturb	يدايق
ditch	يتخلص من
ditch	الصرف الصحي
dive	يغوص
diverse	منوّع
diversity	تنوّع
divide	يقسّم
divine	ربّاني
divorce	طلاق
dizzy	دايخ
do	إفعَل
do	إِعمَل
do	عمُول
do you	هل انت
do you love me	ما بتحبني
doctor	دكتور
document	مستند
document	وثيقة
does	يفعل
doesn't	لا
dog	كلب
Dogri	اللغة الدوغرية
doing	يعمل
doll	لعبة
domain	مجال
domain	اختصاص
domestic	محلي
domestic	بلدي
dominant	مسيطر
don't	لا
Don't worry	لا تخاف
Don't worry	ولا يهمك
donate	يتبرع
done	خلّص
done	انتهى
donkey	حمار
dope	منشط
dope	مخدّر
double	مزدوج
doubt	شك
dough	عجين
down	تحت
download	تحميل
draft	مسودة
drag	جرّ
drain	بالوعة
drama	دراما
draw	يسحب
draw	يرسم
drawer	درج
drawing	رسم
drawing	سحب
dread	رهبة
dream	حلم
dress	فستان
drill	مثقب
drink	شراب
drink	شرب
drive	قاد
drive	ساق
drop	بيوقّع
drop	قطرة
dropped	وقّع
drought	نشفان
drunk	سكران
dry	ناشف
duck	بطة
dude	رفيقي
dude	صديقي
due	بسبب
due	لأنو
due	صار وقتو
due to	بسبب
due to	لأنو
dull	بيضجّر
dull	بيملل
dumb	مهبول
dumb	مخبول
dumb	أجدب
dump	أجدب
dump	أهبل
duration	مدة
during	أثناء
during	وقت ما
dust	غبرا
duty	واجب
duty	مهمة
dwell	يسكن
dying	عم يموت
dying	سكّرات الموت
each	كلّ
each other	بعضا البعض
eager	مشتاق
eager	متحمس
eagle	نسر
ear	ادن
earlier	قبل هلق
earlier	قبل هيك
early	بكير
early	وقت مبكر
earn	يكسب
ears	أدنين
earth	الأرض
earthquake	هزة أرضية
earthquake	زلزال
ease	بيسهّل
easily	بسهولة
east	الشرق
easy	سهل
eat	يأكل
eat	ياكل
eating	عم ياكل
economic	اقتصادي
economy	اقتصاد
edge	حرف
edge	حفة
edit	يعدّل
education	تعليم
education	ثقافة
effect	تأثير
effective	الو تأثير كبير
efficiency	كفاءة
efficient	كفؤ
efficient	فعّال
effort	جهد
egg	بيضة
eggplant	بيتنجان
ego	الأنا
ego	أنانية
eight	تمانية
eighteen	تمنتعش
eighty	تمانين
either	لا أحد
either	ولا واحد
elaborate	يشرح
elbow	كوع
elder	كبار العمر
elderly	كبير بالعمر
elegant	حلو
elegant	أنيق
element	عنصر
elephant	فيل
eleven	احدعش
eligible	صالح
eligible	مناسب
eliminate	بعّدو عن
else	كمان
else	تاني
embarrassed	بيخجل
embarrassed	محرج
embarrassing	محرج
embrace	عم يعانق
emerge	يظهر
emergency	الطوارئ
emotional	عاطفي
empathy	تعاطف
emphasis	تأكيد
emphasize	بيأكد
employee	موظف
employees	موظفين
employer	صاحب الشغل
employer	المعلم
employment	توظيف
empty	فاضي
empty	ما في شي
enable	تمكين
encounter	مواجهة
encourage	بيشجع
encourage	يشجّع
encourage	يحمّس
end	نهاية
endangered	مهدد بالخطر
endeavor	سعي
endurance	طاقة عالاحتمال
endure	يعاني
enemy	العدو
energy	طاقة
energy	قدرة
engage	يخطب
engaged	مخطوبة
engaged	خاطب
engagement	خطبة
engine	محرك
engine	موتور
engineer	مهندس
English	انكليزي
enhance	بيدعم
enhance	بيقوي
enjoy	افرح
enjoy	انبسط
enormous	كبير كتير
enormous	ضخم
enough	بيكّفِّي
enough	يَكْفِي
ensure	أكّد
enter	فات
entertainment	تسلاية
enthusiasm	حماس
enthusiastic	متحمس
entire	كلّو
entitled	عنوانو
entity	كيان
entrance	مدخل
entrepreneur	مقاول
entrepreneur	متعهد
envelope	ظرف
envelope	مظروف
environment	البيئة
envy	حسّد
epic	ملحمي
epidemic	وباء
equal	بيساوي
equipment	تجهيزات
equipment	عدّة
equity	عدل
equivalent	بيساوي
equivalent	بيقابلو
eraser	محاية
error	غلط
escape	يهرب
especially	خصوصاً
especially	خصوصي
essay	مقالة
essence	جوهر
essential	ضروري
essential	أساسي
establish	يأسس
established	أسّس
estate	ملكية
estimate	بيتوقّع
