شوية	a little
إنذار	alarm
خمر	alcohol
كحول	alcohol
تنبيه	alert
إنذار	alert
حي	alive
جميع	all
كلّو	all
وخا	all right
نتمناليك الخير	all the best
خلّا	allow
مسموح	allowed
تقريباً	almost
علاين	almost
وحيد	alone
على طول	along
ديجا	already
مزيان	Alright
وخا	Alright
حتى	also
بديل	alternative
بالرغم من	although
وخا	although
ديما	always
واعر	amazing
غامض	ambiguous
طموح	ambition
طموح	ambitious
عدّل	amend
وسط	amid
من بين	among
بيننا	among us
ثمن	amount
الكمية	amount
مسلي	amusing
تحليل	analysis
أسلاف	ancestors
مذيع	anchor
مرساة	anchor
قديم	ancient
و	and
ونتا	and you
ملاك	angel
عصب	anger
زاوية	angle
ساخط	angry
معصّّب	angry
حيوان	animal
شوڤيا	ankle
ذكرى	anniversary
عيد	anniversary
إعلان	announcement
شقم	annoy
مقلق	annoyed
معصب	annoyed
فيه الشقمة	annoying
مزعج	annoying
سنوي	annual
مجهول	anonymous
آخر	another
جواب	answer
جاوب	answer
توقّع	anticipate
قلق	anxiety
مقلق	anxious
أي	any
أي واحد	anyone
أي حاجة	anything
على أي حال	anyway
ما علينا	anyway
ما علينا	anyways
بغض النظر	apart
شقة	apartment
اعتذر	apologize
واضح	apparent
باينة	apparently
على ما تيبان	apparently
استئناف	appeal
ظهر	appear
مظهر	appearance
ظهر	appeared
شهية	appetite
تفاحة	apple
تطبيق	application
طبّق	apply
موعد	appointment
قدّر	appreciate
تقدير	appreciation
قرّب	approach
مناسب	appropriate
موافقة	approval
وافق	approve
موافق عليه	approved
معتمد	approved
تقريبًا	approximately
أبريل	april
تعسفي	arbitrary
معماري	architect
هندسة معمارية	architecture
أرشفة	archive
واش انت	are you
واش مشغول	are you busy
واش نتا مزوج	are you married
واش متزوج ولا أعزب	are you married or single
ما زال هنا؟	Are you still there?
واش نتا هنا؟	are you there
منطقة	area
ناقش	argue
نقاش	argument
حجة	argument
برز	arise
ذراع	arm
جيش	army
داير بـ	around
على	around
نظم	arrange
ترتيب	arrangement
وصول	arrival
وصل	arrive
وصل	arrived
متكبر	arrogant
حاس براسو	arrogant
سهم	arrow
فن	art
مقالة	article
بند	article
اصطناعي	artificial
فنان	artist
بحال	as
حيت	as
ما دام	as long as
حتى	as well
زيد عليها	as well as
رماد	ash
حشمان	ashamed
سوّل	ask
سوّل	asked
ناعس	asleep
جانب	aspect
مظهر	aspect
الأسامية	Assamese
تعدى	assault
تجميع	assembly
حازم	assertive
تقييم	assess
تقييم	assessment
أصل	asset
أصول	assets
تعيين	assign
واجب	assignment
مهمة	assignment
عاون	assist
مساعد	assistant
مشارك	associate
مرتبط	associated
جمعية	association
منظمة	association
فترض	assume
افتراض	assumption
فـ	at
مع	at
على الأقل	at least
كلمة	ate
رياضي	athlete
ارفق	attach
علق	attach
مرفق	attached
مرتبط	attached
مرفق	attachment
تعلق	attachment
هاجم	attack
حاول	attempt
حضر	attend
حضور	attendance
انتباه	attention
اهتمام	attention
سلوك	attitude
جذب	attract
جاذبية	attraction
جذاب	attractive
ميزة	attribute
جمهور	audience
غشت	august
عمة	aunt
خالة	aunt
عمتي	aunty
أصلي	authentic
كاتب	author
مؤلف	author
سلطة	authority
خريف	autumn
موجود	available
عادي	average
متوسط	average
تجنب	avoid
فايق	awake
جائزة	award
إدراك	aware
توعية	awareness
بعيد	away
واعر	awesome
خايب	awful
غريب	awkward
الأيمرية	Aymara
ترابي	baby
خلوق	baby
بكالوريوس	bachelor
رجع	back
ظهر	back
من ورا	back
خلفية	background
خايب	bad
حقيبة	bag
ماليطة	bag
طعم	bait
فخ	bait
خبز	bake
مخبزة	bakery
صودا الخبز	baking soda
توازن	balance
كرة	ball
لغة بمبارة	Bambara
بنان	banana
حزام	band
فرقة	band
انفجر	bang
بنكا	bank
شريط	bar
قضيب	bar
بدراع	barely
بالسيف	barely
مساومة	bargain
نبح	bark
شعير	barley
حاجز	barrier
قاعدة	base
مبازيا	based
السفلي	basement
أساسي	basic
عادي	basic
أساسًا	basically
ريحان	basil
حمار	bastard
دفعة	batch
مجموعة	batch
حمام	bath
طواليط	bathroom
باتري	battery
معركة	battle
خليج	bay
يكون	be
رد البال	be careful
بحر	beach
شعاع	beam
بوطو	beam
فاصوليا	beans
حبوب	beans
صبّر	bear
دب	bear
لحية	beard
تحمل	bearing
وحش	beast
غلب	beat
ضرب	beat
زوين	beautiful
جمال	beauty
رجع	became
حيتاش	because
رجع	become
ولّا	become
فراش	bed
بيت النعاس	bedroom
نحلة	bee
لحم	beef
كان	been
بيرة	beer
قبل	before
بدأ	began
بدا	begin
بداية	beginning
نيابةً على	behalf
تصرف	behave
سلوك	behavior
سلوك	behaviour
مورا	behind
كاين	being
إيمان	belief
اعتقاد	belief
آمن	believe
كرش	belly
ملك ديال	belong
محبوب	beloved
تحت	below
حزام	belt
كرسي	bench
تني	bend
حني	bend
تحت	beneath
ميزة	benefit
مزايا	benefits
جنب	beside
زد عليها	besides
زيدون	besides
أحسن	best
حظ سعيد	best of luck
أطيب التحيات	best regards
حسن	better
بين	between
مشروب	beverage
مورا	beyond
البوجبورية	Bhojpuri
تحيز	bias
متحيز	biased
بيكالة	bicycle
مناقصة	bid
عرض	bid
كبير	big
بيكالة	bike
فاتورة	bill
حصلة	bind
ربط	bind
طوير	bird
عيد ميلاد	birthday
شوية	bit
عض	bite
عضة	bite
مرّ	bitter
كحل	black
شفرة	blade
لام	blame
خاوي	blank
بطانية	blanket
انفجار	blast
تبييض	bleach
مبيّض	bleach
خلّط	blend
بارك	bless
مبارك	blessed
اعمى	blind
نعيم	bliss
بلوك	block
كتلة	block
حظر	block
دم	blood
زدهر	bloom
فجر	blow
ضرب	blow
زرق	blue
صريح	blunt
لوحة	board
سبورة	board
مركب	boat
جسم	body
غلّي	boil
جريء	bold
عريض	bold
سند	bond
رابطة	bond
عظم	bone
كتاب	book
حجز	book
عزز	boost
زاد	boost
معزز	booster
تمهيد	boot
سباط	boot
لي بوط	boots
حدود	border
تجويف	bore
جاه الملل	bored
ممل	boring
ولد	born
سلّف	borrow
رئيس	boss
بجوج	both
زعج	bother
شقم	bother
قرعة	bottle
قاع	bottom
شرا	bought
ارتداد	bounce
ملزم	bound
حدود	boundaries
قوس	bow
حنى	bow
زلافة	bowl
صندوق	box
دري	boy
حبيب	boyfriend
براسلي	bracelet
مخ	brain
غصن	branch
فرع	branch
براند	brand
ماركة	brand
شجاع	brave
خرق	breach
خبز	bread
هرس	break
استراحة	break
فطور	breakfast
صدر	breast
تنفس	breath
تنفس	breathe
سلالة	breed
فصيلة	breed
ياجور	brick
عروس	bride
جسر	bridge
موجز	brief
مختصر	brief
فاتح	bright
ساطع	bright
لامع	brilliant
ذكي	brilliant
جاب	bring
خويا	bro
واسع	broad
عام	broad
إذاعة	broadcast
مفلس	broke
هرّس	broke
مهرس	broken
خاسر	broken
شطابة	broom
أخ	brother
أخ ماشي شقيق	brother in law
جاب	brought
بني	brown
غسل	brush
شيتة	brush
سطل	bucket
صاحب	buddy
ميزانية	budget
حشرة	bug
بنى	build
مبنى	building
مبني	built
لا ماس	bulk
بالجملة	bulk
ثور	bull
تنمر	bully
ضرب	bump
حزمة	bunch
باقة	bundle
ثقل	burden
عبء	burden
مدفون	buried
حرق	burn
طرطق	burst
انفجر	burst
دفن	bury
طوبيس	bus
شجيرة	bush
شركة	business
مشروع	business
اعتقل	bust
شدّ	bust
مشغول	busy
من غير	but
ولكن	but
زبدة	butter
فراشة	butterfly
بوطون	button
شرا	buy
مع	by
من عند	by
بـ	by
بالمناسبة	by the way
آه بلحاق	by the way
بسلامة	bye
كروم	cabbage
كابينة	cabinet
قفص	cage
كيكة	cake
مولي	calf
عجل	calf
عيط	call
اتّصل	call
تاصل بيا	call me
عيّط	called
اتصل	called
هادئ	calm
جا	came
حملة	campaign
قدر	can
يمكن	can
مقادرش	can't
إلغاء	Cancel
لغي	Cancel
سرطان	cancer
قادر	capable
سعة	capacity
عاصمة	capital
عنوان	caption
التقط	capture
طوموبيل	car
مهنة	career
حريص	careful
بعناية	carefully
ممسوقش	careless
رعاية	caring
نجار	carpenter
سجادة	carpet
خيزو	carrot
جعدة	carrot
كمل	carry
هاز	carry
كمّل	carry on
تنفيذ	carry out
محفظة	case
حالة	case
قضية	case
كاش	cash
طاقم ممثلين	cast
لقى	cast
قلعة	castle
ماشي رسمي	casual
مش	cat
قط	cat
شدّ	catch
فئة	category
قطيع	cattle
شدّ	caught
تسبّبْ	cause
سبب	cause
حذر	caution
حذر	cautious
كهف	cave
وقف	cease
سقف	ceiling
احنفال	celebrate
خلية	cell
وسط	center
مركز	center
قرن	century
كورن فليكس	cereal
حفلة	ceremony
معين	certain
بالتأكيد	certainly
شهادة	certificate
سلسلة	chain
كرسي	chair
تحدي	challenge
فرصة	chance
بدل	change
فوضى	chaos
شخصية	character
خصائص	characteristics
شارج	charge
تهمة	charge
صدقة	charity
مؤسسة خيرية	charity
ساحر	charming
مخطط	chart
جدول	chart
يصطاد	chase
شات	chat
رخيص	cheap
غش	cheat
خدع	cheat
غش	cheating
خان	cheating
تحقق	check
شاف	check
حنك	cheek
شجع	cheer
مبتهج	cheerful
بصحة	cheers
جبن	cheese
كيمياء	chemistry
اعتز	cherish
شطرنج	chess
صدر	chest
صندوق	chest
مضغ	chew
دجاجة	chicken
رئيس	chief
مدير	chief
قايد	chief
دري	child
طفولة	childhood
أطفال	children
دراري	children
برّد	chill
قشعريرة	chill
مداخن	chimneys
غادومة	chin
شكلاط	chocolate
اختيار	choice
ختار	choose
قطع	chop
واجبات	chores
غليظ	chubby
كنيسة	church
قرفة	cinnamon
دائرة	circle
ظروف	circumstances
مواطن	citizen
مدينة	city
طالب	claim
ادّعى	claim
وضّح	clarify
صف	class
فصل	class
طين	clay
فخار	clay
نقي	clean
واضح	clear
كاتب	clerk
موظف	clerk
ذكي	clever
عميل	client
كليان	client
جرف	cliff
مناخ	climate
تسلق	climb
متشبث	clingy
ساعة	clock
سد	close
خزانة	closet
درّة	cloth
حوايج	clothes
سحابة	cloud
مغيم	cloudy
مهرج	clown
فكرة	clue
أخرق	clumsy
غريب	clumsy
تجمع	cluster
مدرب	coach
فحم	coal
ساحل	coast
كبوط	coat
قهوة	coffee
معرفية	cognitive
مصادفة	coincidence
بارد	cold
انهار	collapse
سلسلة	collar
زميل	colleague
زملاء	colleagues
جمع	collect
مجموعة	collection
كلية	college
لون	color
أفكار خضرة ما عندها لون نعسات وهي معصبة	colorless green ideas slept furiously
لون	colour
عمود	column
مشط	comb
خليط	combination
مزيج	combination
دمج	combine
جمع	combine
جا	come
أجي لهنا	come here
يلاه	come on
راحة	comfort
مريح	comfortable
ماجي	coming
قريب	coming soon
سلطة	command
أمر	command
تعليق	comment
تجاري	commercial
لجنة, عمولة	commission
التزم	commit
ارتكب	commit
التزام	commitment
ملتزم	committed
ارتكب	committed
سلعة	commodity
معروف	common
شائع	common
تواصل	communicate
تواصل	communication
مجتمع	community
تنقل	commute
رفيق	companion
شركة	company
صحبة	company
مقارنة	compare
مقارنة	comparison
شفقة	compassion
عطف	compassion
حنين	compassionate
متناسق	compatible
متوافق	compatible
نافس	compete
كفؤ	competent
منافسة	competition
تنافسي	competitive
تشكى	complain
شكوى	complaint
استكمال	complement
كمّل	complete
تماماً	completely
معقد	complex
امتثال	compliance
معقد	complicated
مجاملة	compliment
امتثل	comply
تركيب	composition
مجمع	compound
فهم	comprehension
شامل	comprehensive
حل وسط	compromise
اجباري	compulsory
بي سي	computer
ركّز	concentrate
مفهوم	concept
قلق	concern
اهتمام	concern
مقلق	concerned
حفل موسيقي	concert
خلاصة	conclusion
سيما	concrete
ملموسة	concrete
حالة	condition
شرط	condition
شروط	conditions
تولّى	conduct
سلوك	conduct
مؤتمر	conference
اعترف	confess
ثقة	confidence
واثق	confident
أكّد	confirm
صراع	conflict
مشوّش	confused
ربجة	confusion
مبروك	congrats
مبروك	congratulation
مبروك	congratulations
ارتباط	conjunction
اقتران	conjunction
ربط	connect
غزا	conquer
واعي	conscious
وعي	consciousness
موافقة	consent
عواقب	consequences
حافظ	conservation
محافظ	conservative
عتبر	consider
راعي	consider
تيتعتبر	considered
يتضمن	consist
اتساق	consistency
ثابت	consistent
ثابت	constant
باستمرار	constantly
ديما	constantly
إمساك	constipation
بني	construction
استهلاك	consume
استهلاك	consumption
اتصال	contact
اتّصل	contact
معدي	contagious
فيه	contain
كيحتوي على	contain
تضمن	contains
معاصر	contemporary
احتقار	contempt
محتوى	content
منافسة	contest
سياق	context
قارة	continent
كمّل	continue
كونطرا	contract
تباين	contrast
مقابلة	contrast
ساهم	contribute
مساهمة	contribution
تحكم	control
جدلي	controversial
راحة	convenience
مريح	convenient
مناسب	convenient
محادثة	conversation
حوّل	convert
وصّل	convey
قنع	convince
مقتنع	convinced
طباخ	cook
طيب	cook
طياب	cooking
طيب	cooking
واعر	cool
بارد	cool
تعاون	cooperation
واجه	cope
نحاس	copper
جوهر	core
ذرة	corn
ركينة	corner
قنت	corner
صحيح	correct
ثمن	cost
تكلفة	cost
بدلة	costume
كوستيم	costume
كوخ	cottage
قطن	cotton
كانابي	couch
سْعَلْ	cough
سُعْلّة	cough
يمكن	could
مجلس	council
عدد	count
كونطور	counter
بلاد	country
البادية	countryside
ثنائي	couple
شجاعة	courage
دورة	course
مجلس	court
محكمة	court
مجاملة	courtesy
ولد عمتي	cousin
ولد حبيبي	cousin
ولد عمي	cousin
غطا	cover
بقرة	cow
جبان	coward
خواف	coward
مريح	cozy
سلطعون	crab
هرّس	crack
حرفة	craft
تخربيق	crap
كسيدة	crash
رغبة	craving
زحف	crawl
حمق	crazy
إنشاء	create
مبدع	creative
ائتمان	credit
رصيد	credit
كيخلع	creep
كيخوف	creepy
طاقم	crew
جريمة	crime
بليز	cringe
مبلوز	cringe
أزمة	crisis
معايير	criteria
حاسم	critical
مهم	critical
نقد	criticism
محصول	crop
محاصيل	crops
صليب	cross
يعبر	cross
غراب	crow
حشد	crowd
زحام	crowd
مخنوق	crowded
عامر	crowded
تاج	crown
حاسم	crucial
ضروري	crucial
حكار	cruel
قاسي	cruel
رحلة بحرية	cruise
كراش	crush
حطّم	crush
بكى	cry
خيار	cucumber
عانق	cuddle
ثقافة	culture
لاصيان	cunning
كاس	cup
خزانة	cupboard
قمع	curb
دوا	cure
حظر التجول	curfew
فضول	curiosity
فضولي	curious
فيه البلوة	curious
مجرفل	curly
مجعد	curly
عملة	currency
الحالي	current
حاليًا	currently
سبّ	curse
رواق	curtain
مخدة	cushion
جمرك	custom
مخصص	custom
عميل	customer
جمارك	customs
قطع	cut
حلو	cute
دورة	cycle
ركوب الدراجات	cycling
الوالد	dad
با	dad
بابا	daddy
يوميًا	daily
الألبان	dairy
سد	dam
ضرر	damage
تفو	damn
فازك	damp
شطحة	dance
خطر	danger
خطير	dangerous
مغلوق	dark
حبيبا	darling
اندفاع	dash
بيانات	data
تاريخ	date
موعد	date
بنت	daughter
نهار	day
ميت	dead
موعد نهائي	deadline
أصم	deaf
اتفاق	deal
صفقة	deal
عزيز	dear
أعزائي	Dear All
عميلنا العزيز	Dear Customer
الآباء الأعزاء	Dear Parents
سيدي العزيز	Dear Sir
طلابي العزاز	Dear students
فريقي العزيز	Dear Team
موت	death
جدال	debate
خصم	debit
حطام	debris
دين	debt
عقد	decade
انحلال	decay
تعفن	decay
متوفى	deceased
خدع	deceive
دجنبر	december
مزيان	decent
قرر	decide
قرر	decided
قرار	decision
الظهر ديال السفينة	deck
سطح	deck
رفض	decline
انخفض	decrease
متخصص	dedicated
تكريس	dedication
عمل	deed
عميق	deep
عزال	deer
افتراضي	default
فشل	defeat
خسارة	defeat
دافع	defend
حدد	define
بلا شك	definitely
تعريف	definition
دقة	definition
درجة	degree
شهادة	degree
تأخير	delay
تأخير	delayed
مسح	delete
متعمد	deliberate
دقيق	delicate
حساس	delicate
لذيذ	delicious
بهجة	delight
فرحان	delighted
وصّل	deliver
تصيفط	delivered
توصيل	delivery
طالب	demand
طالب	demanding
ديمقراطية	democracy
شيطان	demon
وضّح	demonstrate
نفى	denied
كثافة	density
طبيب ديال السنان	dentist
نكر	deny
إدارة	department
قسم	department
رحيل	departure
خروج	departure
اعتمد	depend
وزّع	deploy
نشر	deploy
عربون	deposit
إيداع	deposit
مكتئب	depressed
اكتئاب	depression
عمق	depth
وصف	describe
وصف	description
صحرا	desert
يستاهل	deserve
تصميم	design
تعيين	designation
بغا	desire
أمنية	desire
مكتب	desk
يأس	despair
يائس	desperate
وخّا	despite
بالرغم من	despite
حلوى	dessert
ديسير	dessert
وجهة	destination
مصير	destiny
قضى على	destroy
دمار	destruction
تفاصيل	detail
ديطاي	details
كشف	detect
اصرار	determination
عزيمة	determination
حدد	determine
مصمّم	determined
عازم	determined
دمر	devastated
طوّر	develop
طوّر	developed
تنمية	development
تطوير	development
جهاز	device
شيطان	devil
مكرس	devoted
الديفهية	Dhivehi
سكر	diabetes
إسهال	diarrhea
مذكرة	diary
قاموس	dictionary
دار	did
مات	die
توفى	died
ريجيم	diet
فرق	difference
مختلف	different
صعيب	difficult
حفر	dig
كرامة	dignity
مجتهد	diligent
عشا	dinner
تراجع	dip
غمّس	dip
مباشرة	direct
اتجاه	direction
مخرج	director
مدير	director
تراب	dirt
موسخ	dirty
وقّف	disable
عاجز	disabled
اختفى	disappear
خائب الأمل	disappointed
كارثة	disaster
نبذ	discard
رمى	discard
تفريغ	discharge
تصريف	discharge
انضباط	discipline
تخفيض	discount
اكتشف	discover
تمييز	discrimination
تعصب	discrimination
ناقش	discuss
نقاش	discussion
مرض	disease
أمراض	diseases
تنكر	disguise
تيغيلف	disgusting
طبسيل	dish
طباسل	dishes
رفض	dismiss
استبعد	dismiss
صرّد	dispatch
عرض	display
تصرف	disposal
صراع	dispute
نزاع	dispute
مسافة	distance
متميز	distinct
ميّز	distinguish
محنة	distress
توزيع	distribution
منطقة	district
مقاطعة	district
زعج	disturb
تخلّص من	ditch
غاص	dive
متنوع	diverse
تنوع	diversity
قسم	divide
مقدس	divine
طلاق	divorce
دوخة	dizzy
دار	do
واش نتا	do you
تتبغيني	do you love me
دكتور	doctor
طبيب	doctor
مستند	document
دار	does
كلب	dog
جرو	dog
الدوجرية	Dogri
داير	doing
مونيكا	doll
دومين	domain
منزلي	domestic
مسيطر	dominant
لا تقلقش	Don't worry
تبرع	donate
دار	done
واجد	done
حمار	donkey
مخدر	dope
ضوبل	double
شكْ	doubt
شاك	doubt
عجينة	dough
تحت	down
تيليشارجي	download
مسودة	draft
سحب	drag
جرّ	drag
استنزف	drain
دراما	drama
رسم	draw
سحب	draw
مجر	drawer
رسم	drawing
رهبة	dread
حلم	dream
لبس	dress
روب	dress
ثوب	dress
حفر	drill
تدريب	drill
شرب	drink
تيدفع	drive
سايق	drive
طيح	drop
قطرة	drop
طاح	dropped
انخفض	dropped
جفاف	drought
سكران	drunk
يابس	dry
بطة	duck
صاحبي	dude
واجب	due
بسباب	due to
باهت	dull
ممل	dull
حمق	dumb
مزبلة	dump
قمامة	dump
مدة	duration
فـ	during
فالوقت ديال	during
غبرة	dust
واجب	duty
مهمة	duty
سكن	dwell
كيموت	dying
كل	each
بعضهم	each other
متحمّس	eager
نسر	eagle
وذن	ear
قبايل	earlier
بكري	early
ربح	earn
كسب	earn
ودن	ears
الأرض	earth
زلزال	earthquake
سهولة	ease
بسهولة	easily
شرق	east
ساهل	easy
ياكل	eat
كياكل	eating
اقتصادي	economic
اقتصاد	economy
حافة	edge
تعديل	edit
تعليم	education
أثر	effect
فعّال	effective
فعالية	efficiency
فعال	efficient
مجهود	effort
بيض	egg
دبنجال	eggplant
غرور	ego
أنانية	ego
تمنية	eight
تمنطاش	eighteen
تمانين	eighty
إما	either
حتى	either
شرح	elaborate
كود	elbow
الناس كبار فالسن	elder
الناس كبار فالسن	elderly
أنيق	elegant
عنصر	element
فيل	elephant
حداش	eleven
مؤهل	eligible
لغى	eliminate
قضى على	eliminate
آخر	else
مُحرج	embarrassed
محشّم	embarrassed
محرج	embarrassing
احتضن	embrace
ظهر	emerge
طوارئ	emergency
عاطفي	emotional
تعاطف	empathy
تركيز	emphasis
تشديد	emphasis
شدّد	emphasize
موظف	employee
موظفين	employees
رب العمل	employer
توظيف	employment
خاوي	empty
خلّى	enable
واجه	encounter
قابل	encounter
شجّع	encourage
نهاية	end
مهدد بالخطر	endangered
سعي	endeavor
تحمل	endurance
تحمّل	endure
عدو	enemy
طاقة	energy
تفاعل	engage
شارك	engage
خاطب	engaged
مشارك	engaged
خطوبة	engagement
مشاركة	engagement
موطور	engine
مهندس	engineer
لونغلي	English
حسّن	enhance
عزّز	enhance
ستمتع	enjoy
كبير	enormous
كافي	enough
باركة	enough
تأكّد	ensure
ضمن	ensure
دخل	enter
ترفيه	entertainment
حماس	enthusiasm
متحمس	enthusiastic
كامل	entire
بعنوان	entitled
مخول	entitled
مستحق	entitled
كيان	entity
دخلة	entrance
مقاول	entrepreneur
جوا	envelope
بيئة	environment
حسد	envy
ملحمي	epic
وباء	epidemic
كيساوي	equal
ماطريال	equipment
إنصاف	equity
عدالة	equity
مساوي	equivalent
مقابل	equivalent
ممحاة	eraser
خطأ	error
هروب	escape
هرب	escape
بالخصوص	especially
مقال	essay
جوهر	essence
عطر	essence
ضروري	essential
أساسي	essential
أسس	establish
أُسّسَ	established
ملكية	estate
مقاطعة	estate
قدّر	estimate
مقدر	estimated
إلخ	etc
أبدي	eternal
أخلاق	ethics
قيّم	evaluate
تقييم	evaluation
حتى	even
بالرغم من	even though
ليل	evening
حدث	event
فنهاية المطاف	eventually
فلخر	eventually
أبدًا	ever
كل	every
كلشي	everybody
الناس كلهم	everyone
كلشي	everything
دليل	evidence
شر	evil
تطور	evolution
تطور	evolve
لغة إيوي	Ewe
سابق	ex
بالضبط	exact
بالضبط	exactly
تمامًا	exactly
فحص	exam
امتحان	exam
فحص	examine
مثال	example
فات	exceed
مزيان	excellent
ما عدا	except
باستثناء	except
استثناء	exception
إفراط	excess
مفرط	excessive
تبادل	exchange
فرحان	excited
متحمس	excited
تشويق	excitement
مشوّق	exciting
حصري	exclusive
عذر	excuse
سمحليا	excuse me
نفذ	execute
تنفيذ	execution
تنفيذي	executive
تريض	exercise
تمرين	exercise
شكاپي	exhaust
مهلوك	exhausted
عيّان بزاف	exhausted
عرض	exhibit
معرض	exhibition
كاين	exist
موجود	exist
وجود	existence
موجود	existing
خروج	exit
وسّع	expand
توقع	expect
متوقع	expected
مصاريف	expenses
غالي	expensive
جرّب	experience
تجربة	experience
تجربة	experiment
خبير	expert
تقاداتلو الصلاحية	expired
شرح	explain
شرح	explanation
استغل	exploit
استكشاف	explore
صدّر	export
تصدير	export
فضح	expose
كشف	expose
معرّض	exposed
كشف	exposure
تعرض	exposure
عبّر	express
سريع	express
تعبير	expression
مدّد	extend
ممتد	extended
امتداد	extension
مدى	extent
خارجي	external
منقرض	extinct
إضافي	extra
استخراج	extract
استثنائي	extraordinary
متطرف	extreme
أقصى	extreme
بزاف	extremely
عين	eye
عينين	eyes
قماش	fabric
خلاب	fabulous
واجه	face
وجه	face
يسهل	facilitate
مرافق	facilities
مرفق	facility
حقيقة	fact
عامل	factor
مصنع	factory
حقائق	facts
ختفى	fade
فشل	fail
فشل	failed
فشل	failure
سخف	faint
فاتح	fair
عادل	fair
بإنصاف	fairly
جنية	fairy
ثقة	faith
إيمان	faith
مخلص	faithful
مزيف	fake
مزور	fake
طاح	fall
الخريف	fall
غلط	false
شهرة	fame
مألوف	familiar
عائلة	family
مجاعة	famine
ندرة	famine
مشهور	famous
مروحة	fan
معجب	fan
فاخر	fancy
مخير	fantastic
بعيد	far
توديع	farewell
مزرعة	farm
مزارع	farmer
مدهش	fascinating
مبهر	fascinating
موضة	fashion
خفيف	fast
سريع	fast
غليظ	fat
دهون	fat
مميت	fatal
قدر	fate
والد	father
أب	father
عيا	fatigue
خطأ	fault
مفضل	favorite
أيد	favour
خير	favour
مفضل	favourite
خاف	fear
خوف	fear
مأدبة	feast
ريش	feather
ميزة	feature
مزايا	features
فبراير	february
طلعلو الدم	fed up
أتعاب	fee
وكّل	feed
ملاحظة	feedback
حسّ	feel
شعور	feeling
رجل	feet
طاح	fell
زميل	fellow
حس	felt
أنثى	female
سور	fence
خصبة	fertile
مهرجان	festival
جاب	fetch
سخانة	fever
قليل	few
بعيد	few
أقل	fewer
خطيب	fiance
خيال	fiction
حقل	field
أرض	field
عنيف	fierce
خمسطاش	fifteen
خمسين	fifty
تقاتل	fight
مدابزة	fight
حرب	fight
كفاح	fighting
قتال	fighting
شكل	figure
اكتشاف	figure out
ملف	file
عمّر	fill
معمّر	filled
عامر	filled
فيلم	film
خانز	filthy
أخيرًا	finally
مالية	finance
تمويل	finance
مالي	financial
لقى	find
جبر	find
كتشف	find out
رقيق	fine
مزيان	fine
بخير	fine
صبع	finger
كمّّل	finish
نهاية	finish
منتهي	finished
عافية	fire
قوي	firm
شركة	firm
أول	first
الاسم الأول	first name
حوت	fish
صحيح	fit
مناسب	fit
خمسة	five
صلح	fix
اصلاح	fix
ثابت	fixed
علم	flag
بنديرة	flag
وميض	flash
مسطح	flat
شقة	flat
عيب	flaw
ثغرة	flaw
بلا عيوب	flawless
هرب	flee
جلد	flesh
طار	flew
ثني	flex
قرص	flex
مرن	flexible
طيارة	flight
قلب	flip
تعزل	flirt
مغازلة	flirting
طفا	float
عام	float
فيضان	flood
طابق	floor
أرض	floor
دقيق	flour
تيار	flow
تدفّق	flow
وردة	flower
رواح	flu
فصيح	fluent
لسانو مطلوق	fluent
بطلاقة	fluently
منفوش	fluffy
سائل	fluid
طار	fly
ذبانة	fly
