trocha	a little
lecy co	anything
w kożdym razie	anyway
tak by tak	anyway
w kożdym razie	anyways
ôkrōm	apart
apartamynt	apartment
przeproszać	apologize
złudny	apparent
nojwyraźnij	apparently
apelacyjo	appeal
impōnować	appeal
ukozać sie	appear
zdować sie	appear
wyglōnd	appearance
pokozanie sie	appearance
ukozoł sie	appeared
apetyt	appetite
jabko	apple
jabkowy	apple
zgłoszynie	application
aplikacyjo	application
pasować	apply
zastosować	apply
tref	appointment
docyniać	appreciate
uznanie	appreciation
podejście	approach
ôdpedni	appropriate
aprobata	approval
zatwiyrdzić	approve
zatwiyrdzōny	approved
kole	approximately
kwieciyń	april
arbitralny	arbitrary
architekt	architect
architektura	architecture
archiwum	archive
je	are
sōm	are
je żeś	are you
je żeś zajynty	are you busy
je żeś żyniaty	are you married
je żeś żyniaty  abo samotny	are you married or single
Je żeś tam jeszcze?	Are you still there?
je żeś tam	are you there
przestrzyństwo	area
rejōn	area
wadzić sie	argue
chaja	argument
argumynt	argument
powstać	arise
ramia	arm
armijo	army
naôbkoło	around
kole	around
ajnrychtować	arrange
aranżować	arrange
ukłod	arrangement
przijozd	arrival
przibywać	arrive
przibōł	arrived
arogancki	arrogant
strzałka	arrow
fajlik	arrow
kōnszt	art
artykuł	article
sztuczny	artificial
artysta	artist
za	as
jak	as
dopōki	as long as
tyż	as well
jak tyż	as well as
hasie	ash
zgańbiōny	ashamed
spytać	ask
pytać	ask
spytoł	asked
we spaniu	asleep
aspekt	aspect
Asamski	Assamese
ajnbruch	assault
mōntaż	assembly
stanowczo	assertive
ôcyniać	assess
ôcyna	assessment
zolyta	asset
majōntek	assets
statek	assets
przidzielać	assign
zodanie	assignment
spiyrać	assist
asystynt	assistant
spōłprocownik	associate
powiōnzany	associated
stowarziszynie	association
przijmować	assume
zakłodać	assume
założynie	assumption
ô	at
u	at
w	at
aby	at least
jod	ate
zjod	ate
szportowiec	athlete
przitwierdzać	attach
prziłōnczōny	attached
załōncznik	attachment
atak	attack
prōbować	attempt
prōba	attempt
brać udzioł	attend
frekwyncyjo	attendance
uwoga	attention
pozorność	attention
nastawiynie	attitude
nasztalowanie	attitude
pociōngać	attract
atrakcyjo	attraction
atrakcyjny	attractive
atrybut	attribute
publika	audience
siyrpiyń	august
ciotka	aunt
tatny	aunty
ujno	aunty
ciotka	aunty
autyntyczny	authentic
autōr	author
autorytet	authority
władza	authority
jesiyń	autumn
podzim	autumn
przistympny	available
zwykły	average
postrzedni	average
unikać	avoid
ôbudzōny	awake
nadgroda	award
świadōmy	aware
świadōmość	awareness
fōrt	away
niyôbyczajny	awesome
szumny	awesome
ôkropny	awful
niyzrynczny	awkward
Aymara	Aymara
niymowla	baby
licyncjat	bachelor
kawaler	bachelor
pleca	back
nazod	back
zadek	back
zadek	background
zły	bad
tasza	bag
podkłodek	bait
upiyc	bake
bakeryjo	bakery
piekarnio	bakery
bakpulwer	baking soda
balansować	balance
saldo	balance
kula	ball
bal	ball
bol	ball
Bambara	Bambara
banan	banana
posek	band
szlajfa	band
zespōł	band
gruch	bang
banka	bank
szynk	bar
szynkfas	bar
prynt	bar
ledwo	barely
targować sie	bargain
angebōt	bargain
skōra	bark
szczekać	bark
jynczmiyń	barley
baryjera	barrier
baza	base
podle	based
pywnica	basement
bazowy	basic
zasadniczo	basically
bazylijo	basil
basztard	bastard
partyjo	batch
wana	bath
kōmpiyl	bath
badycimer	bathroom
bateryjo	battery
bitwa	battle
bōj	battle
zotoka	bay
być	be
bydź ôstrōżny	be careful
bydź pozorny	be careful
plażowy	beach
sztrand	beach
balek	beam
promiyń	beam
fazole	beans
niedźwiydź	bear
broda	beard
łożysko	bearing
bestyjo	beast
bicie	beat
bić	beat
szumny	beautiful
szwarny	beautiful
piykny	beautiful
piykno	beauty
stało sie	became
bo	because
pōniywoż	because
bez	because
stać sie	become
łōżko	bed
szlafsztuba	bedroom
pszczoła	bee
ôwiyńzina	beef
bōł	been
je	been
piwo	beer
przed	before
napoczōn sie	began
zaczynać	begin
zaczōntek	beginning
we imiyniu	behalf
zachowować sie	behave
zachowanie	behavior
zachowanie	behaviour
za	behind
bycie	being
istota	being
wiara	belief
wierzić	believe
brzuch	belly
przinoleżeć	belong
szac	beloved
kochany	beloved
libsta	beloved
niżyj	below
pōniżyj	below
pas	belt
girtel	belt
ławka	bench
bank	bench
zginać	bend
winkel	bend
pod	beneath
zapōmoga	benefit
korziść	benefit
korziści	benefits
kole	beside
zresztōm	besides
nojlepij	best
nojlepszy	best
powodzynio	best of luck
Z uwożaniym	best regards
lepszy	better
lepij	better
miyndzy	between
napowek	beverage
poza	beyond
Bhojpuri	Bhojpuri
strōnniczość	bias
strōnniczy	biased
koło	bicycle
ôferta	bid
srogi	big
wielgi	big
koło	bike
szajn	bill
rachōnek	bill
gezec	bill
wiōnzać	bind
ptok	bird
gyburstag	birthday
fragmynt	bit
borer	bit
bit	bit
kyns	bite
ugryź	bite
gorzki	bitter
czorny	black
ôstrze	blade
winić	blame
prōzny	blank
deka	blanket
podmuch	blast
wybielacz	bleach
miszōng	blend
bogosławić	bless
bogosławiōny	blessed
ślepy	blind
uciecha	bliss
blokować	block
blok	block
krew	blood
kwiotek	bloom
kwitnōnć	bloom
dmuchać	blow
szlag	blow
wioć	blow
modry	blue
szczyry	blunt
tympy	blunt
rada	board
forsztand	board
wchodzić	board
łōdź	boat
ciało	body
warzić	boil
porubiōny	bold
ôpowożny	bold
wiyńź	bond
ôbligacyjo	bond
spojać	bond
kość	bone
ksiōnżka	book
zwiynkszyć	boost
zwiynkszać	boost
zmocniocz	booster
sztartnōńć	boot
strzewiki	boots
granica	border
cniwiorz	bore
nudziorz	bore
znudzōny	bored
cniwy	bored
cniwy	boring
narodzōny	born
życznōnć	borrow
pożyczać	borrow
szef	boss
ôba	both
szterować	bother
gnymbić	bother
napasztować	bother
flaszka	bottle
spodek	bottom
dno	bottom
kupiōny	bought
ôdbić sie	bounce
zôbowiōnzany	bound
zwiōnzany	bound
granice	boundaries
łuk	bow
ukłōn	bow
waszpek	bowl
miska	bowl
kastlik	box
synek	boy
synek	boyfriend
bransoletka	bracelet
mōzg	brain
ôddzioł	branch
gałōńź	branch
marka	brand
ôpowożny	brave
naruszynie	breach
chlyb	bread
pauza	break
śniodanie	breakfast
pierś	breast
dych	breath
dychać	breathe
rasa	breed
rozmnożać	breed
cegłōwka	brick
cegła	brick
modo pani	bride
most	bridge
krōtki	brief
jasny	bright
znakōmity	brilliant
przinosić	bring
prziniyś	bring
bracik	bro
szyroki	broad
audycyjo	broadcast
złōmoł	broke
złōmany	broken
mietła	broom
brat	brother
dziywior	brother in law
szwager	brother in law
prziniesiōny	brought
brōnotny	brown
szczotka	brush
byszta	brush
pyndzel	brush
kibel	bucket
kiblik	bucket
koleks	buddy
budżet	budget
feler	bug
chrobok	bug
wirus	bug
zbudować	build
budōnek	building
wybudowany	built
hurtowy	bulk
srogość	bulk
byk	bull
kōniyrować	bully
mynczyciel	bully
postwić sie	bully
szlag	bump
gorść	bunch
paket	bundle
ôciōnżynie	burden
ciynżor	burden
poschrōniany	buried
ôparzynie	burn
parzić	burn
polić	burn
pynkać	burst
wybuchać	burst
pogrzebać	bury
autobus	bus
krzok	bush
gyszeft	business
biznes	business
piersi	bust
zepsuć	bust
zajynty	busy
ale	but
ino	but
masło	butter
szmaterlok	butterfly
knefel	button
kupować	buy
ôd	by
bez	by
ôkrōm tego	by the way
chow sie	bye
do widzynio	bye
miyj sie	bye
kapusta	cabbage
kancylaryjo	cabinet
klotka	cage
ciasto	cake
ciela	calf
mianować	call
zwōnić	call
wołać	call
zazwōń	call me
zwany	called
mianowany	called
pokōj	calm
spokojny	calm
wloz	came
weszoł	came
kampanijo	campaign
poradzi	can
może	can
niy moga	can't
Niychać	Cancel
Pociepnōńć	Cancel
rak	cancer
talyntny	capable
pojymność	capacity
kapitoł	capital
iścizna	capital
podpis	caption
chycić	capture
auto	car
kariera	career
ôstrōżny	careful
ôstrōżnie	carefully
pozornie	carefully
niedbały	careless
flyjgujōncy	caring
ôpiekuńczy	caring
stolorz	carpenter
tepich	carpet
marchewka	carrot
marekwia	carrot
niyś	carry
nosić	carry
kōntynuować	carry on
kludzić	carry out
przekludzać coś	carry out
sprawa	case
przipodek	case
gotōwka	cash
gotowizna	cash
ôbsada	cast
gus	cast
ciepać	cast
zōmek	castle
swobodny	casual
kot	cat
chytać	catch
chycić	catch
kategoryjo	category
bydło	cattle
chycōny	caught
prziczyna	cause
ôstrōżność	caution
ôstrōżny	cautious
jaskinia	cave
przerwać	cease
sztopnōnć	cease
gipsdeka	ceiling
fajrować	celebrate
kōmōrka	cell
cyntrum	center
wiek	century
stolecie	century
storocze	century
zbożowe floki	cereal
zboże	cereal
zbożowy	cereal
cerymōnijo	ceremony
pewny	certain
na zicher	certainly
na isto	certainly
toć	certainly
certyfikat	certificate
lyńcuch	chain
keta	chain
stołek	chair
wyzwanie	challenge
szansa	chance
pōmiana	change
chaos	chaos
karakter	character
postać	character
cychy	characteristics
ladować	charge
ôpłata	charge
ôbciōnżać	charge
charytatywno ôrganizacyjo	charity
miyłosierdzie	charity
dobroczynność	charity
urodny	charming
wykres	chart
gōnić	chase
pościg	chase
czat	chat
tōni	cheap
ôszydzać	cheat
ôszydzanie	cheating
kōntrola	check
sprawdzać	check
liczko	cheek
lico	cheek
kibicować	cheer
radosny	cheerful
pyrsk	cheers
dziynki	cheers
kyjza	cheese
syr	cheese
chymijo	chemistry
przoć	cherish
szachy	chess
klotka piersiowo	chest
krzinia	chest
żuć	chew
kurza	chicken
szef	chief
majster	chief
dziecko	child
dzieciństwo	childhood
bajtle	children
dzieci	children
dziecka	children
chłōd	chill
kōminy	chimneys
podbrōdek	chin
szekulada	chocolate
wybōr	choice
wybrać	choose
wybiyrać	choose
siykać	chop
ôbowiōnzki	chores
pyzaty	chubby
kościōł	church
cymt	cinnamon
koło	circle
ôkoliczności	circumstances
ôbywatel	citizen
miasto	city
rościć	claim
roszczynie	claim
klarować	clarify
klasa	class
glina	clay
glinianny	clay
pucować	clean
snożny	clean
czysty	clean
klarowny	clear
ôprōznić	clear
byamter	clerk
chytry	clever
klijynt	client
klif	cliff
klimat	climate
spinać sie	climb
przilepny	clingy
zygor	clock
zawrzić	close
bliski	close
zawiyrać	close
kancylaryjo	closet
szata	cloth
płōtno	cloth
klamot	cloth
ôblyczynie	clothes
szaty	clothes
chmōra	cloud
zamroczōny	cloudy
bozyn	clown
skazōwka	clue
niyzdarny	clumsy
grupa	cluster
trynować	coach
tryner	coach
autobus	coach
wōngel	coal
wybrzyże	coast
mantel	coat
malować	coat
kawa	coffee
kognitywny	cognitive
cufal	coincidence
zimny	cold
podać	collapse
kragel	collar
kolega	colleague
spōłprocownicy	colleagues
zbiyrać	collect
kolekcyjo	collection
wydzioł	college
wyższo szkoła	college
farba	color
bezfarbiate zielōne idyje spały ściykle	colorless green ideas slept furiously
farba	colour
kolōna	column
grzebiyń	comb
połōnczynie	combination
łōnczyć	combine
przijś	come
przichodzić	come
pōdź	come
pōdź sam	come here
prosza cie	come on
kōmfort	comfort
wygodny	comfortable
porynczny	comfortable
nadchodzōncy	coming
hned	coming soon
bydzie hned	coming soon
kōmynda	command
kōmyntorz	comment
handlowy	commercial
ôbsztalować, kōmisyjo	commission
pochać	commit
zôbowiōnzanie	commitment
noleżność	commitment
zaangażyrowany	committed
towor	commodity
powszechny	common
kōmunikować sie	communicate
kōmunikacyjo	communication
spōlnota	community
dojeżdżać	commute
kamrat	companion
towarzisz	companion
towarzistwo	company
fiyrma	company
gyszeft	company
porōwnować	compare
porōwnanie	comparison
spōłczucie	compassion
spōłczujōncy	compassionate
zgodliwy	compatible
kōnkurować	compete
kōmpetentny	competent
kōnkuryncyjo	competition
kōnkurs	competition
kōnkuryncyjny	competitive
urzykać	complain
skarga	complaint
kōmplymynt	complement
kōmpletny	complete
kōńczyć	complete
cołkowicie	completely
cołkym	completely
słożōny	complex
kōmpleks	complex
zgodliwość	compliance
skōmplikowany	complicated
kōmplymyntować	compliment
kōmplymynt	compliment
zastosować sie	comply
kōmpozycyjo	composition
złożōny	compound
chymiczny zwiōnzek	compound
zrozumiynie	comprehension
połny	comprehensive
szyroki	comprehensive
kōmprōmis	compromise
musowy	compulsory
kōmputer	computer
kōncyntrować	concentrate
pojyńcie	concept
starōnek	concern
staranie	concern
interesantny	concerned
zeszterowany	concerned
kōncert	concert
wzniōsek	conclusion
betōn	concrete
kōnkretny	concrete
stōn	condition
warōnki	conditions
kludzić	conduct
sprawować sie	conduct
dyrygować	conduct
kōnferyncyjo	conference
ôbznojmić	confess
zaufanie	confidence
zicher	confident
pewny	confident
potwiyrdzać	confirm
kōnflikt	conflict
zdezôriyntowany	confused
dezoriyntacyjo	confusion
gratulacyje	congrats
gratulacyje	congratulation
gratulacyje	congratulations
spōjnik	conjunction
łōnczyć	connect
podbić	conquer
świadōmy	conscious
przitōmny	conscious
świadōmość	consciousness
zgoda	consent
kōnsekwyncyje	consequences
ôchrōna	conservation
kōnserwatywny	conservative
rozwożać	consider
uwożany za	considered
skłodać sie	consist
spōjność	consistency
kōnsystyncyjo	consistency
spōjny	consistent
stały	constant
durch	constantly
sztyjc	constantly
zaparcie	constipation
budowa	construction
kōnsumować	consume
kōnsumpcyjo	consumption
kōntakt	contact
zakaźny	contagious
zawiyrać	contain
zawiyro	contains
teroźny	contemporary
ôbrzidzynie	contempt
treść	content
zadowolony	content
kōnkurs	contest
kōntekst	context
kōntynynt	continent
kōntynuować	continue
kōntrakt	contract
kōntrast	contrast
prziczyniać sie	contribute
wkłod	contribution
kōntrola	control
kōntrolować	control
spōrny	controversial
porynka	convenience
wygodny	convenient
porynczny	convenient
ôzprowka	conversation
kōnwertować	convert
przekazować	convey
przekōnować	convince
przekōnać	convince
przekōnany	convinced
kuchorz	cook
warzynie	cooking
fajny	cool
spōłpraca	cooperation
wiedzieć rady	cope
miydź	copper
drzyń	core
kukurzica	corn
majs	corn
eka	corner
rōg	corner
winkel	corner
noleżny	correct
prawy	correct
poprawiać	correct
kosztować	cost
koszt	cost
szata	costume
kostium	costume
dōmek	cottage
bawołna	cotton
zofa	couch
kucanie	cough
mōg by	could
rada	council
grof	count
rachować	count
krōmnica	counter
kroj	country
wieś	countryside
pora	couple
ôpowoga	courage
kurs	course
zalytować	court
gyricht	court
dwōr	court
grzeczność	courtesy
kurtuazyjo	courtesy
kuzyn	cousin
przikrywać	cover
ôkładzina	cover
dekel	cover
krowa	cow
tkōrz	coward
przitulny	cozy
krab	crab
pukniyńcie	crack
pukać	crack
ric	crack
rzymiosło	craft
szajs	crap
gōwno	crap
roztrzaś sie	crash
wypodek	crash
strzasnōnć	crash
pragniynie	craving
czołgać sie	crawl
pofyrtany	crazy
tworzić	create
kreatywny	creative
twōrczy	creative
pōmp	credit
borg	credit
ôklaniec	creep
skradać sie	creep
połzać	creep
szterujōncy	creepy
ôbsada	crew
zbrodnia	crime
przestympczość	crime
gańba	cringe
kryzys	crisis
kryteria	criteria
krytyczny	critical
krytyka	criticism
przistrzignōnć	crop
przitnōńć	crop
uprawy	crops
krziż	cross
przechodzić	cross
wrōna	crow
tum	crowd
zatłoczōny	crowded
korōna	crown
kluczowy	crucial
ôkrutny	cruel
rejs	cruise
miożdżyć	crush
płakać	cry
krziczeć	cry
ôgōrka	cucumber
tulić	cuddle
kultura	culture
fałeszny	cunning
szolka	cup
szranczek	cupboard
szrank	cupboard
borsztajn	curb
wylyczyć	cure
lyczyć	cure
lykarstwo	cure
policyjno godzina	curfew
zwiedowość	curiosity
ciekawy	curious
lokaty	curly
waluta	currency
teroźny	current
teroźnie	currently
klōntwa	curse
przeklyństwo	curse
kurtyna	curtain
zogōwek	cushion
zwyk	custom
ôbrzynd	custom
klijynt	customer
ôdprowa cylno	customs
tnōńć	cut
tniycie	cut
fasōn	cut
słodki	cute
raja	cycle
kolarstwo	cycling
tatulek	dad
tata	dad
tatulek	daddy
dziynnie	daily
nobioł	dairy
mlyczarnia	dairy
bajera	dam
szkoda	damage
pierōnie	damn
wilgoć	damp
taniec	dance
niybezpieczyństwo	danger
niybezpieczny	dangerous
ćmawy	dark
dziubek	darling
kapka	dash
pynd	dash
dane	data
zolyty	date
data	date
cera	daughter
dziyń	day
umrzity	dead
ôstateczny termin	deadline
guchy	deaf
umowa	deal
ugoda	deal
transakcyjo	deal
drogi	dear
Drodzy wszyjscy	Dear All
Drogi Klijyńcie	Dear Customer
Droge ôjce	Dear Parents
Zocny Pōnie	Dear Sir
Droge sztudynty	Dear students
Drodzy sztudynci	Dear students
Droge sztudyncio	Dear students
Drōga drużyno	Dear Team
śmierć	death
debata	debate
ôciōnżyć	debit
debet	debit
abfale	debris
gruz	debris
hasie	debris
dug	debt
dekada	decade
rozkłod	decay
umarty	deceased
zwodzić	deceive
grudziyń	december
przizwojity	decent
postanowiać	decide
decydować	decide
zdecydowany	decided
zdecydowoł	decided
decyzyjo	decision
pokłod	deck
ôdkozać	decline
pogorszać sie	decline
upodać	decline
spodek	decrease
ôbniżać	decrease
dedykowany	dedicated
przeznaczōny	dedicated
poświyncynie	dedication
czyn	deed
głymboki	deep
jelyń	deer
sornik	deer
sztandardowy	default
klynska	defeat
pokōnać	defeat
pokōnować	defeat
brōnić	defend
definiować	define
na zicher	definitely
definicyjo	definition
stopiyń	degree
ôdwlyczka	delay
ôpōźniōny	delayed
wyciepować	delete
wychrōniać	delete
cylowy	deliberate
delikatny	delicate
pyszny	delicious
uciecha	delight
zachwycōny	delighted
zbowiać	deliver
liwerować	deliver
dolifrowany	delivered
liwerōnek	delivery
żōndanie	demand
popyt	demand
wymogajōncy	demanding
dymokracyjo	democracy
dioboł	demon
dymōnstrować	demonstrate
wykozać	demonstrate
ôdciepniynty	denied
zaprzeczōny	denied
ôdmōwiōny	denied
tyngość	density
zymbista	dentist
ôdkazować	deny
zaprzeczać	deny
zaprzeczyć	deny
dzioł	department
wyjozd	departure
zależeć	depend
wdrożyć	deploy
depozyt	deposit
depōnować	deposit
niypogodny	depressed
depresyjo	depression
zgłōmb	depth
ôpisać	describe
ôpisować	describe
ôpis	description
puszcza	desert
pociepować	desert
zasużyć	deserve
projekt	design
przeznaczynie	designation
pragniynie	desire
biōrko	desk
urzykanie	despair
zdesperowany	desperate
chocioż	despite
deser	dessert
cyl	destination
met	destination
przeznaczynie	destiny
niszczyć	destroy
zniszczyć	destroy
zniszczynie	destruction
ôsobliwość	detail
detal	detail
detale	details
wykryć	detect
determinacyjo	determination
ôkryślać	determine
zdeterminowany	determined
ôkryślōny	determined
zdewastowany	devastated
rozwijać	develop
rozwiniynty	developed
rozwōj	development
maszina	device
dioboł	devil
ôddano	devoted
Dhivehi	Dhivehi
cukrzica	diabetes
laksyra	diarrhea
dziynnik	diary
słownik	dictionary
zrobiōł	did
umiyrać	die
umrził	died
dieta	diet
rōżnica	difference
inkszy	different
ciynżki	difficult
kopać	dig
zocność	dignity
staranny	diligent
wieczerzo	dinner
zanurzać	dip
bezpostrzedni	direct
kerować	direct
kerōnek	direction
reżyser	director
dyrechtōr	director
maras	dirt
ciaprajstwo	dirt
czorny	dirty
ôbmaraszōny	dirty
zastawić	disable
niypōłnosprowny	disabled
stracić sie	disappear
ôszydzōny	disappointed
katastrofa	disaster
wyciepować	discard
wypisać	discharge
zwolnić	discharge
dyscyplina	discipline
rabat	discount
ôdkryć	discover
ôdkrywać	discover
dyskryminacyjo	discrimination
dyskutować	discuss
ôbgodać	discuss
dyskusyjo	discussion
niymoc	disease
choroba	disease
choroby	diseases
niymoce	diseases
przeblyczynie	disguise
przeblykać	disguise
ôszkliwy	disgusting
noczynie	dish
danie	dish
dania	dishes
ôdciepować	dismiss
kōmunikat	dispatch
wysyłać	dispatch
wysyłka	dispatch
wystawa	display
pokazować	display
ôbroz	display
przedej	disposal
spiyrka	dispute
kwestiōnować	dispute
dystans	distance
ôsobny	distinct
wyrōżnić	distinguish
wyrōżniać	distinguish
urzykanie	distress
dystrybucyjo	distribution
dzielnica	district
szterować	disturb
przikopa	ditch
nurkować	dive
rozmajty	diverse
roztōmajtość	diversity
dzielić	divide
boski	divine
rozwōd	divorce
szajdōng	divorce
bamōntny	dizzy
robić	do
przajesz mi	do you love me
dochtōr	doctor
dokumynt	document
robi	does
niy	doesn't
pies	dog
Dogri	Dogri
czyn	doing
pupa	doll
dōmyna	domain
dōmowy	domestic
dōminujōncy	dominant
niy	don't
niy trop sie	Don't worry
podarować	donate
zrobiōne	done
fertich	done
yjzel	donkey
narkotyk	dope
dwojiście	double
wōntpić	doubt
ciasto	dough
na dōł	down
w dōł	down
pobiyrać	download
cychōnek	draft
stowka	draft
wlyc	drag
ôdpływ	drain
dramat	drama
czyrpać	draw
rymis	draw
cychować	draw
szufloda	drawer
cychōnek	drawing
strach	dread
lynk	dread
marzynie	dream
marzić	dream
śnik	dream
klajd	dress
szatka	dress
wiertarka	drill
pić	drink
napōj	drink
kludzić	drive
popynd	drive
jechać	drive
spodać	drop
upuszczać	drop
kropla	drop
ôpuszczōny	dropped
spuszczōny	dropped
susz	drought
ôżarty	drunk
suchy	dry
kaczyca	duck
chop	dude
noleżny	due
skirz	due to
skuli	due to
cniwy	dull
tympy	dull
niymy	dumb
tympy	dumb
wyciepnōńć	dump
wysypisko	dump
dugość	duration
twanie	duration
w czasie	during
kurz	dust
sztaub	dust
ôbowiōnzek	duty
dinst	duty
miyszkać	dwell
bytować	dwell
umiyrajōncy	dying
kożdy	each
wzajymnie	each other
spragniōny	eager
chyntliwy	eager
żarliwy	eager
ôreł	eagle
ucho	ear
wczaśnij	earlier
przōdzij	earlier
wczasny	early
wczas	early
zyskować	earn
zarobiać	earn
uszy	ears
ziymia	earth
trzyńsiynie ziymie	earthquake
łacność	ease
snadność	ease
letko	easily
snadnie	easily
wschōd	east
łacny	easy
snadny	easy
prosty	easy
jeś	eat
jedzynie	eating
ekōnōmiczny	economic
ekōnōmijo	economy
rant	edge
edytować	edit
bildōnek	education
edukacyjo	education
wynik	effect
efekt	effect
skuteczny	effective
efektywność	efficiency
wydajny	efficient
wysiyłek	effort
jajco	egg
bakłażan	eggplant
ego	ego
ôziym	eight
ôziymnoście	eighteen
ôziymdziesiōnt	eighty
abo	either
kōnsztowny	elaborate
rozwijać	elaborate
łokeć	elbow
starszy	elder
starziki	elderly
szykowny	elegant
elymynt	element
elefant	elephant
jedynoście	eleven
kwalifikowalny	eligible
wyeliminować	eliminate
eliminować	eliminate
inakszyj	else
zmiynszany	embarrassed
zgańbiōny	embarrassed
gańbiaty	embarrassing
ôbyjmować	embrace
uścisk	embrace
ukozać sie	emerge
nogły wypodek	emergency
ymocyjōnalno	emotional
ympatyjo	empathy
nacisk	emphasis
podkryślić	emphasize
podkryślać	emphasize
procownik	employee
procowniki	employees
procodowca	employer
zatrudniynie	employment
prōzny	empty
pusty	empty
włōnczać	enable
tref	encounter
zachyncać	encourage
kōniec	end
kōńczyć	end
zagrożōny	endangered
dōnżyć	endeavor
wydzierżałość	endurance
przetwać	endure
wrōg	enemy
ynergijo	energy
angażyrować sie	engage
zaangażyrowany	engaged
zaangażowanie	engagement
smōwiny	engagement
motōr	engine
inżinier	engineer
angelski	English
zwiynkszyć	enhance
zwiynkszać	enhance
radować sie	enjoy
cieszyć sie	enjoy
mieć uciecha	enjoy
ôgrōmny	enormous
za tela	enough
za dość	enough
zapewniać	ensure
zapewnić	ensure
włazić	enter
wchodzić	enter
szpas	entertainment
yntuzjazm	enthusiasm
yntuzjastyczny	enthusiastic
cołki	entire
zatytułowany	entitled
podmiot	entity
wchōd	entrance
gyszefciorz	entrepreneur
kuwert	envelope
strzodowisko	environment
zowiść	envy
zowiścić	envy
epicki	epic
epidymijo	epidemic
rōwny	equal
sprzynt	equipment
sprawiedliwość	equity
ekwitalynt	equivalent
gumka	eraser
feler	error
błōnd	error
ucieczka	escape
uciekać	escape
ôsobliwie	especially
esej	essay
istota	essence
niyzbyndny	essential
kluczowy	essential
tworzić	establish
założōny	established
przijynty	established
statek	estate
szacować	estimate
szacowany	estimated
itp	etc
wieczny	eternal
etyka	ethics
ôcyniać	evaluate
ôcyna	evaluation
rōwny	even
