a little	азғана
display	көрсетиў
disposal	утилизация
dispute	даў
distance	аралық
distinct	айрықша
distinguish	таныў
distress	қайғы
distribution	бөлистириў
district	район
disturb	тынышын алыў
ditch	жап
dive	сүңгиў
diverse	ҳәр түрли
diversity	ҳәрқыйлылық
divide	бөлиў
divine	улама
divorce	ажырасыў
divorce	ажырым
dizzy	басты айландыратуғын
do	қылыў
do you love me	мени сүйесең бе
doctor	шыпакер
document	ҳүжжет
does	қылады
dog	ийт
Dogri	Догри
doing	ислеп атырған
doll	қуўыршақ
domain	тараў
domestic	жергиликли
dominant	жетекши
Don't worry	қәўетерленбең
donate	инам етиў
done	исленди
donkey	ешек
dope	наркотик
double	еки есеге көбейтиў
double	екилик
doubt	гүман
doubt	гүманланыў
dough	қамыр
down	тѳменге
download	жүклеп алыў
draft	сызылма ислеў
draft	шала нусқа
drag	тартыў
drain	ағыў
drama	трагедия
draw	сызыў
drawer	тартпа
drawing	сүўрет салыў
dread	қалтыраў
dream	әрман етиў
dream	әрман
dress	көйлек
drill	тесиў
drink	ишимлик
drink	ишиў
drive	айдаў
drop	тамшылаў
drop	тамшы
dropped	түсирилген
drought	қурғақшылық
drunk	мәс
dry	қурғақ
duck	үйрек
dude	жигит
due	мәжбүрият
due to	себебинен
dull	ѳтпес
dumb	ақылсыз
dump	шығынды үйиндиси
duration	даўамлылығы
during	даўамында
dust	шаң
duty	нәўбетши
dwell	күн кешириў
dying	набыт болыў
each	ҳәр бир
each other	бир-бири
eager	қатты қәлеў
eagle	бүркит
ear	қулақ
earlier	ертерек
early	ерте
earn	табыс табыў
ears	қулақлар
earth	жер
earthquake	жер силкиниў
ease	аңсатлық
easily	аңсатлық пенен
east	шығыс
easy	аңсат
eat	жеў
eating	жеў
economic	экономикалық
economy	экономика
edge	шети
edit	өзгерис киритиў
education	тәлим
effect	тәсир
effective	нәтийжели
efficiency	нәтийжелилик
efficient	нәтийжели
effort	ҳәрекет
egg	мәйек
eggplant	баклажан
ego	қара басын ойлаў
eight	сегиз
eighteen	он сегиз
eighty	сексен
elaborate	раўажландырыў
elbow	шығанақ
elder	жасы үлкен
elderly	жасы үлкен
elegant	жасанған
element	элемент
elephant	пил
eleven	он бир
eligible	туўра келетуғын
eliminate	алып таслаў
else	болмаса
embarrassed	уялып қалыў
embarrassing	уятлы
embrace	қамрап алыў
emerge	пайда болыў
emergency	қыстаўлы жәрдем
emotional	эмоционал
empathy	тилеклеслик
emphasis	пәт
emphasize	атап айтыў
employee	жумысшы
employees	жумысшылар
employer	жумыс бериўши
employment	бәнтлик
empty	бос
enable	жәрдем бериў
encounter	дус келиў
encourage	үндеў
end	соңы
endangered	қәўип астындағы
endeavor	талпыныў
endurance	шыдам
endure	шыдаў
enemy	душпан
energy	энергия
engage	бәнт етиў
engaged	бәнт
engagement	шуғылланатуғын ис
engine	двигатель
engineer	инженер
English	Инглис
enhance	күшейтиў
enjoy	рәҳәтлениў
enormous	үлкен
enough	жетерли
ensure	исеним кәмил етиў
enter	кириў
entertainment	кеўил жазыў
enthusiasm	көтериңкилик
enthusiastic	күш-ғайратлы
entire	пүткил
entitled	аталған
entity	cубъект
entrance	кириў орны
entrepreneur	исбилермен
envelope	конверт
environment	қоршаған әтирап
envy	көре алмаўшылық
epic	тәкирарланбас
epidemic	эпидемия
equal	тең
equipment	үскене
equity	устав капиталы
equivalent	эквивалент
eraser	өширгиш
error	қәтелик
escape	қашыў
especially	әсиресе
essay	шығарма
essence	барлық
essential	тийкарғы
establish	тийкар салыў
established	тийкар салынған
estate	мүлк
estimate	баҳалаў
estimated	баҳаланған
etc	т.б.
eternal	мәңгилик
ethics	этика
evaluate	баҳалаў
evaluation	баҳалаў
even	ҳәттеки
even though	cолай болса да
evening	кеш
event	ўақыя
eventually	нәтийжеде
ever	қашан болсада
every	ҳәрбир
everybody	ҳәмме
everyone	нәўбетке турыў
everything	ҳәр бир
evidence	дәлил
evil	ғәрез нийетли
evolution	эволюция
evolve	жүзеге келиў
Ewe	Эве
exact	тап сондай
exactly	дәл сондай
exam	экзамен
examine	экзамен
example	мысал
exceed	шығып кетиў
excellent	жүдә жақсы
except	тысқары
exception	басқа жағдайлар
excess	молайыў
excessive	ҳәдден тыс
exchange	алмасыў
excited	қуўанышлы
excitement	қуўаныш
exciting	қуўандырарлы
exclusive	эксклюзив
excuse	кеширим сораў
excuse me	мени кеширесиз
execute	орынлаў
execution	жаза
executive	орынлаўшы
exercise	шынығыў ислеў
exercise	шынығыў
exhaust	ҳалдан тайыў
exhausted	шаршаған
exhibit	көргизбеге қойыў
exhibition	көргизбе
exist	бар болыў
existence	барлық
existing	бар болған
exit	шығыў
expand	жайылыў
expect	күтиў
expected	күтилген
expenses	шығымлар
expensive	қымбат
experience	тәжирийбе
experience	бастан кешириў
experiment	сынаў
expert	эксперт
expired	мүддети өткен
explain	түсиндириў
explanation	түсиндирме
exploit	ерлик
explore	ашыў
export	экспорт
expose	сырын ашыў
exposed	тәсирине түскен
exposure	дуўшар болыў
express	билдириў
expression	аңлатпа
extend	созыў
extended	узайтырылған
extension	кеңейтпе
extent	кеңислик
external	сыртқы
extinct	өшкен
extra	аўысық
extract	айырып алыў
extraordinary	әдеттен тыс
extreme	экстремал
extremely	өте
eye	көз
eyes	көзлер
fabric	таўар
fabulous	теңсиз
face	жүзи
face	дусласыў
facilitate	шараят жаратыў
facilities	бейимлестирилген орынлар
facility	бейимлестирилген орын
fact	факт
factor	фактор
factory	завод
facts	фактлер
fade	жоғалыў
fail	сәтсизлик
fail	сәтсиз болыў
failed	сәтсиз болған
failure	әўметсизлик
faint	есин жойтыў
fair	әдил
fair	реңсиз
fairly	шама менен
fairy	сыйқырлы
faith	ийман
faithful	ҳадал
fake	жалған
fall	қулаў
false	ЖАЛҒАН
fame	даңқ
familiar	таныс
family	шаңарақ
famine	ашаршылық
famous	танықлы
fan	вентилятор
fan	ықласбент
fancy	ѳзгеше
fantastic	әжайып
far	узақ
farewell	хошласыў
farm	ферма
farmer	фермер
fascinating	таң қаларлық
fashion	мода
fast	тез
fat	семиз
fatal	өмирге қәўипли
fate	тәғдир
father	әке
fatigue	ҳалсызлық
fault	қәтелик
favorite	унатқан
favour	жақсылық
favourite	унатқан
fear	қорқыў
fear	қорқыныш
feast	байрамлаў
feather	пәр
feature	сәўлелениў
feature	қәсийет
features	қәсийетлер
february	февраль
fed up	бийзар болған
fee	төлем
feed	бағыў
feedback	пикир
feel	сезиў
feeling	сезим
feet	аяқлар
fell	қулады
fellow	дос
felt	сезди
female	ҳаял
fence	ергенек
fertile	өнимдар
festival	фестиваль
fetch	алып келиў
fever	ыссылық
few	аз
fewer	азлаў
fiance	күйеў бала
fiction	көркем шығарма
field	майдан
fierce	рейимсиз
fifteen	он бес
fifty	елиў
fight	тѳбелесиў
fight	тѳбелес
fighting	төбелес
figure	фигура
figure	cүўретлеў
figure out	аңлап жетиў
file	файл
fill	толтырыў
filled	толтырылған
film	фильм
filthy	патас
finally	ақырында
finance	қаржы
financial	қаржы
find	табыў
find out	анықлаў
fine	жәрийма
fine	нәзик дид пенен
finger	бармақ
finish	жуўмақлаў
finished	жуўмақланған
fire	ѳрт
firm	беккем
firm	фирма
first	биринши
first name	исим
fish	балық
fit	туўра келиў
five	бес
fix	дүзетиў
fixed	орнатылған
flag	байрақ
flash	жарқ етиў
flat	тегислик
flat	тегис
flaw	дефект
flawless	минсиз
flee	бүрге
flesh	қам гөш
flew	ушты
flex	бүгиў
flexible	ийкемли
flight	ушыў
flip	жеңил таслаў
flirt	гәп атыў
flirting	гәп атыў
float	қалқыў
flood	cуў тасқыны
floor	пол
flour	ун
flow	ағыў
flow	ағыс
flower	гүл
flu	грипп
fluent	еркин
fluently	еркин
fluffy	жумсақ
fluid	суйықлық
fly	ушыў
focus	итибар қаратыў
focus	итибар
fog	думан
foggy	думанлы
fold	бүклеў
folks	халық
follow	ериў
follow up	бақлаў
following	кейинги
food	аўқат
fool	ахмақ қылыў
fool	ахмақ
foolish	ахмақшылық
foot	аяқ
football	футбол
for	ушын
For example	Мысал ушын
for instance	мысал ушын
for you	сиз ушын
forbidden	қадаған етилген
force	мәжбүрлеў
forecast	болжам
forehead	маңлай
foreign	ѳзге
forest	тоғай
forever	мәнгиликке
forget	умытыў
forgive	кешириў
forgot	умытқан
fork	вилка
form	форма
form	формаға кириў
formal	рәсмий
former	алдынғы
fortunately	бахтыма
fortune	бахыт
forty	қырық
forty-two	қырық еки
forward	алға
foster	тәрбиялаў
fought	гүрести
found	табылған
