abandoned	qimataq
appeal	kajumissaarut
appearance	isikkoq
appeared	takkuppoq
appear	ersilerpoq
appetite	nererusussuseqarneq
apple	iipili
application	qinnuteqaat
apply	qinnuteqaat
appointment	piffissaq inniminnigaq
appreciate	qutsatigaara
appreciation	qujamasunneq
approach	qanillivoq
appropriate	tulluartoq
approval	akuerineqarneq
approve	akueraa
approved	akuerineqarpoq
approximately	akunnaallilerlugu kisitaq
april	aprili
arbitrary	atugassarititaasut
architect	illussanik titartaasartoq
architecture	illussanik titartaasartoq
archive	toqqorsivik
area	piffik
are you busy	ulapippit
are you	illinuna
are you married	katisimavit
are you married or single	katisimavit imaluunniit kimiittuuvit
Are you still there?	suli maaniippit
are you there	maaniippit
argue	assortuunneq
argument	oqaaseqaat
arise	nikussaarpoq
arm	taleq
army	sakkutuut
around	kaajallallugu
arrangement	aaqqissuussaq
arrange	piareersaaneq
arrival	tikinneq
arrived	tikippoq
arrive	tikippoq
arrogant	akimasooq
arrow	qarsoq
art	eqqumiitsuliaq
article	allataq
artificial	assiliilluni sanaaq
artist	eqqumiitsuliortoq
ashamed	kanngusuttoq
ash	arsakut
as	ima
ask	aperineq
asked	aperivoq
asleep	sinippoq
as long as	sivisutigisumik
aspect	isiginniffik
Assamese	Assamese
assault	saassussineq
assembly	katitigaq
assertive	imminut nittarsaattoq
assessment	nalilersuineq
assess	nalilersorpaa
asset	atuisoq
assets	ikitsineq
assignment	suliassaq
assign	tunivaa
assistant	ikiorti
assist	ikiuineq
associated	attuumassuteqarpoq
associate	suleqat
association	oqaluuserisat allanik eqqaasitsinerat
assume	isumaqarpoq
assumption	ilimaginninneq
as well as	soorlu taamatut
ate	nerivaa
athlete	eqaatsoq
at least	minnerpaamik
attached	kakkiussaq
attach	kakkiussaq
attachment	kakkiussaq
attack	saassussineq
attempt	pileritsappoq
attendance	najuunneq
attend	peqataaneq
attention	malugineqarneq
attitude	pissusaa
attraction	takornariat ornittagaat
attractive	kajumernartoq
attract	kajugerinninneq
attribute	paasissutissat
audience	isiginnaartut
august	aggusti
aunt	atsa
aunty	ukuaq
authentic	immikkuullarissoq
authority	akisussaassuseq
author	suliarinnittoq
autumn	upernaaq
available	pisinnaavoq
average	agguaqatigiisillugu
avoid	soqutiginngiinnaruk
awake	eqqumavoq
award	akissarsiaq
aware	mianersorit
awareness	mianersorneq
away	ungasissoq
awesome	nuanneq
awful	ajortoq
awkward	eqqumiitsoq
Aymara	Aymara
baby	naalugiarsuk
bachelor	bachelori
background	tunuliaqutaa
back	kingumut
bad	ajorpoq
bag	taskeq
bait	neqitsiussaq
bake	iffiorneq
bakery	iffiorfik
baking soda	nagepulver
balance	ataqatigiinnerata ingerlaqatigiinneri
ball	arsaq
Bambara	Bambara
banana	banani
band	nipilersoqatigiit
bang	seqqorneq
bank	aningaaserivik
barely	immannguaq
bargain	isumaqatiginninniarneq
bar	imerniartarfik
bark	qiluttoq
barley	suaasiassat
barrier	nikerartoq
base	aallaavik
based	tunngavia
basement	kælderi
basically	tunngaviusumik
basic	tunngaviusoq
basil	basilikum
bastard	uersagaq
batch	parti
bathroom	uffarfik
bath	uffarfik
battery	batteri
battle	unammineq
bay	kangerliumaneq
beach	sissa
beam	paakkarutit
beans	eertat
beard	umiit
bearing	attartorpoq
bear	nanoq
beast	uumasoq
beat	unammivaa
beautiful	pinnersoq
beauty	pinnersoq
be careful	sissuerneq
because	pissutigalugu
bedroom	sinittarfik
bed	siniffik
beef	nersussuup neqaa
bee	igutsak
beer	immiaaraq
before	siorna
began	aallartimmat
begin	allaqqaataa
beginning	sallaqqaataa
behalf	sinnerlugit
behave	pissusilersuut
behavior	pissuseq
behaviour	pissusilersorneq
behind	tunuani
belief	upperisaq
believe	upperaa
belly	naat
belong	pigineqarpoq
beloved	asasaq
below	ataani
belt	qitequt
bench	issiavik
bend	sikivoq
beneath	ataani
benefit	pisinnaasat
benefits	ajunngequtit
beside	eqqaani
besides	saniatigut
best of luck	iluatsitsilluarina
best	pitsak
best regards	inussiarnersumik inuulluarit
better	ajunnginneruvoq
between	akornanni
beverage	imigassaq
beyond	saniatigut
Bhojpuri	Bhojpuri
biased	siumut isummereersimasoq
bias	illuinnaasiorneq
bicycle	motorcykeli
bid	kiisineq
big	angisooq
bike	cykeli
bill	akiligassaq
bind	qilerut
bird	timmiaaraq
birthday	inuuvissiorneq
bite	Kiineq
bit	immannguaq
bitter	narrutsassimasoq
black	qernertoq
blade	aoqaatiginiarsaraa
blame	pisuutitsineq
blanket	tippeq
blank	imaqanngitsoq
blast	qaartippaa
bleach	qasorsugasoq
blend	akuliuppai
blessed	qujamasuttoq
bless	pilluaqquaa
blind	tappiitsoq
bliss	nuannaarnivik
block	blokki
blood	aak
bloom	sikkerarnerit
blow	pullappaa
blue	tungujortoq
blunt	inuuniluppoq
board	ataatsimiitsitaliami ilaasortat
boat	umiatsiaq
body	timi
boil	qalaappaa
bold	arsaq
bond	qilerut
bone	saarngit
book	atuagaq
booster	sakkortusaat
boost	sakkortusaat
boot	kamippaat
boots	kamippaat
border	inniminniineq
bored	pikkunaalliortoq
bore	qillerivoq
boring	pikkunaappoq
born	inunngorpoq
borrow	atorpaa
boss	naalagaq
bother	akornusiineq
both	tamarmik
bottle	puiaasaq
bottom	naqqa
bought	pisiaq
bounce	pissinneq
boundaries	killeqarfiit
bound	atassutilik
bowl	skåli
bow	piiarpaa
box	sikaaviusaq
boyfriend	angutaat
boy	nukappiaraq
bracelet	tajaq
brain	qarasaq
branch	immikkoortortaqarfik
brand	meqqi
brave	sapiitsoq
breach	aserorpoq
bread	iffiaq qaqortoq
breakfast	ullaakkorsiorneq
break	unikkallarpoq
breast	iviagiit
breath	anersaartorneq
breathe	anersaartorneq
breed	sumiuussusaa
brick	qarmat
bride	nulianngortussaq
bridge	ikaartarfik
brief	korti
bright	qaamasoq
brilliant	torrallataq
bring	aggiuppoq
broadcast	saqqummiuppaa
broad	silissusaa
bro	angut qatanngut
broke	aserorsimasoq
broken	aseroqqavoq
broom	saniutit
brother	ani imalluunniit aqqalu
brother in law	ningaaq
brought	oqquppaa
brown	sukkulaajusaq
brush	illaajutit
bucket	siparni
buddy	kammalaat
budget	aningaasartuutissatut naatsorsuutit
bug	uumasuaraq
building	inissiaq
build	sanavaa
built	sanaartorneq
bulk	amerlasuut
bull	nusuppaa
bully	winngasaarineq
bump	aporpallanneq
bunch	amerlasuut
bundle	qilersoqqasut
burden	akornut
buried	ilivaa
burn	ikuallappoq
burst	qupinikoq
bury	Iliverpaa
bus	bussit
bush	orpigaq
business	niuverneq
bust	anersaartorpoq
busy	ulapippoq
but	kisianni
butterfly	pakkaluaq
butter	punneq
button	toortagaq
buy	pisiaq
bye	inuulluarna
by the way	aammamaa
by	uannga
cabbage	eqqagassaq
cabinet	ilisivik
cage	uumasut inaat
cake	kaagi
calf	nersussuup piaraa
called	sianerpoq
call me	sianerfiginnga
call	sianerpoq
calm	eqqissinartoq
came	aggerpoq
campaign	tapersersortissarsiorneq
Cancel	taamaatippaa
cancer	kræfti
can	pisinnaavoq
capable	sapinngilaa
capacity	piginnaasai
capital	aningaasaatit
caption	assip oqaasertaa
capture	pisaraa
car	biilit
career	ingerlalluarneq
carefully	mianersortumik
careful	sissuerluni
careless	soqutaanngilaq
caring	isumassuisoq
carpenter	sanasoq
carpet	tæppi
carrot	gulerodi
carry	nammappaa
carry on	ingerlaqqinneq
carry out	naammassisaq
case	suliassaq
cash	aningaasat
cast	kuisaq
castle	illussaarsuaq
casual	eqqissisimasoq
catch	pisaraa
category	suunerisa immikkoortui
cat	qitsuk
cattle	nersussuaaraq
caught	pisaraa
cause	pissutaa
caution	mianersoqqussut
cautious	mianersorpoq
cave	qaarusuk
cease	atorunnaarpoq
ceiling	qilaaq
celebrate	nalliussivaa
cell	uumassusillit sananeqaataasa minnersaat celli
center	qeqqa
century	ukiut hunnorujulikkaat
cereal	karrit
ceremony	pissusilersorneq nalliuttorsiorpalaartoq
certain	ilanngullugu
certainly	qulakkeerpaa
certificate	allagartaq akuersissut
chain	kalunnerit
chair	issiavik
challenge	unammillerneq
chance	periarfissaq
change	allannguut
chaos	uivernersuaq
characteristics	pissutsimut naleqquttoq
character	qanoq ittuussusaa
charge	immerpoq
charity	ajunngitsuliorneq
charming	alutornassuseq
chart	diagrammi
chase	malersorpaa
chat	oqaloqatigiinneq
cheap	akikitsoq
cheating	peqquserlunneq
cheat	Peqqusersusaarpoq
check	misissugaq
cheek	uluak
cheerful	nuannaartoq
cheer	qiimmassaaneq
cheers	nuannaarneq
cheese	immussuaq
chemistry	kemi
cherish	pingaartippaa
chess	skakkerneq
chest	sakiak
chew	tamuavoq
chicken	kukkukuuaraq
chief	pisortaq
childhood	meeraaneq
child	meeraq
children	meeqqat
chill	nillerpoq
chimneys	pujoorfiit
chin	talloq
chocolate	sukkulaaq
choice	toqqagaq
choose	toqqaagit
chop	aggorpaa
chores	iliuusissatit pilersaarutaa
chubby	pualakullak
church	oqaluffik
cinnamon	kanel
circle	ammalortoq
circumstances	pissutsit
citizen	innuttaasoq
city	illoqarfik
claim	piumasaqaat
clarify	uppernarsarpaa
class	atuaqatigiit klassiat
clay	marraq
clean	ipiitsoq
clear	imaarpoq
clerk	pisiniartitsisoq
clever	pikkorissoq
client	sullitaq
cliff	ippik
climate	silaannaq
climb	qallorneq
clingy	eqimattat
clock	nalunaaqutaq
close	matujuk
closet	skaavik
cloth	annoraamineq
clothes	atisat
cloud	nuiaq
cloudy	nuiavoq
clown	klovni
clue	liimmi
clumsy	nangitippoq
cluster	eqimattat
coach	ilitsersuisoq
coal	anguniagaq
coast	sineriak
coat	kavaajaq
coffee	kaffi
cognitive	eqqarsaatit aammalu ilisimassuseq
cognitive	eqqarsartariaatsit qarasaq atorlugu iliuuserineqartartut
cognitive	soorlu ilisimasat
coincidence	nalaatsorneq
cold	nillerpoq
collapse	sequmippoq
collar	kravi
colleagues	suleqatit
colleague	suleqat
collection	katersat
collect	katersorpai
college	ilinniartut inaat
colorless green ideas slept furiously	Isumassarsiat qorsorpaluttut qalipaateqanngitsut sinissuaartut
color	qalipaat
colour	qalipaat
column	naqitat quleriiaat
comb	illaajutit
combination	atassuteqarneri
combine	kattunneq
come here	qaagit
come on	qaaniarit
come	qaagit
comfortable	najoruminarsagaq
comfort	ilorrisimaarneq
coming	aggerpoq
coming soon	qanittumi takkutissaaq
command	naalakkiivoq
comment	oqaaseqaat
commercial	neqeroorut
commission	pisassat
commit	iliuusaa
commitment	atassuserneq
committed	atassuteqarpoq
commodity	niuvernermi tunisassiaq
common	nalinginnaasut
communicate	oqaloqatigiinneq
communication	oqaloqatigiinneq
community	ataatsimoorneq
commute	uteqattaartoq
companion	ilagisaq
company	pulaartoq
compare	sanilliullugu
comparison	sanilliullugu
compassionate	misigittartoq
compassion	misiginneqataaneq
compatible	peqatigineqarsinnaasoq
competent	piginnaasoq
compete	unammillerti
competition	unammillerti
competitive	piginnaasoq
complain	naammangittaalliuut
complaint	naammagittaalliuut
complement	nersualaarinnissut
completely	naammassillugu
complete	naammassivoq
complex	katitigaq
compliance	Eqqortitsineq
complicated	nassuiaruminaatsoq
compliment	oqaaseqaat
comply	isumaqatigiissut malippaa
composition	erinniaq
compound	ataatsimoorussat
comprehension	paasinninneq
comprehensive	annertooq
compromise	isumaqatigiinngitsut
compulsory	pinngitsuugassaangitsoq
computer	qarasaasiaq
concentrate	ataasiinnarmik aallussivoq
concept	nutsigassiaq
concerned	isumaaluppoq
concern	isumaalugaa
concert	tusarnaartitsineq
conclusion	inernera
concrete	paasinartoq
condition	pisinnaasaq
conditions	pissutsit
conduct	pissusilersuut
conference	ataatsimiinneq
confess	nassuerneq
confidence	imminut tatigineq
confident	imminut tatigineq
confirm	akueriuk
conflict	akimmiffik
confused	paatsiveerusimaarmat
confusion	paatsiveerunneq
congrats	pilluarit
congratulation	pilluarit
congratulations	pilluarit
conjunction	kattutit
connect	atassuteqarneq
conquer	ajugaaffigaa
conscious	iIlisimavaa
consciousness	ilisimassuseq
consent	akuersissut
consequences	kingunissai
conservation	atatitsiinnarneq
conservative	isummakkut qangarnisarpaluttut
considered	eqqarsaatigisaq
consider	eqqarsaatigaa
consistency	isuma malitaq
consistent	kingunissaa
consist	imaqarpoq
constant	atasuinnarmik
constantly	ilanngujuitsoq
constipation	manngertitsineq
construction	sanaaq
consume	atuineq
consumption	atuineq
contact	atassuteqaat
contagious	tuniluutiasooq
contain	imaa
contains	imaqarpoq
contemporary	nalitsinni pisoq
contempt	narruginninneq
content	imaa
contest	unammillerti
context	imaai
continent	nunavissuaq
continue	ingerlaqqinneq
contract	isumaqatigiissut
contrast	ersarissusaa
contribute	ilanngussineq
contribution	ilanngussaq
control	aqutsineq
controversial	isuma akerleriiffiusoq
convenience	atoruminartoq
convenient	ajornaatsoq
conversation	oqaloqatigiinneq
convert	saanniarpoq
convey	tunniuppaa
convinced	qularunnaarsimasoq
convince	killippaa
cook	iganeq
cooking	iffiorneq
cool	torrak
cooperation	suleqatigiinneq
cope	iluatsitsivoq
copper	kanngussak
core	qiternga
corner	teqeqqoq
corn	majsit
correct	ilumoorpoq
cost	aki
costume	isiginnaartitsinermi atisat
cottage	illuaraq aasarsiortarfik
cotton	annoraassiassaq
couch	issiavissuaq
cough	quersorpoq
could	taamaassinnaavoq
council	siunnersuisoqatigiit
count	atuuttut
counter	kisitsisinut uuttuut
country	nuna
countryside	nunap immikkoortuani sumiiffik
couple	aappariit
courage	sapiissuseq
course	ingerlavik
court	eqqartuussivik
courtesy	inoroorsaarneq
cousin	illooraq
cover	puua
coward	sianiitsoq
cow	nersussuaq
cozy	Anajoruminartoq
crab	assagiarsuk
crack	quppaq
craft	assassukkat
crap	anaq
crash	ajutoorneq
craving	ajorsarneq
crawl	paarngorpoq
crazy	niaqulaartoq
create	pilersitaq
creative	isumassarsiullaqqissoq
credit	akissat
creep	ersinaq
creepy	ersinaq
crew	inuttat
crime	pinerlunneq
cringe	qumartoq
crisis	piffissaq allanngorfissaq
criteria	immikkoortui
critical	nalorninartoq
criticism	isornartorsiuineq
crop	inerittut
crops	inerittut
cross	krydsi
crowded	ulikkaaqqavoq
crowd	inuit amerlassusaat
crown	niaqorut
crow	tulugaq
crucial	aaliagiisoq
cruel	peqqarniitsoq
cruise	takornariarluni angalaneq
crush	ajutoorpoq
cry	qianeq
cucumber	agurki
cuddle	iluarutsillugu attuavaa
culture	piorsarsimassuseq
cunning	isumatooq
cupboard	ilisivik
cup	kaffisorfik
curb	ujarak aqquserngup sinaakkutaa
cure	aaqqippoq
curfew	aneqqusaannginneq
curiosity	alapernaassuseq
curious	paasisaqarusunneq
curly	iligasoq
currency	aki
currently	kingullermik
current	maannakkuungallartoq
curse	perloqquaa
curtain	saajut
cushion	akiseq
customer	sullitaq
customs	isiginnaartitsinermi atisat
custom	sullitaq
cute	inequnarpoq
cut	kipivaa
cycle	cykelerneq
cycling	cykelerneq
dad	ataata
daddy	ataata
daily	ullormut
dairy	ullorsiutit
damage	aserorsimasoq
damn	ajoq
damp	aalaq
dam	sapusiaq
dance	qitinneq
dangerous	ulorianartoq
danger	ulorianartoq
dark	taartoq
darling	asasak
dash	allaffissaq
data	paasissutissat nalunaarsuutai
date	ulloq
daughter	pani
day	ulloq
deadline	piffissaliussap killinga
dead	toquvoq
deaf	tusilartoq
deal	isumaqatigiissut
Dear All	Asasakka tamassi
dear	asasara
Dear Customer	Asasara sullitaq
Dear Parents	asasakka angajoqqaat
Dear Sir	asasara angut
Dear students	asasakka ilinniartut
Dear Team	asasakka suleqatigiit
death	toqu
debate	oqallinneq
debit	akiligassat
debris	unngiarnerlukut
debt	akiitsut
decade	ukiut qulikkuutaat
decay	aliasunnermik allanik soqutigisaaruppoq
deceased	toqusimasoq
deceive	ilanngussineq
december	decembari
decent	ileqqorissoq
decide	aaliagerpoq
decided	aaliagerpoq
decision	Aaliagerneq
deck	umiarsuup qaava
decline	nakkaallanneq
decrease	annertusivaa
dedicated	tunniunneqarpoq
dedication	pigitsitsineq
deed	iliuuseq
deep	itisooq
deer	tuttuusaq
default	nalinginnaasoq
defeat	ajorsarneq
defend	illersuineq
define	nassuiaaneq
definitely	ilimanarpoq
definition	nassuiaataa
degree	qaffasissusaa
delayed	kingusinaarpoq
delay	kingusinaarpoq
delete	nunguterpaa
deliberate	Ailisimavaa
delicate	agguaassineq
delicious	mamartoq
delighted	nuannaajallappoq
delight	nuannaarneq
deliver	aappaa
delivered	tunniunneqarpoq
delivery	tunniunneqarpoq
demanding	piumasaqarpoq
demand	piumaneqarneq
democracy	tamat oqartussaaqataanerat
demon	anersaapiluk
demonstrate	akerliussutsimik takutitsineq
denied	misiarpoq
density	inuup inuunermini atugai
dentist	kingutilerisoq
deny	misiarpoq
department	departmenti
departure	aallartussat
depend	apeqqutaavoq
deploy	ikkuppaa
deposit	akiliineq
depressed	isumatsassimavoq
depression	isumatsassimagaarneq
depth	itissuseq
describe	nassuiaataa
description	nassuiaat
desert	inoqajuitsoq
deserve	iluanaarutigaa
designation	sumunnarfik
design	iluseq
desire	kissaat
desk	Nerrivik
despair	nalornineq
desperate	ajornartoorluni tamaviaartoq
despite	taamaakkaluartoq
dessert	Kinguleraq
destination	sumunnarfik
destiny	inuup inuunermini atugai
destroy	aserorpoq
destruction	aserorterineq
detail	paasissutissat annikitsualuttortaalu
details	annikitsortaanik paasissutissat
detect	nassaarpoq
determination	aaliagiisinnaaneq
determine	aaliagerlugu
determined	aaliagiusimaneq
devastated	sequmippoq
developed	ineriartorpoq
develop	ineriartorneq
development	ineriartorneq
device	eqqarsaatigisaq
devil	ajortoq
devoted	tunniusimasoq
Dhivehi	Dhivehi
diabetes	sukkorneq
diarrhea	timminneq
diary	ullorsiutit
dictionary	ordbogit
did	iliorsimavoq
died	toquvoq
diet	immikkut nerisassat
die	toquvoq
difference	assigiinngissusaa
different	allaaneq
difficult	nalunartoq
dig	assappaa
dignity	ataqqinassuseq
diligent	eqiasuitsoq
dinner	unnukkorsiorneq
dip	dippi
direction	sammivik
director	pisortaq
direct	toqqaannartoq
dirt	ipeq
dirty	ipertooq
disabled	stassutaarpaa
disable	qamitsineq
disappear	tammarpoq
disappointed	pakatsivoq
disaster	ajorluinnartoq
discard	kasiilerpaa
discharge	kuutsillugit piiaaneq
discipline	perorsarsimassuseq
discount	akikilliliineq
discover	paasivaa
discrimination	assigiinngisitsineq
discussion	oqaloqatigiinneq
discuss	oqaloqatigiinneq
disease	nappaat
diseases	nappaatit
disguise	atisalersorluni mitaartoq
disgusting	maajunnartoq
dishes	errugassat
dish	puugutarsuaq
dismiss	soraarsippaa
dispatch	massiussineq
display	allannerit kisitsisillu erserfissaat
disposal	peersitsineq
dispute	assortorpaa
distance	ungasissuseq
distinct	nassuitsoq
distinguish	immikkoortitsineq
distress	ajorsarneq
distribution	agguataarineq
district	eqqaa
disturb	akornusersuineq
ditch	kussiaq
dive	allorpoq
diverse	assigiinngitsut
diversity	assigiinngisitaartoq
divide	agguaavoq
divine	nukik guutimit pisoq
divorce	avinneq
dizzy	silaluttoq
doctor	nakorsaq
document	uppernarsaat
does	iliuuseq
dog	Qimmeq
Dogri	Dogri
doing	sulerineq
doll	inuusaq
domain	nunap ilaa oqaasissaqarfigisaq
domestic	nunap iluani
dominant	naalagaaniartoq
donate	tunissutigaa
done	naammassivoq
donkey	siutitooq
don't	taamaaliornak
Don't worry	ernumassanngilatit
dope	sukasaat
double	marloriaammik
doubt	nangaasoq
dough	naqittagaq
down	ammut
download	aavaa
do you	llit
do you love me	asavinga
draft	tingulaagaq
drag	nusuppai
drain	sullulik
drama	isiginnaagassiaq pissaganartoq
drawer	ilitsivik
drawing	titartaaneq
draw	titartagaq
dread	ersinersuaq
dream	sinnattoq
dress	kjoleq
drill	qillerisoq
drink	imigassaq
drive	aquppoq
drop	kuserneq
dropped	nakkarpoq
drought	panernersuaq
drunk	aalakoorpoq
dry	panertoq
duck	qeerlutooq
dude	angunaa
due	piffissaa
due to	ulloq tunniunneqarfissaa
dull	pikkunaatsoq
dumb	sianiitsoq
dump	sianiitsoq
duration	takissusaa
during	taamaattoqarnerani
dust	pujoralak
duty	pisussaaffik
dwell	uninngalertorpoq
dying	toqulerpoq
each other	imminnut
each	tamarmik
eager	piumassusillit
eagle	nattoralik
earlier	siornatigut
early	ullaaralaakkut
earn	katersat
ear	siut
ears	siutit
earth	nunarsuaq
earthquake	nunap sajunnera
ease	ajornanngissusaa
easily	ajornanngitsumik
east	kangia
easy	nalunanngik
eating	nerivoq
eat	nerivoq
economic	aningaasaqarneq
economy	aningaasaqarneq
edge	sinaa
edit	aaqqissuineq
education	ilinniagaq
effective	sunniuteqarluartut
effect	sunniutaa
efficiency	naammassisaqarsinnaaneq
efficient	sunniuteqarluartoq
effort	iliuuseq
egg	mannik
eggplant	aubergine
ego	imminuinnaq eqqarsaatigineq
eight	arfineq pingasut
eighteen	atten
eighty	firs
either	taamaakkaluarpalluunniit
elaborate	itinerusumik nassuiaat
elbow	ikusik
elderly	utoqqaq
elder	utoqqaq
elegant	kusanartoq
element	elementi
elephant	nagguaatsoq
eleven	aqqanillit
eligible	pisinnaatitaavoq
eliminate	nungutippaa
else	alla
embarrassed	kanngusuppoq
embarrassing	kanngunartoq
embrace	eqitaarpaa
emergency	ajuutoornermi sillimasut
emerge	nuivoq
emotional	misigissusilik
empathy	misiginneqatiginnissinnaaneq
emphasis	oqimaassuseq
emphasize	erseqqissarpaa
employees	Sulisut
employee	Sulisoq
employer	sulisoq
employment	sulisoq
empty	imaqanngilaq
enable	atavoq
encounter	misigaa
encourage	ilalerpaa
endangered	aarlerinarsisoq
endeavor	ilugersorneq
end	maavoq
endurance	piusinnaassusaa
endure	naammangittarneq
enemy	akeraq
energy	nukik
engaged	suliffeqarpoq
engagement	piumassuseq
engage	pimoorussineq
engineer	ingeniøri
engine	motori
English	tuluttut
enhance	pitsanngorsaaneq
enjoy	nuannisarina
enormous	angisoorujussuaq
enough	naammappoq
ensure	qulakkeerpaa
enter	iserpoq
entertainment	aliikkusersuineq
enthusiasm	piumassuseqarpoq
enthusiastic	kajuminneq
entire	tamaat
entitled	naleqquttumik pissusilik
entity	atassut
entrance	isertarfik
entrepreneur	sanaartugassanik suliassinneqartartoq
envelope	allakkap puussaa
environment	avatagiiseq
envy	sinnganeq
epic	oqaluttuamik imalik
epidemic	tamanut siaruaattoq
equal	assigusoq
equipment	atortut
equity	nammineerluni aningaasaliissutit
equivalent	assingusoq
eraser	nungusaat
error	ajutoorneq
escape	qimaavoq
especially	ingasappoq
essay	oqaluttuaq
essence	isserup tangia
essential	pisarialik
established	inississugaq
establish	ikkussorpaa
estate	pigisaq
estimated	taggippaa
estimate	pinnersoq
etc	Il.il.
eternal	naassaanngitsumik
ethics	ileqqorissaarneq
evaluate	nalilersuineq
evaluation	naliliineq
evening	unnugiaq
even	taamaakkaluarpalluunniit
even though	taamaakkaluartoq
event	pisussaq
eventually	taamaakkaluartoq
ever	qaquguluunniit
everybody	kikkut tamarmik
everyone	tamarmik
every	tamaasa
everything	tamaasa
evidence	uppernarsaat
evil	ajortoq
evolution	ineriartorneq
evolve	inerikkiartorpoq
Ewe	Ewe
exact	Ataamaappoq
exactly	taamatoqqinnaaq
examine	misilitsinneq
exam	misilitsinneq
example	assersuut
ex	ass.
exceed	qaagiivoq
excellent	torrassuaq
exception	minillugu
except	minillugu
excess	amiakkuusoq
excessive	akisooq
exchange	aggortitsineq
excited	pissaganaq
excitement	pissaganeq
exciting	pissaganaq
exclusive	ilanngunnagu
excuse me	utoqqatserpunga
excuse	utoqqatserneq
execute	pillaaneq
execution	toqumut pillaaneq
executive	naammassisitsisoq
exercise	sungiusarneq
exhausted	qasusoq
exhaust	qasuvoq
exhibition	saqqummersitsineq
exhibit	saqqummersitsineq
existence	ataneq
existing	piuvoq
exist	piuvoq
exit	anisarfik
expand	qaffakkiartorpoq
expected	naatsorsuut
expect	naatsorsuutigaa
expenses	aningaasartuutit
expensive	akisooq
experience	misilittakkat
experiment	misileraaneq
expert	ilisimatooq
expired	qaangiussimavoq
